"name","valueLabel","windowLabel","windowLower","uuid:ID","description","instanceType","windowUpper","id","value","label"
"TIM1","2 weeks","","","f93e08e6-9628-415e-9335-1f0e00b693e7","Screening timing","Timing","","Timing_1","P2W","Screening"
"TIM2","2 days","-4..0 hours","PT4H","62db4e0a-9627-4770-b344-0e404fd4d11f","Pre dose timing","Timing","PT0H","Timing_2","P2D","Pre dose"
"TIM3","1 Day","","","34563a47-65ea-400f-ac34-9a5c7bbc28f9","Dosing anchor","Timing","","Timing_3","P1D","Dosing"
"TIM4","2 Weeks","-3..3 days","P3D","01e36327-34db-4af3-ba6d-3f10029b3687","Week 2 timing","Timing","P3D","Timing_4","P2W","Week 2"
"TIM5","4 Weeks","-3..3 days","P3D","24328d00-0add-4e16-a1b7-320bf211d0ad","Week 4 timing","Timing","P3D","Timing_5","P4W","Week 4"
"TIM6","6 Weeks","-3..3 days","P3D","e14f9658-572e-4772-bd01-55e49437c67b","Week 6 timing","Timing","P3D","Timing_6","P6W","Week 6"
"TIM7","8 Weeks","-3..3 days","P3D","dfb239ea-981d-445c-bef0-32bd84bed959","Week 8 timing","Timing","P3D","Timing_7","P8W","Week 8"
"TIM9","12 Weeks","-4..4 days","P4D","00b4529a-4609-4abf-b81b-9d4b9a9d3ef1","Week 12 timing","Timing","P4D","Timing_9","P12W","Week 12"
"TIM11","16 Weeks","-4..4 days","P4D","ab1f1f40-7f0e-4b88-8ab9-76a56ef4f75b","Week 16 timing","Timing","P4D","Timing_11","P16W","Week 16"
"TIM13","20 Weeks","-4..4 days","P4D","822487d3-752d-4c9b-ae39-c07756ad1735","Week 20 timing","Timing","P4D","Timing_13","P20W","Week 20"
"TIM15","24 Weeks","-4..4 days","P4D","c73b9581-fb43-4134-9b3d-4a25a47687a7","Week 24 timing","Timing","P4D","Timing_15","P24W","Week 24"
"TIM16","26 Weeks","-3..3 days","P3D","2aaec52b-a2d8-4b2d-aad9-4616546c9abd","Week 26 timing","Timing","P3D","Timing_16","P26W","Week 26"
"TIM8","2 Weeks","","","13bd93b4-e55f-4c90-a0fb-1bf445cd6a9a","Week 8 at home timing","Timing","","Timing_8","P2W","Week 8 Home"
"TIM10","2 Weeks","","","1e915b07-3485-4be0-93b3-d2190423c186","Week 12 at home timing","Timing","","Timing_10","P2W","Week 12 Home"
"TIM12","2 Weeks","","","189b6a8c-d380-4579-a932-d1b885338cc8","Week 16 at home timing","Timing","","Timing_12","P2W","Week 16 Home"
"TIM14","2 Weeks","","","ecd0f6a5-3657-4bb8-8999-18ee8ea516a9","Week 20 at home timing","Timing","","Timing_14","P2W","Week 20 Home"
"TIM17","1 Day","","","9878da83-0fd7-495d-b86d-f6e3046c16af","Adverse Event","Timing","","Timing_17","P1D","Adverse Event"
"TIM18","1 Day","","","86ae113e-d3f5-4100-8906-b1381c9e5ec2","Early Termination","Timing","","Timing_18","P1D","Early Termination"
"TIM19","0 mins","","","ba85ee60-5a78-4b1a-a516-74eaa0d206dc","Supine","Timing","","Timing_19","PT0M","Supine"
"TIM20","5 mins","","","e450b67b-c844-467e-8e16-1c33422f8ecb","VS while supine","Timing","","Timing_20","PT5M","VS while supine"
"TIM21","0 min","","","122226b6-b40a-4c0a-8ba6-70009b3dff8f","Standing","Timing","","Timing_21","PT0M","Standing"
"TIM22","1 min","","","05662c0f-956a-47b5-a4a8-aec0b802eefb","VS while standing","Timing","","Timing_22","PT1M","VS while standing"
"TIM23","0 min","","","08b8d2ea-b849-47f8-a250-ae5020b4e8bb","Standing","Timing","","Timing_23","PT0M","Standing"
"TIM24","2 min","","","12dd7fb2-26ef-42d4-93ec-be79d1d77eeb","VS while standing","Timing","","Timing_24","PT2M","VS while standing"
