"purpose","name","text","description","instanceType","uuid:ID","id","label"
"","END1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","","Endpoint","e5b87b0a-4d8a-417a-8dba-b8c9b1407a4f","Endpoint_1",""
"","END2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","","Endpoint","60b95eaa-bc0e-423f-96a6-51721ea70bc9","Endpoint_2",""
"","END3","Adverse events","","Endpoint","acadaa49-f3f9-44ee-a1bd-62bc3aba2e96","Endpoint_3",""
"","END4","Vital signs (weight, standing and supine blood pressure, heart rate)","","Endpoint","d8abf928-c83a-4c13-8074-6c0b8a18a937","Endpoint_4",""
"","END5","Laboratory evaluations (Change from Baseline)","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint","fab81a66-f7c3-400e-935f-e42e71949e19","Endpoint_5",""
"","END6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","","Endpoint","d6622ce2-f5f5-49e0-8f87-81060e77bfbb","Endpoint_6",""
"","END7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","","Endpoint","15c82226-cfc9-4b33-9157-5617c02d4be8","Endpoint_7",""
"","END8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","","Endpoint","9fe8ed39-6162-4607-ae20-0bb85a0338a9","Endpoint_8",""
"","END9","*** To be determined from protocol ***","","Endpoint","f304ec9d-21f4-4b2e-949c-8d38261aada7","Endpoint_9",""
"","END10","*** To be determined from protocol ***","","Endpoint","fc1eb119-a277-4a4b-a650-8d73882aed1c","Endpoint_10",""
"","END11","*** To be determined from protocol ***","","Endpoint","d9ee1b65-9447-429f-bf13-64bcc460c192","Endpoint_11",""
