"text","id","sectionNumber","sectionTitle","name","uuid:ID"
"","NarrativeContent_1","0","Root","ROOT","ac372215-2cab-4e8b-ac78-1e68d1e372ec"
"<div><usdm:ref klass=""StudyIdentifier"" id=""StudyIdentifier_1"" attribute=""studyIdentifier""/></div>","NarrativeContent_2","1","PROTOCOL SUMMARY","SECTION 1","28d90c86-7a8e-4dcd-a6e2-3618a5a596f1"
"<div></div>","NarrativeContent_3","1.1","Protocol Synopsis","SECTION 1.1","b9c6bf3b-4608-44e9-a5c6-36485ba78ebb"
"<div></div>","NarrativeContent_4","1.2","Trial Schema","SECTION 1.2","fc393061-40ae-4567-890e-245366de9cd1"
"<div></div>","NarrativeContent_5","1.3","Schedule of Activities","SECTION 1.3","cc8bdb6d-5a40-46de-a633-f8ae0cd64423"
"<div></div>","NarrativeContent_6","2","INTRODUCTION","SECTION 2","866e7279-a8d9-4cac-867a-8c2324a3e788"
"<div></div>","NarrativeContent_7","2.1","Purpose of Trial","SECTION 2.1","01d1b075-3b34-4ca3-bd26-30d646b6ce93"
"<div></div>","NarrativeContent_8","2.2","Summary of Benefits and Risks","SECTION 2.2","0a71f80b-fcd5-4411-9dee-e3a70ce1232b"
"<div></div>","NarrativeContent_9","3","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","SECTION 3","5066a594-325e-4690-b8a7-002cdd5684f2"
"<div><table>
  <tr>
    <th style=""vertical-align: top"">Primary Objective</th>
    <th style=""vertical-align: top"">Primary Endpoint</th>
  </tr>
  <tr>
    <td style=""vertical-align: top""><usdm:ref klass=""Objective"" namexref=""OBJ1"" attribute=""description""/></td>
    <td style=""vertical-align: top""><usdm:ref klass=""Endpoint"" id=""Endpoint_1"" attribute=""description""/></td>
  </tr>
</table></div>","NarrativeContent_10","3.1","Primary Objectives","SECTION 3.1","11e720d3-b758-4d4e-9e08-221045c5166b"
"<div></div>","NarrativeContent_11","4","TRIAL DESIGN","SECTION 4","3b6a317a-d5a1-4a12-8bf5-6b6d49c861a2"
"<div></div>","NarrativeContent_12","4.1","Description of Trial Design","SECTION 4.1","1579ef49-a9aa-44a7-831b-24c8cdd4032d"
"<div></div>","NarrativeContent_13","4.1.1","Participant Input into Design","SECTION 4.1.1","ff878aad-faf4-4c9f-ba42-8a17b926481f"
"<div></div>","NarrativeContent_14","4.2","Rationale for Trial Design","SECTION 4.2","cca13e57-4838-4ea1-bdf3-bf6c0f24096c"
"<div></div>","NarrativeContent_15","4.2.1","Rationale for Comparator","SECTION 4.2.1","f150035a-55af-405d-a9f4-0f9dc5e3f609"
"<div></div>","NarrativeContent_16","4.2.2","Rationale for Adaptive or Novel Trial Design","SECTION 4.2.2","864911cd-f239-4131-84f2-c3f7c571084e"
"<div></div>","NarrativeContent_17","4.2.3","Other Trial Design Considerations","SECTION 4.2.3","5090f978-682c-449c-8380-c8ceb4218455"
"<div></div>","NarrativeContent_18","4.3","Access to Trial Intervention After End of Trial","SECTION 4.3","6de4ee2a-8734-492e-bc11-28be69577569"
"<div></div>","NarrativeContent_19","4.4","Start of Trial and End of Trial","SECTION 4.4","0ad01339-7186-46c5-b7b0-2ee7887e644a"
"<div></div>","NarrativeContent_20","5","TRIAL POPULATION","SECTION 5","883fa7fb-58b2-4fc4-9e00-aa700ca86d7a"
"<div></div>","NarrativeContent_21","5.1","Selection of Trial Population","SECTION 5.1","08398837-3dd5-4ee1-a571-cd1235b0a3cd"
"<div></div>","NarrativeContent_22","5.2","Rationale for Trial Population","SECTION 5.2","8fbad7e3-d53a-4d8d-97be-094c765e9e23"
"<div><p>Inclusion criteria are:</p>
<ul>
  <li>1. Something</li>
  <li>2. Something else</li>
</ul></div>","NarrativeContent_23","5.3","Inclusion Criteria","SECTION 5.3","47ca53d3-199f-4c6d-97ef-252a0e2f5488"
"<div><p>Exclusion criteria are:</p>
<ul>
  <li>1. Dont do this</li>
  <li>2. And don't do that</li>
</ul></div>","NarrativeContent_24","5.4","Exclusion Criteria","SECTION 5.4","0755c16b-a8b1-47b0-add1-31207b431fb3"
"<div></div>","NarrativeContent_25","5.5","Lifestyle Considerations","SECTION 5.5","1ef76b88-a8f2-40b1-a2ab-7e749e586828"
"<div></div>","NarrativeContent_26","5.5.1","Meals and Dietary Restrictions","SECTION 5.5.1","9f0bb1c2-0c87-42db-8106-e113febc4dad"
"<div></div>","NarrativeContent_27","5.5.2","Caffeine, Alcohol, Tobacco, and Other Habits","SECTION 5.5.2","687b4f16-1f06-4ac3-9a95-1d6e860b2d0a"
"<div></div>","NarrativeContent_28","5.5.3","Physical Activity","SECTION 5.5.3","05693410-db8b-4746-917a-a2799d4779bd"
"<div></div>","NarrativeContent_29","5.5.4","Other Activity","SECTION 5.5.4","03cfc5ca-2fe0-4d29-b41f-7f0a1645812b"
"<div></div>","NarrativeContent_30","5.6","Screen Failures","SECTION 5.6","0aae9ad1-de63-4fa3-a247-70499944cdef"
"<div></div>","NarrativeContent_31","6","TRIAL INTERVENTION AND CONCOMITANT THERAPY","SECTION 6","4599cf11-13c5-490c-a704-69e4b233a385"
"<div></div>","NarrativeContent_32","6.1","Description of Trial Intervention","SECTION 6.1","1ee64e38-80ed-46d7-815b-0f6919184762"
"<div></div>","NarrativeContent_33","6.2","Rationale for Trial Intervention","SECTION 6.2","abf916b3-51ce-462d-8301-d577bdad094e"
"<div></div>","NarrativeContent_34","6.3","Dosing and Administration","SECTION 6.3","8e72543b-79bd-44ea-a64a-5766ada5ec16"
"<div></div>","NarrativeContent_35","6.3.1","Trial Intervention Dose Modification","SECTION 6.3.1","b494297d-3701-4167-a8fe-9f58056c497b"
"<div></div>","NarrativeContent_36","6.4","Treatment of Overdose","SECTION 6.4","22a64732-65b7-47b8-aa70-424e9e0f0ed2"
"<div></div>","NarrativeContent_37","6.5","Preparation, Handling, Storage and Accountability","SECTION 6.5","fa3bb4f5-ca58-4928-9e97-88ce18739ad2"
"<div></div>","NarrativeContent_38","6.5.1","Preparation of Trial Intervention","SECTION 6.5.1","84c57eec-0c8d-4282-916a-b5a17c042a0e"
"<div></div>","NarrativeContent_39","6.5.2","Handling and Storage of Trial Intervention","SECTION 6.5.2","46fb3fff-5ead-4622-8b7d-b2a0225168f7"
"<div></div>","NarrativeContent_40","6.5.3","Accountability of Trial Intervention","SECTION 6.5.3","51350d00-b019-4e05-b85b-713e5e8b88e3"
"<div></div>","NarrativeContent_41","6.6","Participant Assignment, Randomisation and Blinding","SECTION 6.6","79eb4f13-9dab-49ef-ba2b-631c94bee1cd"
"<div></div>","NarrativeContent_42","6.6.1","Participant Assignment","SECTION 6.6.1","0367ad6d-b96b-46db-bf83-a2017bcef070"
"<div></div>","NarrativeContent_43","6.6.2","Randomisation","SECTION 6.6.2","10912d36-9906-410a-a52f-720e66d6dfc6"
"<div><p>Blinding and unblinding text here please</p></div>","NarrativeContent_44","6.6.3","Blinding and Unblinding","SECTION 6.6.3","5d5c9aae-d0e6-498e-83e3-9d23e8553b1c"
"<div></div>","NarrativeContent_45","6.7","Trial Intervention Compliance","SECTION 6.7","e8b67c32-9b4e-4742-bee7-9dd40540c43e"
"<div></div>","NarrativeContent_46","6.8","Concomitant Therapy","SECTION 6.8","a74900c3-d941-4d92-93b9-8a9fbbf46c2a"
"<div></div>","NarrativeContent_47","6.8.1","Prohibited Concomitant Therapy","SECTION 6.8.1","97872535-fe1a-4e3b-9d1c-a08843ab712f"
"<div></div>","NarrativeContent_48","6.8.2","Permitted Concomitant Therapy","SECTION 6.8.2","bd997d82-7c3f-4d34-961b-3913c25e897a"
"<div></div>","NarrativeContent_49","6.8.3","Rescue Therapy","SECTION 6.8.3","7e4443d5-475b-47c1-8c8c-487412b438a4"
