"code","id","decode","uuid:ID","codeSystemVersion","codeSystem"
"C98388","Code_1","Interventional Study","d491c0b8-b57a-427f-981a-bdf21d002d42","2023-09-29","http://www.cdisc.org"
"C15602","Code_2","Phase III Trial","dc4cec9a-3435-4920-86dd-361aea75dec1","2023-09-29","http://www.cdisc.org"
"C132352","Code_6","Sponsor Approval Date","40db68a1-b2f8-4120-9094-2f0c4e52c8a2","2023-09-29","http://www.cdisc.org"
"C68846","Code_7","Global","fce0e83d-b80a-4a32-b004-31a17748d762","2023-09-29","http://www.cdisc.org"
"VAC","Code_3","Vacines Group","39a6d41e-dc17-484d-8983-e853d7f6fe70","12","SPONSOR"
"REG","Code_4","Regulatory","bdf10e2f-7574-486d-9cea-ec95e01be39a","12","SPONSOR"
"C93453","Code_10","Study Registry","68b236cc-d8d6-4d9f-8d43-8df2453783d1","2023-09-29","http://www.cdisc.org"
"GBR","Code_11","United Kingdom of Great Britain and Northern Ireland","b0e43242-30cc-4353-a010-7c6cb1c23af1","2020-08","ISO 3166 1 alpha3"
"C70793","Code_12","Clinical Study Sponsor","edc831c2-39ef-4530-b010-65d9ebda3ed1","2023-09-29","http://www.cdisc.org"
"FRA","Code_13","France","c6d2fad8-a0aa-4ded-9744-60520ddc98df","2020-08","ISO 3166 1 alpha3"
"C15714","Code_42","Basic Research","a2e8d8a9-2ecc-43e1-a793-d9dd647cd809","2023-09-29","http://www.cdisc.org"
"C139174","Code_43","Device Feasibility Study","eb15c2c6-62a3-4bba-bc41-c6e33dc87682","2023-09-29","http://www.cdisc.org"
"C49666","Code_44","Efficacy Study","5a2f2590-4197-4c50-b35a-658ec4d44579","2023-09-29","http://www.cdisc.org"
"T2_DIABETES","Code_39","Type 2 diabetes","48821578-e520-4e31-8293-aeaef020a3ee","12","SPONSOR"
"73211009","Code_40","Diabetes mellitus (disorder)","7d50d6cd-8b88-4e72-8f2b-f0f941825fbc","January 31, 2018","SNOMED"
"C82639","Code_45","Parallel Study","36b4f887-2370-49c2-9f72-97489c41dc3d","2023-09-29","http://www.cdisc.org"
"C25716","Code_16","Visit","32f7a08e-752e-4338-9a40-aae9a927b31b","2023-09-29","http://www.cdisc.org"
"C51282","Code_17","Clinic","2eef19ae-897b-493b-8312-dd4fce236d92","2023-09-29","http://www.cdisc.org"
"C175574","Code_18","In Person","7200cc81-5f5f-4d18-8a7d-37ba2de3a11c","2023-09-29","http://www.cdisc.org"
"C25716","Code_19","Visit","74c901f6-efc5-49a2-baad-bdd7a1b9b78d","2023-09-29","http://www.cdisc.org"
"C51282","Code_20","Clinic","86619dbd-234b-4070-b48c-e1788f793659","2023-09-29","http://www.cdisc.org"
"C175574","Code_21","In Person","eb220519-86d2-49ce-88f6-f7fbb9dee400","2023-09-29","http://www.cdisc.org"
"C25716","Code_22","Visit","d65bfca3-920f-4cbc-b2bc-9e2b4181cf29","2023-09-29","http://www.cdisc.org"
"C51282","Code_23","Clinic","3fe5993f-c2da-486a-9519-0010d05eff23","2023-09-29","http://www.cdisc.org"
"C175574","Code_24","In Person","1f58b993-340d-43c1-ad79-a0cad152fcb4","2023-09-29","http://www.cdisc.org"
"C25716","Code_25","Visit","15af016f-686d-4c92-87f7-0a23cadf722d","2023-09-29","http://www.cdisc.org"
"C51282","Code_26","Clinic","9890dc7d-bed8-4df9-bef1-4b98408cc4ac","2023-09-29","http://www.cdisc.org"
"C175574","Code_27","In Person","0e8f5f3f-9eb6-4f20-b2ba-99f297ef381d","2023-09-29","http://www.cdisc.org"
