"text","id","name","uuid:ID"
"Subject identified","TransitionRule_1","ENCOUNTER_START_RULE_1","9fdb3bcc-08e3-4f72-8ca9-ab263e5ec067"
"IEs passed","TransitionRule_2","ENCOUNTER_START_RULE_1","bb86eb79-1904-410c-827b-bd1e7abfc5a4"
"Radomized","TransitionRule_3","ENCOUNTER_START_RULE_3","d701fd34-fa28-48d9-905d-b1d8d73f1b78"
"Study Start","TransitionRule_4","ELEMENT_START_RULE_1","084a851f-b904-4be7-8021-80f56f32797b"
"Screened","TransitionRule_5","ELEMENT_END_RULE_1","1b9c3960-88ca-438d-8e1a-785f7d1845d7"
"Screened","TransitionRule_6","ELEMENT_START_RULE_2","0f6c26eb-3057-4400-a336-29b6ebb1b0e4"
"Radomized","TransitionRule_7","ELEMENT_END_RULE_2","01f38ffb-5ff4-4f7f-b1ae-ce8439b10cad"
"Radomized","TransitionRule_8","ELEMENT_START_RULE_3","0521af00-33b2-40cf-87a1-7022fdc3b744"
"Completed treatment 1","TransitionRule_9","ELEMENT_END_RULE_3","6be8eea0-24e2-4b27-b555-f3880e66350d"
"Radomized","TransitionRule_12","ELEMENT_START_RULE_5","f00a9608-0984-4e75-b452-66cbe998543a"
"Completed treatment 2","TransitionRule_13","ELEMENT_END_RULE_5","f99fae6b-8620-4985-a27e-197b7ab94c27"
"Treated","TransitionRule_10","ELEMENT_START_RULE_4","f9a85733-b0a1-4bff-9687-18035dbef73c"
"Leave Study","TransitionRule_11","ELEMENT_END_RULE_4","7084933f-8a76-45ce-bd69-76b344edbc78"
