"label","purpose","text","id","instanceType","description","name","uuid:ID"
"","","Clinical status assessed using a 7-category ordinal scale at Day 28","Endpoint_1","ENDPOINT","","END1","3eb16b0c-6612-4e12-8215-58a5bac15e8e"
"","","Time to clinical improvement (TTCI) defined as a National Early Warning Score 2 (NEWS2) of <=2 maintained for 24 hours","Endpoint_2","ENDPOINT","","END2","7c00fab2-d2b2-4100-bcf8-8b6eb9d4d030"
"","","Time to improvement of at least 2 categories relative to baseline on a 7-category ordinal scale of clinical status","Endpoint_3","ENDPOINT","","END3","425d0975-bff3-4aa9-ae25-654454e47fcf"
"","","Incidence of mechanical ventilation","Endpoint_4","ENDPOINT","","END4","1cae9599-16ac-48f3-82e7-ca3924017767"
"","","Ventilator-free days to Day 28","Endpoint_5","ENDPOINT","","END5","d2746a95-50d7-40d7-970b-a74daa517191"
"","","Incidence of intensive care unit (ICU) stay","Endpoint_6","ENDPOINT","","END6","35d2caf9-38c7-4870-9349-c86409b96794"
"","","Duration of ICU stay","Endpoint_7","ENDPOINT","","END7","857476c6-5eb8-41f3-a134-baedf76b9257"
"","","Time to clinical failure, defined as the time to death, mechanical ventilation, ICU admission, or withdrawal (whichever occurs first). For patients entering the study already in ICU or on mechanical ventilation, clinical failure is defined as a one-category worsening on the ordinal scale, withdrawal or death.","Endpoint_8","ENDPOINT","","END8","89e4110f-a959-4c52-8ea9-f5b5199c4bbc"
"","","Mortality rate at Days 7, 14, 21, 28, and 60","Endpoint_9","ENDPOINT","","END9","b52deb3d-fd9e-4ea3-88c7-a4957951c499"
"","","Time to hospital discharge or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen)","Endpoint_10","ENDPOINT","","END10","4f197d53-4b17-4f33-af9f-a4511e216d05"
"","","Time to recovery, defined as discharged or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen); OR, in a non-ICU hospital ward (or “ready for hospital ward”) not requiring supplemental oxygen","Endpoint_11","ENDPOINT","","END11","29dad7bd-f2ee-445b-a698-07d741c59b82"
"","","Duration of supplemental oxygen","Endpoint_12","ENDPOINT","","END12","c4c72300-3390-40c1-9dbc-1ccd8039955e"
