"instanceType","id","name","text","uuid:ID"
"TransitionRule","TransitionRule_1","ENCOUNTER_START_RULE_1","Subject identifier","13634f73-b5b9-4186-a3b5-e8a3da012d11"
"TransitionRule","TransitionRule_2","ENCOUNTER_START_RULE_1","completion of screening activities","0fcfb58b-c378-4577-8fbb-eae2d3751cfb"
"TransitionRule","TransitionRule_3","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","70ab239c-780e-407f-b10a-e365fe206d04"
"TransitionRule","TransitionRule_4","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","1c4793cb-cfef-464a-90b4-62010b53945d"
"TransitionRule","TransitionRule_5","ENCOUNTER_START_RULE_3","Radomized","1cce0e68-7876-4994-985f-e0e77a2473e4"
"TransitionRule","TransitionRule_6","ENCOUNTER_START_RULE_12","End of treatment","f9faa350-d4ae-4534-8657-e9b67ef2eac6"
"TransitionRule","TransitionRule_7","ELEMENT_START_RULE_1","Informed consent","23de5055-32f1-489b-a611-3197a90e5fe4"
"TransitionRule","TransitionRule_8","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","1862bbbf-4d22-44f7-8e41-93923a8b0593"
"TransitionRule","TransitionRule_9","ELEMENT_START_RULE_2","Administration of first dose","5e17ff91-47f8-4d6e-a9bc-f18a0e529626"
"TransitionRule","TransitionRule_14","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","43f9ca9b-e3b3-454f-ab6f-28e3cffd0713"
"TransitionRule","TransitionRule_15","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","eb3c0c4b-ff58-4a8e-8ac4-b783a4cd3b03"
"TransitionRule","TransitionRule_10","ELEMENT_START_RULE_3","Administration of first dose","7c8380c9-0f38-4881-82d9-4b883f4fffdd"
"TransitionRule","TransitionRule_11","ELEMENT_START_RULE_4","Randomized","f709250a-78ad-4dc2-b3ee-569be0b9b436"
"TransitionRule","TransitionRule_12","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","d88cdc30-bdf0-4fc8-84cf-3eb01fb7d651"
"TransitionRule","TransitionRule_13","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","71365fbd-b1cb-4f0d-bbaa-1cd41af90bc0"
