"instanceType","id","codeSystemVersion","code","decode","codeSystem","uuid:ID"
"Code","Code_1","2023-12-15","C98388","Interventional Study","http://www.cdisc.org","07285718-289e-4f33-9555-95f770c550ac"
"Code","Code_2","2023-12-15","C15601","Phase II Trial","http://www.cdisc.org","0981bda9-9070-4ca0-b6d2-afdb3cf80c27"
"Code","Code_9","2023-12-15","C132352","Sponsor Approval Date","http://www.cdisc.org","e020d2c1-e469-4861-af71-82036e5d3004"
"Code","Code_10","2023-12-15","C68846","Global","http://www.cdisc.org","a77902a5-a225-4887-8626-9472c7f20be7"
"Code","Code_72","2023-12-15","C99904x3","IRB/IEC Feedback","http://www.cdisc.org","42c52bb8-4050-4fbe-9705-600b3d593ce0"
"Code","Code_73","2023-12-15","C17649","Other","http://www.cdisc.org","6c971fbc-de2f-438f-ab41-c36f81cb4fe8"
"Code","Code_75","2023-12-15","C41129","Region","http://www.cdisc.org","9b1c6923-5fd9-4735-bf18-00193fe8bea8"
"Code","Code_74","2020-08","150","Europe","ISO 3166 1 alpha3","ddebabd9-acfe-4464-bc3f-489ce0cbfda7"
"Code","Code_4","12","PHARMA","Eli Lilly","SPONSOR","4a3e83be-e1f2-49ea-aaad-01b0738c3f15"
"Code","Code_76","2023-12-15","C70793","Clinical Study Sponsor","http://www.cdisc.org","bda14988-c004-4bbe-a548-0129875c4d84"
"Code","Code_77","2020-08","USA","United States of America","ISO 3166 1 alpha3","47685a3a-6284-4b1c-a8d3-46d23035a3ae"
"Code","Code_78","2023-12-15","C93453","Study Registry","http://www.cdisc.org","63bf0e69-bbc9-46f3-8e34-378ef72fc818"
"Code","Code_79","2020-08","USA","United States of America","ISO 3166 1 alpha3","be5e9135-4723-41d2-9810-77f25322a075"
"Code","Code_137","2023-12-15","C49656","Treatment Study","http://www.cdisc.org","407afc6e-d7ec-494c-bd79-6d40a2c0fa96"
"Code","Code_138","2023-12-15","C49666","Efficacy Study","http://www.cdisc.org","67a94f21-a809-4fd5-ad49-84f18bf0059b"
"Code","Code_139","2023-12-15","C49667","Safety Study","http://www.cdisc.org","328281a0-3f17-487c-a38f-cfe88e82b505"
"Code","Code_140","2023-12-15","C49663","Pharmacokinetic Study","http://www.cdisc.org","9e88be3b-22bf-4c21-9119-c7967a04d96a"
"Code","Code_134","12","MILD_MOD_ALZ","Mild to Moderate Alzheimer's Disease","SPONSOR","5f4b26d9-aa43-47b7-be2f-0cbac4e85499"
"Code","Code_135","January 31, 2018","26929004","Alzheimer's disease","SNOMED","c89fc674-ccc4-4e07-984c-10de024830f1"
"Code","Code_143","2023-12-15","C99907x1","EXTENSION","http://www.cdisc.org","a01beea4-2535-43cf-a637-177dcbab0f79"
"Code","Code_144","2023-12-15","C98704","ADAPTIVE","http://www.cdisc.org","8ec52f02-ec25-4b8d-a080-080da3a7caa7"
"Code","Code_141","2023-12-15","C82639","Parallel Study","http://www.cdisc.org","1285bf16-6cac-4c36-8b7b-800c19d9f6d9"
"Code","Code_83","2023-12-15","C25716","Visit","http://www.cdisc.org","883f6816-b2e4-46f8-8e13-8bdae45c9ad7"
"Code","Code_84","2023-12-15","C51282","Clinic","http://www.cdisc.org","d7a1fab0-2130-4d0a-971c-4ed545403b74"
"Code","Code_85","2023-12-15","C175574","In Person","http://www.cdisc.org","96b0b73b-5cb6-4ea1-abcd-a13681841886"
"Code","Code_86","2023-12-15","C25716","Visit","http://www.cdisc.org","34a9bd83-6ddb-4aec-b93f-0085f02b097d"
"Code","Code_87","2023-12-15","C51282","Clinic","http://www.cdisc.org","0860940e-af45-44e8-9cc5-962064feaa80"
"Code","Code_88","2023-12-15","C175574","In Person","http://www.cdisc.org","8a3bb318-4bbb-41bf-95b0-c09931189bfa"
"Code","Code_89","2023-12-15","C25716","Visit","http://www.cdisc.org","c6bdb714-4f0d-417a-9088-772d919b572b"
"Code","Code_90","2023-12-15","C51282","Clinic","http://www.cdisc.org","ec313425-7fd8-4940-b99a-b96c7f8afeef"
"Code","Code_91","2023-12-15","C175574","In Person","http://www.cdisc.org","c8753874-df74-4f36-8ab9-fedbf020a27e"
"Code","Code_92","2023-12-15","C25716","Visit","http://www.cdisc.org","8bd0cf40-9561-4507-b7c5-4bda5f888b6d"
"Code","Code_93","2023-12-15","C51282","Clinic","http://www.cdisc.org","66188b37-7db5-4ef7-8ebf-fd89b4ad38e5"
"Code","Code_94","2023-12-15","C175574","In Person","http://www.cdisc.org","cbd6ef88-a28c-40c3-b4b8-2070181f448c"
"Code","Code_95","2023-12-15","C25716","Visit","http://www.cdisc.org","739b2f35-74fe-4d8a-92c0-a93523e0d50e"
"Code","Code_96","2023-12-15","C51282","Clinic","http://www.cdisc.org","b5d34504-d62e-49a6-a468-66a31af93068"
"Code","Code_97","2023-12-15","C175574","In Person","http://www.cdisc.org","1e1040ff-94ea-4cca-8c15-3d8db4bebb9b"
"Code","Code_98","2023-12-15","C25716","Visit","http://www.cdisc.org","f3b8a5a4-d98b-4ac8-92b9-f9e24e57e58f"
"Code","Code_99","2023-12-15","C51282","Clinic","http://www.cdisc.org","19a738a3-74fa-43ce-9307-a2396914cd10"
"Code","Code_100","2023-12-15","C175574","In Person","http://www.cdisc.org","711d673d-c125-4b8d-b9d9-1686211c4025"
"Code","Code_101","2023-12-15","C25716","Visit","http://www.cdisc.org","cc4399a5-c451-43c9-a992-ee9c330445f8"
