"label","instanceType","id","name","synonyms","reference","uuid:ID"
"Informed Consent Obtained","BiomedicalConcept","BiomedicalConcept_20","Informed Consent Obtained","['Informed Consent Obtained', 'Informed Consent']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","35ab632a-5cd7-4a14-bcbb-949e5e7e315f"
"Sex","BiomedicalConcept","BiomedicalConcept_21","Sex","","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","6ba02ad0-d054-49a9-8a68-92484ca517e1"
"Race","BiomedicalConcept","BiomedicalConcept_22","Race","['Racial Group']","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","ac803cd3-aaab-4c59-90d8-75df07f95974"
"Temperature","BiomedicalConcept","BiomedicalConcept_23","Temperature","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","ee688416-a337-44ac-95df-963d903f79bb"
"Weight","BiomedicalConcept","BiomedicalConcept_24","Weight","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","85da47e8-3c94-43af-b2a6-a4ab45ce0d5c"
"Height","BiomedicalConcept","BiomedicalConcept_25","Height","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","1ed37d30-608c-4058-b098-a564a6b48ef9"
"Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","BiomedicalConcept_26","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","6aa3039a-7a50-48c6-ae36-617e402b0c65"
"Albumin Presence in Urine","BiomedicalConcept","BiomedicalConcept_27","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","5f8c1152-9379-41b6-9b06-585b060a576d"
"Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","BiomedicalConcept_28","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","0461bd45-331c-472f-a6e8-3590a6092573"
"Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","BiomedicalConcept_29","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","5f47ebd6-20d4-4007-b901-0686be9de952"
