"label","description","instanceType","id","name","purpose","text","uuid:ID"
"","","Endpoint","Endpoint_1","END1","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","78c91909-8741-4e4e-9898-5266821523b9"
"","","Endpoint","Endpoint_2","END2","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","452c4b9e-f33d-424f-aaca-5c71bb1af9f9"
"","","Endpoint","Endpoint_3","END3","","Adverse events","d93beb68-d996-4d5c-8a53-370a6c2a9983"
"","","Endpoint","Endpoint_4","END4","","Vital signs (weight, standing and supine blood pressure, heart rate)","80c452de-a42c-40b9-aae4-8bdde80f96db"
"","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint","Endpoint_5","END5","","Laboratory evaluations (Change from Baseline)","6dba46cb-b488-42d1-ac3d-2b4c88b62f96"
"","","Endpoint","Endpoint_6","END6","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","13aff58f-ee8e-47b1-9fb1-66b6393f048a"
"","","Endpoint","Endpoint_7","END7","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","af5c5fe9-c5ad-406b-a409-5e8ea5b6b387"
"","","Endpoint","Endpoint_8","END8","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","3cb6e969-bdc7-4509-ac86-2a9662ac0562"
"","","Endpoint","Endpoint_9","END9","","*** To be determined from protocol ***","6dd09557-7967-4d68-9643-1fc128980fb4"
"","","Endpoint","Endpoint_10","END10","","*** To be determined from protocol ***","afae75d7-92c9-432b-92f5-e5c5d6e13fa6"
"","","Endpoint","Endpoint_11","END11","","*** To be determined from protocol ***","764ff0fb-4a95-4d4e-bab1-4f6b66b23851"
