"label","description","instanceType","id","name","uuid:ID"
"Screen One","-","ScheduledActivityInstance","ScheduledActivityInstance_9","SCREEN1","22fbe514-974e-40b6-ba1a-e84528d228e2"
"Screen Two","-","ScheduledActivityInstance","ScheduledActivityInstance_10","SCREEN2","97ce4518-fb9b-4cfc-a562-21ba5b4cc3f8"
"Dose","-","ScheduledActivityInstance","ScheduledActivityInstance_11","DOSE","c9fc1e1a-4d21-49bc-83bb-30fbd4f3da63"
"Week 2","-","ScheduledActivityInstance","ScheduledActivityInstance_12","WK2","9d8e515b-3d3c-4180-8f1d-73d14984872d"
"Week 4","-","ScheduledActivityInstance","ScheduledActivityInstance_13","WK4","0510f4b6-ab70-43c8-9731-d892b1ad6259"
"Week 6","-","ScheduledActivityInstance","ScheduledActivityInstance_14","WK6","adaf2f45-b4da-4338-a067-697cad399d35"
"Week 8","-","ScheduledActivityInstance","ScheduledActivityInstance_15","WK8","699cb468-35ee-41e8-901b-5092714dfd50"
"Week NPI","-","ScheduledActivityInstance","ScheduledActivityInstance_16","WK8N","a8a9e65e-dbde-4df3-b659-f5d4fb99c306"
"Week 12","-","ScheduledActivityInstance","ScheduledActivityInstance_17","WK12","1ed8f2fd-c163-4eab-b601-b11cb14beacc"
"Week 12 NPI","-","ScheduledActivityInstance","ScheduledActivityInstance_18","WK12N","ade3c241-d210-4a83-b40f-3cf535faa49f"
"Week 16","-","ScheduledActivityInstance","ScheduledActivityInstance_19","WK16","9422921c-f554-408e-bccb-f95e3e2f7bda"
"Week 16 NPI","-","ScheduledActivityInstance","ScheduledActivityInstance_20","WK16N","f9bd461e-c65e-4eee-b869-8fa12e97729e"
"Week 20","-","ScheduledActivityInstance","ScheduledActivityInstance_21","WK20","5b9d0d8a-6f0d-4a49-abc7-fb0bdf6fed92"
"Week 20 NPI","-","ScheduledActivityInstance","ScheduledActivityInstance_22","WK20N","7eca0846-26c5-4e95-9597-62c894dcb015"
"Week 24","-","ScheduledActivityInstance","ScheduledActivityInstance_23","WK24","3aa3b885-5b78-42d0-9ccc-d628d9f3ff7d"
"Week 26","-","ScheduledActivityInstance","ScheduledActivityInstance_24","WK26","eb3071be-8992-429f-9a77-19f815cfe8eb"
"Adevers Event","-","ScheduledActivityInstance","ScheduledActivityInstance_1","AE","4484420a-2855-430e-93ee-0a86ec6b1c6e"
"Early Termination","-","ScheduledActivityInstance","ScheduledActivityInstance_2","ET","84108661-9639-48dc-b10a-104987691e47"
"5 minute supine","","ScheduledActivityInstance","ScheduledActivityInstance_3","VS_5MIN","57dec9cc-b524-4776-ab7f-b9bbae886997"
"Vital signs supine","","ScheduledActivityInstance","ScheduledActivityInstance_4","VS_SUPINE","4c1cf13e-d43e-4228-ae3e-5ea8f38e387d"
"1 minute standing","","ScheduledActivityInstance","ScheduledActivityInstance_5","VS_1MIN","5498c6bf-fa05-4389-95c5-503aa31d2084"
"Vital signs after 1 min standing","","ScheduledActivityInstance","ScheduledActivityInstance_6","VS_STAND1","4e8594c4-e81e-4f4a-a209-8781b0e6bd14"
"2 minute standing","","ScheduledActivityInstance","ScheduledActivityInstance_7","VS_2MIN","0eb81c72-6d24-4922-a04d-45af5fc5c73a"
"Vital signs after 3 min standing","","ScheduledActivityInstance","ScheduledActivityInstance_8","VS_STAND3","74048c3b-9476-4428-8f71-91fc84770284"
