"label","description","instanceType","id","name","uuid:ID"
"Informed consent","","Activity","Activity_1","Informed consent","776b02d9-6131-4b58-af1f-b9cd6908b28e"
"Inclusion and exclusion criteria","","Activity","Activity_2","Inclusion/exclusion criteria","58d81675-876c-49f2-a944-e0f795f65d91"
"Patient number assigned","","Activity","Activity_3","Patient number assigned","b4080824-3330-48ef-b44e-6000a32d6b0f"
"Demographics","","Activity","Activity_4","Demographics","59d06d81-d9b8-4377-8410-43bd9005a1cf"
"Hachinski Ischemic Scale","","Activity","Activity_5","Hachinski","8dc7ef92-250f-4fc4-9353-2ab98abacb54"
"MMSE","","Activity","Activity_6","MMSE","f227c4fb-f272-4843-aa45-222bf3fab47c"
"Physical examination","","Activity","Activity_7","Physical examination","de1b1ffc-9579-4070-b92e-b5a8a096c0c5"
"Medical history","","Activity","Activity_8","Medical history","122a62a6-47cd-4e04-bd47-c242a180b4b3"
"Habits","","Activity","Activity_9","Habits","276b452d-5086-4e60-83bd-336122b581b9"
"Chest X-ray","","Activity","Activity_10","Chest X-ray","680bd804-1232-4567-9b81-db214d97b10f"
"Apo E genotyping","","Activity","Activity_11","Apo E genotyping","16f53cfe-064a-4735-8f51-d4e8ee9644ed"
"Patient randomised","","Activity","Activity_12","Patient randomised","56df1c1c-1292-4c63-b217-2e2dc73c1454"
"Vital Signs and Temperature","","Activity","Activity_13","Vital signs / Temperature","2d91bc12-8ff6-4e43-aad5-f81ca7838c15"
"Ambulatory ECG placed","","Activity","Activity_14","Ambulatory ECG placed","0b14741b-c8b7-4e80-a4b7-87320c31879d"
"Ambulatory ECG removed","","Activity","Activity_15","Ambulatory ECG removed","a4356d9d-bb11-49ed-bf59-821d536bf4cf"
"ECG","","Activity","Activity_16","ECG","d41b8cd3-eed5-4bce-974f-a3684ca65059"
"Placebo TTS test","","Activity","Activity_17","Placebo TTS test","4c8f0364-7e89-4cc5-9521-d419696cd697"
"CT scan","","Activity","Activity_18","CT scan","15b47d6e-f289-41de-a3b3-c869f0f780b7"
"Concomitant medications","","Activity","Activity_19","Concomitant medications","499917c6-48e4-4f6e-b366-558c5c45c4d7"
"Hematology","","Activity","Activity_20","Hematology","2d9b8fd2-dae7-4450-a2f6-4a1235f8c369"
"Chemistry","","Activity","Activity_21","Chemistry","91e42157-299c-4223-ab02-1521177e50f0"
"Uninalysis","","Activity","Activity_22","Uninalysis","a5b4a508-16fa-4b91-b7fa-6978e2a557fe"
"Plasma Specimen (Xanomeline)","","Activity","Activity_23","Plasma Specimen (Xanomeline)","f78833aa-9b70-4142-9383-889a20d0a3bf"
"Hemoglobin A1C","","Activity","Activity_24","Hemoglobin A1C","5163cecd-4b5a-4e23-baf3-790cc5173b15"
"Study drug record , Medications dispensed, Medications returned","","Activity","Activity_25","Study drug","21cf6ae9-4fba-4030-8518-89af82e3759c"
"TTS Acceptability Survey","","Activity","Activity_26","TTS Acceptability Survey","902441f0-0105-4a71-9e73-fa5956915871"
"ADAS-Cog","","Activity","Activity_27","ADAS-Cog","ed2fcd78-dcd7-4e96-956e-f609a582192e"
"CIBIC+","","Activity","Activity_28","CIBIC+","9d4770b0-aa5a-4233-aa6d-7d44e1e4e9cc"
"DAD","","Activity","Activity_29","DAD","00993d40-1bfd-453d-8e88-55e95541468c"
"NPI-X","","Activity","Activity_30","NPI-X","edc67878-b45c-4950-92eb-a1e552974a89"
"Adverse events","","Activity","Activity_31","Adverse events","87125148-4721-4956-8a75-6c349279eddc"
"Check adverse events","","Activity","Activity_32","Check adverse events","35aaff7e-5665-4f12-a4de-aa8323a7c6dc"
"Subject supine","","Activity","Activity_33","Supine","8a9b41c5-1a97-4c37-8289-b6818b5998a1"
"Vital signs while supine","","Activity","Activity_34","Vital Signs Supine","357a26ec-1a57-49de-9e09-0c827ec620b3"
"Subject Standing","","Activity","Activity_35","Stand","e9a5a2bc-44f5-462a-8de7-13f6d0276bba"
"Vital signs while standing","","Activity","Activity_36","Vital Signs Standing","d05d90d9-d17b-4162-9855-eab2109eb61c"
