"label","description","instanceType","id","name","uuid:ID"
"Screening 1","Screening encounter","Encounter","Encounter_1","E1","9125fec7-53b2-4cce-901b-af5db8d23a6b"
"Screening 2","Screening encounter - Ambulatory ECG Placement","Encounter","Encounter_2","E2","f5670580-44a0-4d73-a877-069c763baa22"
"Baseline","Baseline encounter - Ambulatory ECG Removal","Encounter","Encounter_3","E3","ecedf8a0-5ecb-4151-a87b-c7bf696edefc"
"Week 2","Day 14","Encounter","Encounter_4","E4","7180f52e-a961-4a7a-bb64-00968d68b2b6"
"Week 4","Day 28","Encounter","Encounter_5","E5","cab6464a-7edb-4937-b61c-24c0d3775f76"
"Week 6","Day 42","Encounter","Encounter_6","E7","c21b9e8a-ad35-4337-b49d-fb37035bd629"
"Week 8","Day 56","Encounter","Encounter_7","E8","776235c4-a33c-4c6b-a6d9-afa5773ebb23"
"Week 12","Day 84","Encounter","Encounter_8","E9","60bf56df-3aa6-4142-9a7f-fa1fa98f55f6"
"Week 16","Day 112","Encounter","Encounter_9","E10","846ec753-4197-474e-bae8-3836d5042584"
"Week 20","Day 140","Encounter","Encounter_10","E11","03fe2ae6-2acb-43ed-bd8e-0a134568c97e"
"Week 24","Day 168","Encounter","Encounter_11","E12","274dcd6d-dbb6-44f4-92f0-0133ab2ad0fa"
"Week 26","Day 182","Encounter","Encounter_12","E13","9bef9afd-cc7d-4fb8-9c83-2a2a5a5fad30"
