"label","description","value","instanceType","id","name","windowUpper","valueLabel","windowLower","windowLabel","uuid:ID"
"Screening","Screening timing","P2W","Timing","Timing_1","TIM1","","2 weeks","","","91a04b3a-a20b-45fe-b743-d700c72b724d"
"Pre dose","Pre dose timing","P2D","Timing","Timing_2","TIM2","PT0H","2 days","PT4H","-4..0 hours","54e0d6c4-ef58-41d9-b1d5-fce3d8cda797"
"Dosing","Dosing anchor","P1D","Timing","Timing_3","TIM3","","1 Day","","","26dfc9a1-68ce-4f17-be04-e16c89458510"
"Week 2","Week 2 timing","P2W","Timing","Timing_4","TIM4","P3D","2 Weeks","P3D","-3..3 days","8e8503c7-4d38-435b-9631-e090d0c8a868"
"Week 4","Week 4 timing","P4W","Timing","Timing_5","TIM5","P3D","4 Weeks","P3D","-3..3 days","5848f0ae-0c58-4763-9be2-b78eda545169"
"Week 6","Week 6 timing","P6W","Timing","Timing_6","TIM6","P3D","6 Weeks","P3D","-3..3 days","378bc8c2-2d16-4e5d-bdaa-2011a653a6c7"
"Week 8","Week 8 timing","P8W","Timing","Timing_7","TIM7","P3D","8 Weeks","P3D","-3..3 days","0760d4c3-61fd-4358-8156-d4c01f567dfd"
"Week 12","Week 12 timing","P12W","Timing","Timing_9","TIM9","P4D","12 Weeks","P4D","-4..4 days","9a281590-bdb3-497d-8ee1-392511bab064"
"Week 16","Week 16 timing","P16W","Timing","Timing_11","TIM11","P4D","16 Weeks","P4D","-4..4 days","2946b467-0ae8-4039-acfc-fcdf130e805c"
"Week 20","Week 20 timing","P20W","Timing","Timing_13","TIM13","P4D","20 Weeks","P4D","-4..4 days","cf2b9af1-da4b-452f-9c77-055bcd19bff2"
"Week 24","Week 24 timing","P24W","Timing","Timing_15","TIM15","P4D","24 Weeks","P4D","-4..4 days","96c46333-b887-46f4-a79c-b076b6f68b21"
"Week 26","Week 26 timing","P26W","Timing","Timing_16","TIM16","P3D","26 Weeks","P3D","-3..3 days","40b2b49d-8afe-4cb8-ab69-12246516afcc"
"Week 8 Home","Week 8 at home timing","P2W","Timing","Timing_8","TIM8","","2 Weeks","","","c0b5dabe-fad9-4e98-ae1c-f702b053ae16"
"Week 12 Home","Week 12 at home timing","P2W","Timing","Timing_10","TIM10","","2 Weeks","","","0627c232-cfd3-4fa2-96c8-e489d0c8dcb0"
"Week 16 Home","Week 16 at home timing","P2W","Timing","Timing_12","TIM12","","2 Weeks","","","397be4d2-1064-4919-8510-cc94424e1ec7"
"Week 20 Home","Week 20 at home timing","P2W","Timing","Timing_14","TIM14","","2 Weeks","","","147a759c-7a4a-4b1d-9f5d-2a7dfca4b074"
"Adverse Event","Adverse Event","P1D","Timing","Timing_17","TIM17","","1 Day","","","299fe512-d00b-4544-9ef0-ff844d974825"
"Early Termination","Early Termination","P1D","Timing","Timing_18","TIM18","","1 Day","","","a09cb85d-96bf-4e79-a4c3-91d112629239"
"Supine","Supine","PT0M","Timing","Timing_19","TIM19","","0 mins","","","9694bb1e-608c-46f6-a158-df4d977042cc"
"VS while supine","VS while supine","PT5M","Timing","Timing_20","TIM20","","5 mins","","","2b8fb7a2-48f3-4304-9796-2d610ca3f300"
"Standing","Standing","PT0M","Timing","Timing_21","TIM21","","0 min","","","1541b391-73d7-451f-a503-e83c5f07f604"
"VS while standing","VS while standing","PT1M","Timing","Timing_22","TIM22","","1 min","","","a4c3da25-76f8-4fbd-9c0c-73087edeaa75"
"Standing","Standing","PT0M","Timing","Timing_23","TIM23","","0 min","","","0866b96a-433b-4153-8770-703d8c3f0075"
"VS while standing","VS while standing","PT2M","Timing","Timing_24","TIM24","","2 min","","","fdd7e3f9-5cbf-4008-9c45-1f4e323f5cae"
