"id","name","timingValue","label","timingWindow","uuid:ID","timingWindowLower","timingWindowUpper","description"
"Timing_1","TIM1","P2W","Screening","","d800b71e-b5e4-49e4-8401-ce9a43e533f4","","","Screening timing"
"Timing_2","TIM2","P2D","Pre dose","-4..0 hours","2f6946f3-1d87-4387-af4d-9089bb3e9c31","PT4H","PT0H","Pre dose timing"
"Timing_3","TIM3","P1D","Dosing","","33e9e05e-ee5a-4f33-a70c-5fe51a41a151","","","Dosing anchor"
"Timing_4","TIM4","P2W","Week 2","-3..3 days","04c44910-8010-4b01-bc88-89e2a431fcf3","P3D","P3D","Week 2 timing"
"Timing_5","TIM5","P4W","Week 4","-3..3 days","5b2a38fd-00e4-496b-a0bd-6f5ef7de1af7","P3D","P3D","Week 4 timing"
"Timing_6","TIM6","P6W","Week 6","-3..3 days","c46d047b-a729-4b67-87e8-1f29be87fb44","P3D","P3D","Week 6 timing"
"Timing_7","TIM7","P8W","Week 8","-3..3 days","39158370-f76b-4d09-8821-cca0c201da7d","P3D","P3D","Week 8 timing"
"Timing_8","TIM8","P2W","Week 8 Home","","7cfde20d-23af-4599-abd1-b35c172be409","","","Week 8 at home timing"
"Timing_9","TIM9","P12W","Week 12","-4..4 days","19a1716f-b19e-4bda-9948-f1e95f299bbd","P4D","P4D","Week 12 timing"
"Timing_10","TIM10","P2W","Week 12 Home","","13c85a91-818a-4945-af2e-9de4fa129188","","","Week 12 at home timing"
"Timing_11","TIM11","P16W","Week 16","-4..4 days","f340a8c3-e0f6-42ee-b526-00d2542827a1","P4D","P4D","Week 16 timing"
"Timing_12","TIM12","P2W","Week 16 Home","","95e8ac45-cbf3-446d-a502-7d3250655991","","","Week 16 at home timing"
"Timing_13","TIM13","P20W","Week 20","-4..4 days","f8ace15e-aec7-44c2-92c5-48b5b4d6fe9e","P4D","P4D","Week 20 timing"
"Timing_14","TIM14","P2W","Week 20 Home","","4b8f9c51-2155-49d1-bc06-264635d33df9","","","Week 20 at home timing"
"Timing_15","TIM15","P24W","Week 24","-4..4 days","45b4d468-538c-4b91-9c07-36ec43f6b220","P4D","P4D","Week 24 timing"
"Timing_16","TIM16","P26W","Week 26","-3..3 days","2c156ba4-6d9c-4ce2-ae91-ea55b8124e0a","P3D","P3D","Week 26 timing"
"Timing_17","TIM17","P1D","Adverse Event","","d9b70b3e-d2d0-4b24-8ce1-8778b65446ad","","","Adverse Event"
"Timing_18","TIM18","P1D","Early Termination","","b3a960b1-a49c-400f-b83e-c3aa6e7ecc13","","","Early Termination"
"Timing_19","TIM19","PT0M","BP Anchor","","5f6e9f45-bfea-41c1-8418-70b9d104005c","","","BP Anchor"
"Timing_20","TIM20","PT5M","BP while Supine","","2d5657e0-43e3-4444-8969-f3386046a2b8","","","BP while Supine"
"Timing_21","TIM21","PT3M","BP Stand Up","-2..0 mins","33420427-df9a-4f8c-8983-c01ca7c5dee4","PT2M","PT0M","BP Stand Up"
"Timing_22","TIM22","PT0M","BP while standing","","68b49152-b897-452b-ba9b-1a3c1c80f7af","","","BP while standing"
