"id","name","label","uuid:ID","bcPropertyEnabled","bcPropertyRequired","bcPropertyResponseCodes","bcPropertyDatatype"
"BiomedicalConceptProperty_86","Vital Signs Result","Vital Signs Result","23b062e2-b543-499b-9357-2eaed9ab6a64","True","True","[]","decimal"
"BiomedicalConceptProperty_87","Unit of Temperature","Unit of Temperature","52e0633c-adcd-4496-9605-118788d7c540","True","True","","string"
"BiomedicalConceptProperty_88","Vital Signs Location","Vital Signs Location","abcdcc59-dddb-4123-b480-490c9705955b","True","True","[]","string"
"BiomedicalConceptProperty_89","Vital Signs Result","Vital Signs Result","4608bcbd-8ede-48db-a871-834eb56d5e9c","True","True","[]","decimal"
"BiomedicalConceptProperty_90","Unit of Weight","Unit of Weight","ac579bbd-9ba3-404e-9f91-367ce91cb711","True","True","","string"
"BiomedicalConceptProperty_91","Vital Signs Result","Vital Signs Result","feecf4b1-500f-4fe0-b3ad-db7dd46faa7b","True","True","[]","decimal"
"BiomedicalConceptProperty_92","Unit of Height","Unit of Height","e86436d2-0de6-4a9d-890b-3883bbeff0c6","True","True","","string"
"BiomedicalConceptProperty_93","Laboratory Test Result","Laboratory Test Result","85e76bce-2139-4295-8f03-2ce0f4722a8a","True","True","[]","decimal"
"BiomedicalConceptProperty_94","Laboratory Test Fasting Status","Laboratory Test Fasting Status","9d70c39b-fb06-4351-8d46-1a4632ae3038","True","True","[]","boolean"
"BiomedicalConceptProperty_95","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","a7ae8eab-c069-44a9-a921-701fc22e950f","True","True","[]","string"
"BiomedicalConceptProperty_96","Biospecimen Type","Biospecimen Type","7d768600-f5d0-4d6a-bb60-06744b2de5c4","True","True","[]","string"
"BiomedicalConceptProperty_97","Laboratory Test Result","Laboratory Test Result","4818b654-29cc-4577-8471-6d848fce28c6","True","True","[]","string"
"BiomedicalConceptProperty_98","Laboratory Test Fasting Status","Laboratory Test Fasting Status","84a6797e-2ee2-44a9-b7c5-27e7f953dce2","True","True","[]","boolean"
"BiomedicalConceptProperty_99","Unit of Concentration","Unit of Concentration","9fa82507-6267-46ea-bb3a-97041143d3a0","True","True","[]","string"
"BiomedicalConceptProperty_100","Biospecimen Type","Biospecimen Type","3b4e6973-5d45-4ab3-804e-9ce2f1705d24","True","True","[]","string"
