"id","name","text","label","uuid:ID","description"
"TransitionRule_1","ENCOUNTER_START_RULE_1","Subject identifier","","8c28ebb7-e7fe-4489-aa16-13bba76a012a",""
"TransitionRule_2","ENCOUNTER_START_RULE_1","completion of screening activities","","cec39b06-bd43-4cfb-a9ad-c530d809899a",""
"TransitionRule_3","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","","e058e2e3-3ca6-48c2-b9b3-e5ab06088c8f",""
"TransitionRule_4","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","","8f8b7933-4e96-4019-ad66-d43739453ee8",""
"TransitionRule_5","ENCOUNTER_START_RULE_3","Radomized","","b344587f-e2c5-4631-9004-37b69657f164",""
"TransitionRule_6","ENCOUNTER_START_RULE_12","End of treatment","","e095cd0b-1283-4454-9810-0558516b44be",""
"TransitionRule_7","ELEMENT_START_RULE_1","Informed consent","","369dd0d9-e1b8-40fc-aa08-dcbefb9efba3",""
"TransitionRule_8","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","","cb15ca63-bad3-4024-8449-01df93f1c95a",""
"TransitionRule_9","ELEMENT_START_RULE_2","Administration of first dose","","d377d939-29b0-404d-9602-35f3f93b50ae",""
"TransitionRule_14","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","","46e0c03d-de81-4fa5-8449-ebd0fc0fcae5",""
"TransitionRule_15","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","","96f410ea-1c32-4b43-8442-9bc3bd2eda3d",""
"TransitionRule_10","ELEMENT_START_RULE_3","Administration of first dose","","63a1dc05-6078-4210-9c60-a511f33077f8",""
"TransitionRule_11","ELEMENT_START_RULE_4","Randomized","","c039ab2e-7aae-43a3-a77e-f69cd718ff73",""
"TransitionRule_12","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","","8a6b5582-c4df-43eb-a69a-842de9abfc49",""
"TransitionRule_13","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","","645d34c1-46a2-4e19-9785-71961476e0a5",""
