"id","sectionTitle","name","text","sectionNumber","uuid:ID"
"NarrativeContent_1","Root","ROOT","","0","f9dc077a-ffb7-42d5-9f8c-9e73ec8bcde1"
"NarrativeContent_2","TITLE PAGE","SECTION 0","<div><usdm:section name=""M11-title-page""></div>","0","9fb10dd0-f58d-4303-9897-5d4aab949b72"
"NarrativeContent_3","PROTOCOL SUMMARY","SECTION 1","<div></div>","1","49b47b89-e458-4764-ae10-a3a88b9eda12"
"NarrativeContent_4","Protocol Synopsis","SECTION 1.1","<div></div>","1.1","7f2770bd-9f83-4cf5-8218-b00997bab7a5"
"NarrativeContent_5","Trial Schema","SECTION 1.2","<div></div>","1.2","491a6115-43fb-49b0-a238-681addca4723"
"NarrativeContent_6","Schedule of Activities","SECTION 1.3","<div></div>","1.3","5bf78140-2c15-4e04-b773-c69dbcf8aec5"
"NarrativeContent_7","INTRODUCTION","SECTION 2","<div></div>","2","033379e4-4d13-49b1-abc3-b06ae1e930a7"
"NarrativeContent_8","Purpose of Trial","SECTION 2.1","<div></div>","2.1","0c13f4b2-eb0d-4b0c-9700-0f1ca4b62d37"
"NarrativeContent_9","Summary of Benefits and Risks","SECTION 2.2","<div></div>","2.2","273b2463-1449-4f53-8b1f-9e7b200406ae"
"NarrativeContent_10","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","SECTION 3","<div></div>","3","f543cc4a-cbb2-4933-9085-e7515d610cb4"
"NarrativeContent_11","Primary Objectives","SECTION 3.1","<div><usdm:section name=""M11-objective-endpoints""></div>","3.1","915d24b0-e890-4c96-bdde-6db6281ef645"
"NarrativeContent_12","TRIAL DESIGN","SECTION 4","<div></div>","4","250b8676-6663-45c3-ae99-1a4037fe660a"
"NarrativeContent_13","Description of Trial Design","SECTION 4.1","<div></div>","4.1","a1f24919-ef50-4dd1-86b4-0caae17de0a5"
"NarrativeContent_14","Participant Input into Design","SECTION 4.1.1","<div></div>","4.1.1","165e5d6b-3ea4-4c37-a64a-4a3dab577d90"
"NarrativeContent_15","Rationale for Trial Design","SECTION 4.2","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","4.2","f588cd98-4776-4daf-983e-cba2c32e3d00"
"NarrativeContent_16","Rationale for Comparator","SECTION 4.2.1","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","4.2.1","2601186c-800d-4120-a6f3-fc11d66fc127"
"NarrativeContent_17","Rationale for Adaptive or Novel Trial Design","SECTION 4.2.2","<div></div>","4.2.2","c55032a3-b7ea-4716-9c53-e45e164c240a"
"NarrativeContent_18","Other Trial Design Considerations","SECTION 4.2.3","<div></div>","4.2.3","0fe69da3-0346-4e92-8897-dff30dd6ebd2"
"NarrativeContent_19","Access to Trial Intervention After End of Trial","SECTION 4.3","<div></div>","4.3","dc70fd1e-9251-41c5-adbb-9bed154b1a58"
"NarrativeContent_20","Start of Trial and End of Trial","SECTION 4.4","<div></div>","4.4","35e48d07-2346-4b07-b216-dd537171138c"
"NarrativeContent_21","TRIAL POPULATION","SECTION 5","<div></div>","5","80c28e54-8b0c-4d9f-94b4-dd2eeddc814a"
"NarrativeContent_22","Selection of Trial Population","SECTION 5.1","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","5.1","33940848-d408-45f8-95ba-57ef33cabc76"
"NarrativeContent_23","Rationale for Trial Population","SECTION 5.2","<div></div>","5.2","7297c0bf-eff0-447c-9ceb-b7f0102a0084"
"NarrativeContent_24","Inclusion Criteria","SECTION 5.3","<div><usdm:section name=""M11-inclusion""></div>","5.3","06d0d806-07a4-4d89-a5ff-3cdb76e9a1dd"
"NarrativeContent_25","Exclusion Criteria","SECTION 5.4","<div><usdm:section name=""M11-exclusion""></div>","5.4","5a9fdb06-dc95-4c71-b5ba-9ed6f3d2ab32"
"NarrativeContent_26","Lifestyle Considerations","SECTION 5.5","<div></div>","5.5","cb34d6c2-e76e-4d7a-ba14-91e9a06f55fa"
"NarrativeContent_27","Meals and Dietary Restrictions","SECTION 5.5.1","<div></div>","5.5.1","928c0939-9e08-44a6-9577-986835139099"
"NarrativeContent_28","Caffeine, Alcohol, Tobacco, and Other Habits","SECTION 5.5.2","<div><p>Not applicable</p></div>","5.5.2","df01a711-135d-4724-8dac-f988926b5e38"
"NarrativeContent_29","Physical Activity","SECTION 5.5.3","<div></div>","5.5.3","5ba411d8-f6ae-4b5a-8b75-0917538be7de"
"NarrativeContent_30","Other Activity","SECTION 5.5.4","<div></div>","5.5.4","992f4d50-ae12-4bb2-b0ec-02c8dec9def5"
"NarrativeContent_31","Screen Failures","SECTION 5.6","<div></div>","5.6","eac4621d-a3f8-4ce7-8d2c-a6837d73c5ba"
"NarrativeContent_32","TRIAL INTERVENTION AND CONCOMITANT THERAPY","SECTION 6","<div></div>","6","558bf91d-69ff-470e-b503-47da8c4644d2"
"NarrativeContent_33","Description of Trial Intervention","SECTION 6.1","<div></div>","6.1","118979b1-5ae0-47ae-a0ad-88e0b97eb279"
"NarrativeContent_34","Rationale for Trial Intervention","SECTION 6.2","<div></div>","6.2","fa7ebc8b-6023-4eda-996b-c379b06c1601"
"NarrativeContent_35","Dosing and Administration","SECTION 6.3","<div></div>","6.3","a434b846-7796-442f-bb43-ca1e57236ee6"
"NarrativeContent_36","Trial Intervention Dose Modification","SECTION 6.3.1","<div></div>","6.3.1","5c7bd695-dbaa-4b32-baff-3852ae3476f7"
"NarrativeContent_37","Treatment of Overdose","SECTION 6.4","<div></div>","6.4","eb2f3683-b6da-44d6-b8fd-122ff41d5c52"
"NarrativeContent_38","Preparation, Handling, Storage and Accountability","SECTION 6.5","<div></div>","6.5","4fad040c-c2c3-4b52-b4f8-c22493fcb4e7"
"NarrativeContent_39","Preparation of Trial Intervention","SECTION 6.5.1","<div></div>","6.5.1","7feb6f63-f7be-41a0-bfb4-9d6222b0d3ae"
"NarrativeContent_40","Handling and Storage of Trial Intervention","SECTION 6.5.2","<div></div>","6.5.2","06d6134e-0d1c-4eb3-8401-7b6f94c5362e"
"NarrativeContent_41","Accountability of Trial Intervention","SECTION 6.5.3","<div></div>","6.5.3","24095e0b-4dea-48ef-a19a-c95c5c69373b"
"NarrativeContent_42","Participant Assignment, Randomisation and Blinding","SECTION 6.6","<div></div>","6.6","6128cbe1-10c1-4abf-b15c-575ea18683a9"
"NarrativeContent_43","Participant Assignment","SECTION 6.6.1","<div></div>","6.6.1","88537ebf-d866-4605-b7ed-b2e9b1ced8c3"
"NarrativeContent_44","Randomisation","SECTION 6.6.2","<div></div>","6.6.2","405ecddf-e210-4986-8002-965d3654ad3d"
"NarrativeContent_45","Blinding and Unblinding","SECTION 6.6.3","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","6.6.3","bdf4b8d5-3edd-4768-b9c8-62205222df7d"
"NarrativeContent_46","Trial Intervention Compliance","SECTION 6.7","<div></div>","6.7","fdc19a7d-543e-4c3f-91b4-804cca5b3eee"
"NarrativeContent_47","Concomitant Therapy","SECTION 6.8","<div></div>","6.8","ec2e7466-cad1-4415-843c-dce8d813c762"
"NarrativeContent_48","Prohibited Concomitant Therapy","SECTION 6.8.1","<div></div>","6.8.1","185c3074-9e30-4c36-a337-c4cba56068e1"
"NarrativeContent_49","Permitted Concomitant Therapy","SECTION 6.8.2","<div></div>","6.8.2","cf7aba26-3db4-450d-8084-fcca105ad271"
"NarrativeContent_50","Rescue Therapy","SECTION 6.8.3","<div></div>","6.8.3","2838dd38-2e42-43e8-91bd-2b7f1bd0fc28"
"NarrativeContent_51","Other Therapy","SECTION 6.8.4","<div></div>","6.8.4","fd87f80c-80dc-4cd7-aaa9-795f55606827"
"NarrativeContent_52","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","SECTION 7","<div></div>","7","fe5a1068-df96-422b-bb3d-edbca6a1b6b9"
"NarrativeContent_53","Discontinuation of Trial Intervention","SECTION 7.1","<div></div>","7.1","6037784f-3c64-4745-8410-b23c51dfef3e"
"NarrativeContent_54","Criteria for Permanent Discontinuation of Trial Intervention","SECTION 7.1.1","<div></div>","7.1.1","c77deb55-ed68-4652-a355-04693b6e24e0"
"NarrativeContent_55","Temporary Discontinuation or Interruption of Trial Intervention","SECTION 7.1.2","<div></div>","7.1.2","2f73a84b-52d9-47c3-9020-4a80eb5d8d0c"
"NarrativeContent_56","Rechallenge","SECTION 7.1.3","<div></div>","7.1.3","1b8dddee-331b-4e7f-b96f-ffe771608f42"
"NarrativeContent_57","Participant Withdrawal from the Trial","SECTION 7.2","<div></div>","7.2","58b719eb-89e5-45be-9ddf-6cadf7666c33"
"NarrativeContent_58","Lost to Follow-Up","SECTION 7.3","<div></div>","7.3","3a4bb11b-d33b-43ff-813c-ad97f5a02732"
"NarrativeContent_59","Trial Stopping Rules","SECTION 7.4","<div></div>","7.4","919f6852-6bd9-401f-9d80-2b3dacb619e1"
"NarrativeContent_60","TRIAL ASSESSMENTS AND PROCEDURES","SECTION 8","<div></div>","8","b543726d-2520-44b9-a89b-fb23e99f6240"
"NarrativeContent_61","Screening/Baseline Assessments and Procedures","SECTION 8.1","<div></div>","8.1","48f0d250-fa1b-4440-9769-7d25b08104ee"
"NarrativeContent_62","Efficacy Assessments and Procedures","SECTION 8.2","<div></div>","8.2","44434ef3-ff87-40ae-baa3-fae65b201e67"
"NarrativeContent_63","Safety Assessments and Procedures","SECTION 8.3","<div></div>","8.3","1d1efca2-47ad-443b-b2fe-c85c19878413"
"NarrativeContent_64","Physical Examination","SECTION 8.3.1","<div></div>","8.3.1","66e7e5d8-e5e4-4c14-9976-c020873e2828"
"NarrativeContent_65","Vital Signs","SECTION 8.3.2","<div></div>","8.3.2","cb8e9172-1756-447b-aa20-a6d918a707d6"
"NarrativeContent_66","Electrocardiograms","SECTION 8.3.3","<div></div>","8.3.3","171bdbdf-5684-470f-a364-0a5bf75150b5"
"NarrativeContent_67","Clinical Laboratory Assessments","SECTION 8.3.4","<div></div>","8.3.4","2ca00844-69b0-444c-9c89-728fa1d40408"
"NarrativeContent_68","Suicidal Ideation and Behaviour Risk Monitoring","SECTION 8.3.5","<div></div>","8.3.5","59275887-e58a-41db-b999-0593f3cd9696"
"NarrativeContent_69","Adverse Events and Serious Adverse Events","SECTION 8.4","<div></div>","8.4","e14f5f35-e2e2-419a-81a9-1d3fda9f0ead"
"NarrativeContent_70","Definitions of AE and SAE","SECTION 8.4.1","<div></div>","8.4.1","d32f142c-04d3-469c-80f5-84a3e72e9fde"
"NarrativeContent_71","Time Period and Frequency for Collecting AE and SAE Information","SECTION 8.4.2","<div></div>","8.4.2","c9771948-f080-4f09-abec-c078ee0caaac"
"NarrativeContent_72","Identifying AEs and SAEs","SECTION 8.4.3","<div></div>","8.4.3","ff8b8311-9078-4620-a3fd-9c38cd5c6ca0"
"NarrativeContent_73","Recording of AEs and SAEs","SECTION 8.4.4","<div></div>","8.4.4","6227861c-b96c-4b8f-80a2-56d22a1d477a"
"NarrativeContent_74","Follow-up of AEs and SAEs","SECTION 8.4.5","<div></div>","8.4.5","1aa2d154-6125-477e-b1d6-8da4a41b7350"
"NarrativeContent_75","Reporting of SAEs","SECTION 8.4.6","<div></div>","8.4.6","06298264-9ccb-4e0e-8144-d6e26e4f978a"
"NarrativeContent_76","Regulatory Reporting Requirements for SAEs","SECTION 8.4.7","<div></div>","8.4.7","c2dd65db-4b9c-4721-8485-5751c0849d0e"
"NarrativeContent_77","Serious and Unexpected Adverse Reaction Reporting","SECTION 8.4.8","<div></div>","8.4.8","d713543c-35f3-440d-9703-f6639cc7ab3c"
"NarrativeContent_78","Adverse Events of Special Interest","SECTION 8.4.9","<div></div>","8.4.9","2d6f38e1-696b-4c48-97ca-1b3842eabe4f"
"NarrativeContent_79","Disease-related Events or Outcomes Not Qualifying as AEs or SAEs","SECTION 8.4.10","<div></div>","8.4.10","2631b968-c2e1-404a-8a8a-0ef7019c466f"
"NarrativeContent_80","Pregnancy and Postpartum Information","SECTION 8.5","<div></div>","8.5","95167a6c-c703-4436-954c-95b7635c2577"
"NarrativeContent_81","Participants Who Become Pregnant During the Trial","SECTION 8.5.1","<div></div>","8.5.1","09b785d6-b7bf-4f7f-bfd4-e26792957408"
