"id","name","label","bcSynonyms","uuid:ID","bcReference"
"BiomedicalConcept_18","Body Temperature","Body Temperature","['Temperature']","d74b6704-c2a3-4b57-b858-1b80d941c705","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446"
"BiomedicalConcept_19","Body Weight","Body Weight","['Weight']","f4439d90-1c22-4175-82c8-0a7fe0ffd282","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328"
"BiomedicalConcept_20","Body Height","Body Height","['Height']","ae5d8388-390e-466d-970f-efd4f308da1a","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634"
"BiomedicalConcept_21","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","a07171b7-1281-4096-858c-66749007cbf8","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433"
"BiomedicalConcept_22","Albumin Measurement","Albumin Measurement","['Albumin']","874d36ba-8074-4d7f-b0f0-04d965a4a775","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431"
"BiomedicalConcept_23","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","c4d06ce5-4b93-4aa7-a369-e55ffde03a8d","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432"
"BiomedicalConcept_24","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","23c3288d-8d9c-43b7-9022-12d45928eaa4","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467"
"BiomedicalConcept_25","Creatinine Measurement","Creatinine Measurement","['Creatinine']","5971fbc8-9360-4301-a688-0b5c47a91f4e","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547"
"BiomedicalConcept_26","Potassium Measurement","Potassium Measurement","['Potassium', 'K']","74b3f90c-7b9b-485f-b4fc-512fe9b01db2","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853"
"BiomedicalConcept_27","Sodium Measurement","Sodium Measurement","['Sodium', 'NA']","08f5526a-5d70-4781-8753-3fffeded958b","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809"
"BiomedicalConcept_1","Adverse Event","Adverse Event","['Adverse Event Reported Term', 'AETERM']","030d9563-a357-4575-a051-733988e6696e","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331"
"BiomedicalConcept_2","Systolic Blood Pressure","Systolic Blood Pressure","['SYSBP']","981cea05-e452-4c13-a098-7c5bbe3294f8","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298"
"BiomedicalConcept_3","Diastolic Blood Pressure","Diastolic Blood Pressure","['DIABP']","1005b7a3-ac28-4132-b164-a3ef9b668033","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299"
"BiomedicalConcept_4","Body Temperature","Body Temperature","['Temperature']","9211a4c5-5edc-4001-9d41-48accba5edb7","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446"
"BiomedicalConcept_5","Body Weight","Body Weight","['Weight']","8bd0ff15-1c1d-470f-b7af-53c2f4a85a7c","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328"
"BiomedicalConcept_6","Body Height","Body Height","['Height']","2112d7e7-d6da-49f5-abcb-e3439e56887f","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634"
"BiomedicalConcept_7","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","991185eb-d1d7-4cb0-abcb-6dbbb86e59eb","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433"
"BiomedicalConcept_8","Albumin Measurement","Albumin Measurement","['Albumin']","6d804a11-9dc7-455f-abc7-2c286bf63cdd","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431"
"BiomedicalConcept_9","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","f2904860-aa94-4c6f-a2f7-14e1be1167d9","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432"
"BiomedicalConcept_10","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","c65861e6-fd9f-4dcb-a76c-3f8b6753c043","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467"
"BiomedicalConcept_11","Creatinine Measurement","Creatinine Measurement","['Creatinine']","fb67a9e3-6743-4528-a08c-821e6088d071","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547"
"BiomedicalConcept_12","Potassium Measurement","Potassium Measurement","['Potassium', 'K']","89d99215-5b00-4d34-880d-5d4b4e4bed2d","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853"
"BiomedicalConcept_13","Sodium Measurement","Sodium Measurement","['Sodium', 'NA']","46655fdf-bd1f-4021-b6d3-f6e43014f16a","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809"
