"id","code","decode","codeSystemVersion","codeSystem","uuid:ID"
"Code_1","C98388","Interventional Study","2023-09-29","http://www.cdisc.org","375e8cd8-1cb6-4ebe-b411-4e17391b9bcb"
"Code_2","C15601","Phase II Trial","2023-09-29","http://www.cdisc.org","96b32d0c-fd04-4f23-b329-24a7cbce46f5"
"Code_5","C132352","Sponsor Approval Date","2023-09-29","http://www.cdisc.org","981181df-0a4e-4c19-85a4-5bad609fcb3b"
"Code_6","C68846","Global","2023-09-29","http://www.cdisc.org","42aa4639-07e0-4ada-b4ac-66cf537a2de7"
"Code_54","C99904x3","IRB/IEC Feedback","2023-09-29","http://www.cdisc.org","2b7a23ae-6025-49a0-8526-8a7170ac5dda"
"Code_55","C17649","Other","2023-09-29","http://www.cdisc.org","8cb367f2-2927-4ff1-97c0-eb4ad76f41cf"
"Code_57","C41129","Region","2023-09-29","http://www.cdisc.org","2bba6aa8-1c80-45d3-9754-81f4d74c19e5"
"Code_56","150","Europe","2020-08","ISO 3166 1 alpha3","8a622b4a-adc8-440a-8833-1282376a72f4"
"Code_59","C25464","Country","2023-09-29","http://www.cdisc.org","2a119666-91f4-4b3c-97f3-87f775d8b28f"
"Code_58","DNK","Denmark","2020-08","ISO 3166 1 alpha3","f3ee41f2-0ba0-4bb1-b290-f56cfef8e4c7"
"Code_3","PHARMA","Eli Lilly","12","SPONSOR","ff386f28-b64a-42ed-9011-3797bae6cd2d"
"Code_60","C70793","Clinical Study Sponsor","2023-09-29","http://www.cdisc.org","52149799-e433-44af-a547-edf2f749acbc"
"Code_61","USA","United States of America","2020-08","ISO 3166 1 alpha3","efa4ba1f-3376-4a18-8401-e7c79313dafa"
"Code_62","C93453","Study Registry","2023-09-29","http://www.cdisc.org","266799ab-bc23-4105-9c9b-30c59fdee3ab"
"Code_120","C49656","Treatment Study","2023-09-29","http://www.cdisc.org","897daf55-1a39-43f3-8c3d-86f8d05bf7f4"
"Code_121","C49666","Efficacy Study","2023-09-29","http://www.cdisc.org","c1788199-cbf4-48f2-959d-c606f30c300d"
"Code_122","C49667","Safety Study","2023-09-29","http://www.cdisc.org","9a95a2e8-1081-4b20-ab80-1b982c6503f3"
"Code_123","C49663","Pharmacokinetic Study","2023-09-29","http://www.cdisc.org","570b5af1-b839-40f9-b2c1-a7d54459c668"
"Code_117","MILD_MOD_ALZ","Mild to Moderate Alzheimer\'s Disease","12","SPONSOR","661419d5-548d-41cc-a8bf-38580461a3c4"
"Code_118","26929004","Alzheimer\'s disease","January 31, 2018","SNOMED","6bd52217-4f2f-42d9-a8e2-499719313357"
"Code_124","C82639","Parallel Study","2023-09-29","http://www.cdisc.org","aa872038-0e99-45f4-b915-a7589b0f55d6"
"Code_66","C25716","Visit","2023-09-29","http://www.cdisc.org","b7b185ee-a1b3-494c-90b6-80b3812803b2"
"Code_67","C51282","Clinic","2023-09-29","http://www.cdisc.org","2714c5fa-78bc-471a-9688-63b6640a5ee1"
"Code_68","C175574","In Person","2023-09-29","http://www.cdisc.org","69e36e9a-61ec-41d0-be3a-0fc7b5e42b62"
"Code_69","C25716","Visit","2023-09-29","http://www.cdisc.org","425514bf-b3fb-4d43-aa58-71c291fd8ef5"
"Code_70","C51282","Clinic","2023-09-29","http://www.cdisc.org","6372f3ac-c385-4bf5-8afb-d29b41335899"
"Code_71","C175574","In Person","2023-09-29","http://www.cdisc.org","62c159a1-13a8-48c2-9b9d-12053609efc3"
"Code_72","C25716","Visit","2023-09-29","http://www.cdisc.org","90fdcfb4-419a-4428-b253-fcb6f7e13ecb"
"Code_73","C51282","Clinic","2023-09-29","http://www.cdisc.org","9299559f-6fdb-4f20-ba50-dd143195d625"
"Code_74","C175574","In Person","2023-09-29","http://www.cdisc.org","5ec64f69-5797-40b9-8da6-973565f5e8e7"
"Code_75","C25716","Visit","2023-09-29","http://www.cdisc.org","2e71cf88-5dfb-4902-aa10-bc434bc5d3c2"
"Code_76","C51282","Clinic","2023-09-29","http://www.cdisc.org","2af02354-775d-437e-94e8-f6670010ad40"
"Code_77","C175574","In Person","2023-09-29","http://www.cdisc.org","479a7eb8-5214-449f-984d-80c3906b35b8"
"Code_78","C25716","Visit","2023-09-29","http://www.cdisc.org","a3e2dbf0-7aa7-4fd9-b09a-85fd2c1fdc7a"
"Code_79","C51282","Clinic","2023-09-29","http://www.cdisc.org","8cd0292f-d785-4d83-a04f-1156eeb8f44c"
"Code_80","C175574","In Person","2023-09-29","http://www.cdisc.org","3fac2cb7-e144-4a99-9fb9-3b42ff508f30"
"Code_81","C25716","Visit","2023-09-29","http://www.cdisc.org","d7e054b3-6810-4ae8-9097-62a575c0e9e6"
"Code_82","C51282","Clinic","2023-09-29","http://www.cdisc.org","52569f92-7190-452f-beb8-a47939a4534a"
"Code_83","C175574","In Person","2023-09-29","http://www.cdisc.org","272feac3-2940-423d-bf2e-4237a354c695"
"Code_84","C25716","Visit","2023-09-29","http://www.cdisc.org","c26750c3-2d3d-4dc8-a7d7-a448a3bd5704"
"Code_85","C51282","Clinic","2023-09-29","http://www.cdisc.org","988cf84d-8e6d-4865-b4af-b338935e5544"
"Code_86","C175574","In Person","2023-09-29","http://www.cdisc.org","7d596e42-0f9d-47ca-aed5-3228a9cf717d"
"Code_87","C171537","Telephone Call","2023-09-29","http://www.cdisc.org","19c12c28-1388-4b7e-8833-b92291accf33"
"Code_88","C25716","Visit","2023-09-29","http://www.cdisc.org","cc3f8256-cc6d-4268-acbc-a36fbc133856"
"Code_89","C51282","Clinic","2023-09-29","http://www.cdisc.org","1e1b6377-0887-4df2-aecd-dc3dae7b0031"
"Code_90","C175574","In Person","2023-09-29","http://www.cdisc.org","1631e131-0600-44be-8099-fea6b1fb1c2d"
"Code_91","C171537","Telephone Call","2023-09-29","http://www.cdisc.org","f67aa497-110f-4b48-bb93-01caa4d35db8"
"Code_92","C25716","Visit","2023-09-29","http://www.cdisc.org","bf3d9bd0-9094-416f-a368-310ec9f7d76c"
"Code_93","C51282","Clinic","2023-09-29","http://www.cdisc.org","51066554-0e09-46bd-880c-3c00aefd1ed1"
"Code_94","C175574","In Person","2023-09-29","http://www.cdisc.org","a6b9403c-f9d5-4cb0-97e6-404366250c09"
"Code_95","C171537","Telephone Call","2023-09-29","http://www.cdisc.org","090fc37d-36ff-4098-8b71-d36355ac349a"
"Code_96","C25716","Visit","2023-09-29","http://www.cdisc.org","11e573b6-2f96-4a33-9d15-223a97f5ec65"
"Code_97","C51282","Clinic","2023-09-29","http://www.cdisc.org","d0f5f6cc-0dd9-4036-85d5-23d05235ccb8"
"Code_98","C175574","In Person","2023-09-29","http://www.cdisc.org","42140579-38f9-44c6-9e79-67b13bc3d333"
"Code_99","C171537","Telephone Call","2023-09-29","http://www.cdisc.org","87241b9e-390c-4c95-a3b2-61fd87565924"
"Code_100","C25716","Visit","2023-09-29","http://www.cdisc.org","e79ea999-1b2a-428d-af9a-2e05e6945e7a"
"Code_101","C51282","Clinic","2023-09-29","http://www.cdisc.org","c29a3727-e0ed-4ba5-ba02-bb5f779bbd5d"
"Code_102","C175574","In Person","2023-09-29","http://www.cdisc.org","ba7f7bb1-a4e7-4c92-9864-835738d47630"
"Code_103","C25716","Visit","2023-09-29","http://www.cdisc.org","e04ca1c3-8ed5-4340-9d77-b12c44c65d51"
"Code_104","C51282","Clinic","2023-09-29","http://www.cdisc.org","30fac2a1-2dcf-4b61-b8cb-622a080de3ce"
"Code_105","C175574","In Person","2023-09-29","http://www.cdisc.org","ceddaf1b-0bcd-40b8-b56e-10bc5b1ea23e"
"Code_63","383371000119108","CT of head without contrast","January 31, 2018","SNOMED","750cc381-2469-49cf-a81d-d00b9e736e7e"
"Code_64","123","Supine for 5 minutes","12","SPONSOR","b4a63416-df3f-4cbb-9d03-7e83d3c06346"
"Code_65","124","Standingfor 1-3 minutes","12","SPONSOR","1b63b91e-8644-43bc-8615-fd9e690077bc"
"Code_244","C173522","Vital Signs Result","","NCI Thesaurus","ff9aead5-2067-4060-a6e9-411c23aa06a1"
