"description","label","id","name","instanceType","uuid:ID"
"-","Screen One","ScheduledActivityInstance_9","SCREEN1","ScheduledActivityInstance","7d9737b8-04a0-4834-a5f3-a19f6ad3ac1d"
"-","Screen Two","ScheduledActivityInstance_10","SCREEN2","ScheduledActivityInstance","b9f5ea32-3653-4690-b07e-95ad76edfcfb"
"-","Dose","ScheduledActivityInstance_11","DOSE","ScheduledActivityInstance","8bb6176f-fb4a-46f6-bfc4-3c380a73bdba"
"-","Week 2","ScheduledActivityInstance_12","WK2","ScheduledActivityInstance","88b7c440-6eb1-4837-8070-0acc2d8f3c98"
"-","Week 4","ScheduledActivityInstance_13","WK4","ScheduledActivityInstance","2c00afa6-a4ff-4a4a-943b-5f46f599a212"
"-","Week 6","ScheduledActivityInstance_14","WK6","ScheduledActivityInstance","c829ecfe-f363-44d7-9aa0-2a868f3fa74b"
"-","Week 8","ScheduledActivityInstance_15","WK8","ScheduledActivityInstance","1aa37f5c-9be4-474f-8ea4-05c59f96cec9"
"-","Week NPI","ScheduledActivityInstance_16","WK8N","ScheduledActivityInstance","93173d2f-b11f-4566-b3cb-f539057dc41b"
"-","Week 12","ScheduledActivityInstance_17","WK12","ScheduledActivityInstance","e8352f5b-46be-403e-9ac1-bbf395eea561"
"-","Week 12 NPI","ScheduledActivityInstance_18","WK12N","ScheduledActivityInstance","cb80984b-497e-45f8-9ec8-cea943108b97"
"-","Week 16","ScheduledActivityInstance_19","WK16","ScheduledActivityInstance","ba748b38-f11d-4040-9cb3-fbde2d441650"
"-","Week 16 NPI","ScheduledActivityInstance_20","WK16N","ScheduledActivityInstance","696ee2d6-1364-4278-b978-ceeb1dee93b3"
"-","Week 20","ScheduledActivityInstance_21","WK20","ScheduledActivityInstance","cdbaea1d-7805-4c45-a607-b2b860ada061"
"-","Week 20 NPI","ScheduledActivityInstance_22","WK20N","ScheduledActivityInstance","43f73823-291a-410e-b932-2b1d30ee27da"
"-","Week 24","ScheduledActivityInstance_23","WK24","ScheduledActivityInstance","b6efaa69-9598-47b0-8ed1-cdb5ded6d786"
"-","Week 26","ScheduledActivityInstance_24","WK26","ScheduledActivityInstance","c6b30e80-6459-4eea-be92-7dc99f0e6a88"
"-","Adevers Event","ScheduledActivityInstance_1","AE","ScheduledActivityInstance","362b37c0-2f1c-4619-a5b6-dcb5f9ac6b69"
"-","Early Termination","ScheduledActivityInstance_2","ET","ScheduledActivityInstance","7e9682b9-1c27-49c5-a7ac-e05d7d6afddf"
"","5 minute supine","ScheduledActivityInstance_3","VS_5MIN","ScheduledActivityInstance","c9aff246-5fb0-4d5c-9785-be5db44893d4"
"","Vital signs supine","ScheduledActivityInstance_4","VS_SUPINE","ScheduledActivityInstance","0758d3b2-1ab0-4c03-8674-6b7bdcb0bd6e"
"","1 minute standing","ScheduledActivityInstance_5","VS_1MIN","ScheduledActivityInstance","7c5e472a-dccf-4c4d-ab2f-4a9b5a905e99"
"","Vital signs after 1 min standing","ScheduledActivityInstance_6","VS_STAND1","ScheduledActivityInstance","ac29e1a5-4de8-4521-8302-81e72564c522"
"","2 minute standing","ScheduledActivityInstance_7","VS_2MIN","ScheduledActivityInstance","5a72a147-73cd-4711-a1b2-e0bda2c80bb2"
"","Vital signs after 3 min standing","ScheduledActivityInstance_8","VS_STAND3","ScheduledActivityInstance","8b9f645d-4b52-444f-98e6-65fee4b4d94a"
