"codeSystemVersion","id","code","decode","instanceType","uuid:ID","codeSystem"
"2023-12-15","Code_1","C98388","Interventional Study","Code","c65b9e2f-2554-43f6-bce0-81e6af4d7ac4","http://www.cdisc.org"
"2023-12-15","Code_2","C15601","Phase II Trial","Code","f64e0781-52dc-4518-b516-d9c68bf7a152","http://www.cdisc.org"
"2023-12-15","Code_9","C132352","Sponsor Approval Date","Code","3923d1e1-1084-4313-a996-977302b4e0d1","http://www.cdisc.org"
"2023-12-15","Code_10","C68846","Global","Code","0096d745-ebfe-441a-9aac-5dda535a5a61","http://www.cdisc.org"
"2023-12-15","Code_72","C99904x3","IRB/IEC Feedback","Code","05e8b90a-889b-474e-b890-21ccdeb08ae2","http://www.cdisc.org"
"2023-12-15","Code_73","C17649","Other","Code","8b88cb17-e611-4abb-8f06-a4772f371a63","http://www.cdisc.org"
"2023-12-15","Code_75","C41129","Region","Code","3923c65e-ce93-4377-a107-573c2ff3d731","http://www.cdisc.org"
"2020-08","Code_74","150","Europe","Code","dbb9a089-7968-4d2f-ba75-0fe16525f790","ISO 3166 1 alpha3"
"12","Code_4","PHARMA","Eli Lilly","Code","9cb7b685-ef79-4fd8-8a9d-247f44816f06","SPONSOR"
"2023-12-15","Code_76","C70793","Clinical Study Sponsor","Code","e1c6b6d1-e58a-433a-916e-23498d0bac2d","http://www.cdisc.org"
"2020-08","Code_77","USA","United States of America","Code","378687d5-05af-4024-b82b-a79a57b59939","ISO 3166 1 alpha3"
"2023-12-15","Code_78","C93453","Study Registry","Code","dd98b1d4-c7b1-48e8-8b1c-543c9849900e","http://www.cdisc.org"
"2020-08","Code_79","USA","United States of America","Code","d4e3dee9-50f4-46ee-86a9-ddc8cb70b5ff","ISO 3166 1 alpha3"
"2023-12-15","Code_137","C49656","Treatment Study","Code","420e98ad-e327-4b88-81a4-3c79aaa72079","http://www.cdisc.org"
"2023-12-15","Code_138","C49666","Efficacy Study","Code","58e8b39a-1b88-4856-995a-828396b2bc91","http://www.cdisc.org"
"2023-12-15","Code_139","C49667","Safety Study","Code","9697641c-5a11-4d63-b552-36286620a833","http://www.cdisc.org"
"2023-12-15","Code_140","C49663","Pharmacokinetic Study","Code","62cbaf30-6298-459c-9699-55d827f5efca","http://www.cdisc.org"
"12","Code_134","MILD_MOD_ALZ","Mild to Moderate Alzheimer's Disease","Code","99ddae61-ff4f-4ab4-b487-061a546847e7","SPONSOR"
"January 31, 2018","Code_135","26929004","Alzheimer's disease","Code","8de47b3e-62a3-41b4-99bc-640fbb5c5c6f","SNOMED"
"2023-12-15","Code_143","C99907x1","EXTENSION","Code","96a7b15d-6d41-4c1c-9470-543fa0c20bc2","http://www.cdisc.org"
"2023-12-15","Code_144","C98704","ADAPTIVE","Code","43576ba7-8a58-4c71-b76a-55301131d1e7","http://www.cdisc.org"
"2023-12-15","Code_141","C82639","Parallel Study","Code","a0d9fc60-7c1e-4e8d-a818-6ec1b895ebe2","http://www.cdisc.org"
"2023-12-15","Code_83","C25716","Visit","Code","232e41b5-a17b-4ccf-bd5a-e27bf40183f0","http://www.cdisc.org"
"2023-12-15","Code_84","C51282","Clinic","Code","c613bc8b-7928-4093-90c5-8984c08c847d","http://www.cdisc.org"
"2023-12-15","Code_85","C175574","In Person","Code","93cffc8b-141a-441f-9bdc-c1b80445083a","http://www.cdisc.org"
"2023-12-15","Code_86","C25716","Visit","Code","0bd8a0bd-63a9-4c40-9668-73427265f87f","http://www.cdisc.org"
"2023-12-15","Code_87","C51282","Clinic","Code","3f33d56d-1821-44b7-964f-2a599071a18a","http://www.cdisc.org"
"2023-12-15","Code_88","C175574","In Person","Code","322805e6-28c9-4392-8ec6-746d3a09d8f9","http://www.cdisc.org"
"2023-12-15","Code_89","C25716","Visit","Code","9e46cf3f-01f8-460b-865c-57dda5c6d838","http://www.cdisc.org"
"2023-12-15","Code_90","C51282","Clinic","Code","c4993aa4-449d-49de-9547-fca2d283add2","http://www.cdisc.org"
"2023-12-15","Code_91","C175574","In Person","Code","9d354560-471c-47a7-b5eb-ae5219e7849b","http://www.cdisc.org"
"2023-12-15","Code_92","C25716","Visit","Code","10bf824e-ce65-47a7-ae3a-e561948f0b55","http://www.cdisc.org"
"2023-12-15","Code_93","C51282","Clinic","Code","08a32640-03ed-41e2-a48a-0a35884dfdc8","http://www.cdisc.org"
"2023-12-15","Code_94","C175574","In Person","Code","0c7526ef-96ed-47e9-824b-1ffa210a2e69","http://www.cdisc.org"
