"label","id","reference","name","synonyms","instanceType","uuid:ID"
"Informed Consent Obtained","BiomedicalConcept_20","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","Informed Consent Obtained","['Informed Consent Obtained', 'Informed Consent']","BiomedicalConcept","180b73ae-398a-49c5-9064-615057a03c64"
"Sex","BiomedicalConcept_21","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","Sex","","BiomedicalConcept","38e41920-6157-49f4-a1c8-befe82852110"
"Race","BiomedicalConcept_22","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","Race","['Racial Group']","BiomedicalConcept","d50934e2-0fa0-4265-90e6-8b231d7f7892"
"Temperature","BiomedicalConcept_23","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature","['Temperature', 'Body Temperature']","BiomedicalConcept","a5225714-322b-4fca-8ab6-492525d54fcf"
"Weight","BiomedicalConcept_24","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight","['Weight', 'Body Weight']","BiomedicalConcept","370a4654-34f1-4d71-9401-d5b7efba1912"
"Height","BiomedicalConcept_25","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height","['Height', 'Body Height']","BiomedicalConcept","8f35ece4-bc51-422b-822f-97eaa41a5378"
"Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_26","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept","3ebc1935-5034-4f7e-8a92-cddd887deec8"
"Albumin Presence in Urine","BiomedicalConcept_27","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","BiomedicalConcept","3df43708-fa9d-47a2-b6c1-ac653b32cbb4"
"Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_28","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept","f7f64722-19a4-424b-b319-bc927278767c"
"Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_29","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept","44eaa885-de54-4620-b3a9-290319417d9d"
