"id","text","name","instanceType","uuid:ID"
"TransitionRule_1","Subject identifier","ENCOUNTER_START_RULE_1","TransitionRule","7872c925-a5bd-44d0-8d85-a0fd6859991f"
"TransitionRule_2","completion of screening activities","ENCOUNTER_START_RULE_1","TransitionRule","37082fa0-c0cc-4358-84e9-4e0890ff405d"
"TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine","ENCOUNTER_START_RULE_2","TransitionRule","408dd955-5f81-4662-99cc-2ec521ff773b"
"TransitionRule_4","subject has connection of ambulatory ECG machine removed","ENCOUNTER_START_RULE_3","TransitionRule","77733f36-118c-4e96-9cfe-403bbc189f29"
"TransitionRule_5","Radomized","ENCOUNTER_START_RULE_3","TransitionRule","b17501ad-fa48-488b-861d-6dc91ff270fd"
"TransitionRule_6","End of treatment","ENCOUNTER_START_RULE_12","TransitionRule","d415ec93-d484-478d-a239-3b6102aecdab"
"TransitionRule_7","Informed consent","ELEMENT_START_RULE_1","TransitionRule","da08741f-d948-4c7f-8a16-5def4796ada4"
"TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent","ELEMENT_END_RULE_1","TransitionRule","c8c01540-db61-4ab7-9911-c7e1027244f0"
"TransitionRule_9","Administration of first dose","ELEMENT_START_RULE_2","TransitionRule","4b021df7-c585-487d-9e05-bef974b758b8"
"TransitionRule_14","End of last scheduled visit on study (including early termination)","ELEMENT_START_RULE_7","TransitionRule","736dec5d-25fa-449e-8521-82c69b9a1044"
"TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)","ELEMENT_END_RULE_7","TransitionRule","7f0f8652-8b7a-45f8-ab8f-194f2d4598a9"
"TransitionRule_10","Administration of first dose","ELEMENT_START_RULE_3","TransitionRule","f768dbfd-921f-4093-a84e-dada17c02c37"
"TransitionRule_11","Randomized","ELEMENT_START_RULE_4","TransitionRule","c20c9d9d-2ddf-441c-9c9c-c973eb2d4ce6"
"TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)","ELEMENT_START_RULE_5","TransitionRule","88c8c333-f3fe-4942-99fb-65939d5cd26b"
"TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)","ELEMENT_START_RULE_6","TransitionRule","683dc724-cb4b-44bb-8e35-a30d451fad72"
