"description","label","id","name","instanceType","uuid:ID"
"","Informed consent","Activity_1","Informed consent","Activity","1d59d5c9-8787-4004-a015-bfe8874bd5ed"
"","Inclusion and exclusion criteria","Activity_2","Inclusion/exclusion criteria","Activity","84db152a-cfcd-40e9-8d75-9d177141a883"
"","Patient number assigned","Activity_3","Patient number assigned","Activity","4cee9f90-b510-4e83-9a8a-6b1b0d597b7b"
"","Demographics","Activity_4","Demographics","Activity","6e5b6921-16f4-4b78-8133-3966aac91240"
"","Hachinski Ischemic Scale","Activity_5","Hachinski","Activity","a3f41589-ce6e-43de-96ee-d84d9ff7c07d"
"","MMSE","Activity_6","MMSE","Activity","b4e303be-9364-48c2-a621-1c146414a21c"
"","Physical examination","Activity_7","Physical examination","Activity","a02ba0f3-907c-4f10-a538-12fe77e08f3b"
"","Medical history","Activity_8","Medical history","Activity","73462c53-fcba-445c-b59a-97948b111a0f"
"","Habits","Activity_9","Habits","Activity","58c0019a-8be7-4501-b58a-b6b7ea2f6402"
"","Chest X-ray","Activity_10","Chest X-ray","Activity","ccb3ed6c-e29e-485f-b01b-332ff182643c"
"","Apo E genotyping","Activity_11","Apo E genotyping","Activity","b37b9227-9c41-43a3-8b34-ca657c29b8fc"
"","Patient randomised","Activity_12","Patient randomised","Activity","22197983-c3ff-46af-b654-6eed3b6420a6"
"","Vital Signs and Temperature","Activity_13","Vital signs / Temperature","Activity","0d730b0b-8a08-42ef-94ad-370f91aa6f2e"
"","Ambulatory ECG placed","Activity_14","Ambulatory ECG placed","Activity","0dd9e1e5-a02e-4af1-87a2-fef70b41b6c4"
"","Ambulatory ECG removed","Activity_15","Ambulatory ECG removed","Activity","6e396a23-99f8-4df7-b935-0aac077b97d6"
"","ECG","Activity_16","ECG","Activity","d22e0970-8cc5-4343-9b9c-55ce30e4bab3"
"","Placebo TTS test","Activity_17","Placebo TTS test","Activity","7290a519-2f04-4ca7-8b2f-49cbb8526f85"
"","CT scan","Activity_18","CT scan","Activity","28a3fefd-77f4-44b1-8ad8-9ba699447cb0"
"","Concomitant medications","Activity_19","Concomitant medications","Activity","a53efb0a-c47e-4873-9c3c-24e2a9614493"
"","Hematology","Activity_20","Hematology","Activity","124ae3ec-aae4-451b-9aef-2397ce68ecc1"
"","Chemistry","Activity_21","Chemistry","Activity","22467040-38d2-412c-a765-38ba10bbdd26"
"","Uninalysis","Activity_22","Uninalysis","Activity","0c2ea324-a2ea-4dbb-b7b7-3bcb7fe07f1e"
"","Plasma Specimen (Xanomeline)","Activity_23","Plasma Specimen (Xanomeline)","Activity","48453b8d-50b7-4387-98b6-f64fb785f2f8"
"","Hemoglobin A1C","Activity_24","Hemoglobin A1C","Activity","709d08fb-677e-4a92-bce6-74bf4065e8ad"
"","Study drug record , Medications dispensed, Medications returned","Activity_25","Study drug","Activity","2c359489-99d6-4ee8-861a-b43108cb2db1"
"","TTS Acceptability Survey","Activity_26","TTS Acceptability Survey","Activity","8c844e79-51e2-404c-a722-b60745f48c8b"
"","ADAS-Cog","Activity_27","ADAS-Cog","Activity","9854806f-9ae6-4179-bebb-5a839c5898ca"
"","CIBIC+","Activity_28","CIBIC+","Activity","706df528-0aaf-4581-a2d8-326a8d487c59"
"","DAD","Activity_29","DAD","Activity","2de5a78d-3e0d-4e51-9608-fac79d2b8130"
"","NPI-X","Activity_30","NPI-X","Activity","6bd3ab45-d4d9-4a26-8d8c-22090a6d90c2"
"","Adverse events","Activity_31","Adverse events","Activity","514357d2-b54d-47c2-ad5e-af48c1bbc15a"
"","Check adverse events","Activity_32","Check adverse events","Activity","91781612-2b27-4c88-9a44-a7021a331bbc"
"","Subject supine","Activity_33","Supine","Activity","92a4dda0-23aa-46dd-8f36-9f4f19d9a58d"
"","Vital signs while supine","Activity_34","Vital Signs Supine","Activity","de2d3837-01b2-4901-962b-4a6c84ad22e1"
"","Subject Standing","Activity_35","Stand","Activity","93c50482-9060-48d2-9b26-a86cb69e850d"
"","Vital signs while standing","Activity_36","Vital Signs Standing","Activity","bcdb6f81-200b-4520-98e3-ab89e425fe1e"
