"description","label","id","name","instanceType","uuid:ID"
"Screening encounter","Screening 1","Encounter_1","E1","Encounter","4548b96d-4085-4171-b6c7-c8a1799b5eae"
"Screening encounter - Ambulatory ECG Placement","Screening 2","Encounter_2","E2","Encounter","64c462f5-2b3e-492c-a941-7a93d2f72f54"
"Baseline encounter - Ambulatory ECG Removal","Baseline","Encounter_3","E3","Encounter","a8271374-cf69-4747-9c6e-8f192e740436"
"Day 14","Week 2","Encounter_4","E4","Encounter","c7cf8470-298a-476f-ae4a-03a44e86f30f"
"Day 28","Week 4","Encounter_5","E5","Encounter","9169d2ed-4149-411a-9399-24d1ab9c6d85"
"Day 42","Week 6","Encounter_6","E7","Encounter","3eb0181c-3707-44e6-ac33-4c17feeb6fbf"
"Day 56","Week 8","Encounter_7","E8","Encounter","e4423b58-6c39-4c31-abff-bade75ed8b23"
"Day 84","Week 12","Encounter_8","E9","Encounter","4ef4c9cd-e610-4620-a456-a45044d178eb"
"Day 112","Week 16","Encounter_9","E10","Encounter","5e66349b-d68b-429b-919c-4a91b0f313ac"
"Day 140","Week 20","Encounter_10","E11","Encounter","fb098095-5b0b-47ac-9376-5944d0e83e33"
"Day 168","Week 24","Encounter_11","E12","Encounter","5a82b628-37f7-48f6-9cad-7413267d89a7"
"Day 182","Week 26","Encounter_12","E13","Encounter","8e521544-59f3-4986-b1e7-24fa42164c18"
