"description","label","id","windowLabel","windowUpper","name","windowLower","valueLabel","instanceType","uuid:ID","value"
"Screening timing","Screening","Timing_1","","","TIM1","","2 weeks","Timing","fd855da6-89c9-488e-9ba5-9aa831f9914d","P2W"
"Pre dose timing","Pre dose","Timing_2","-4..0 hours","PT0H","TIM2","PT4H","2 days","Timing","02e07ea5-ac20-4cc3-865b-3def4aa594d5","P2D"
"Dosing anchor","Dosing","Timing_3","","","TIM3","","1 Day","Timing","0c9dd330-19cf-4f9c-b06d-f60020e02b19","P1D"
"Week 2 timing","Week 2","Timing_4","-3..3 days","P3D","TIM4","P3D","2 Weeks","Timing","ba4d7e96-dd6b-472b-92fd-477078b2af42","P2W"
"Week 4 timing","Week 4","Timing_5","-3..3 days","P3D","TIM5","P3D","4 Weeks","Timing","31311569-c8e4-4800-8a62-e9618ac18700","P4W"
"Week 6 timing","Week 6","Timing_6","-3..3 days","P3D","TIM6","P3D","6 Weeks","Timing","adfd19b0-931f-41ad-80f5-f981aa0033c1","P6W"
"Week 8 timing","Week 8","Timing_7","-3..3 days","P3D","TIM7","P3D","8 Weeks","Timing","3dd7c35c-b13a-4b6b-94ba-0730509b2224","P8W"
"Week 12 timing","Week 12","Timing_9","-4..4 days","P4D","TIM9","P4D","12 Weeks","Timing","1b832c66-97fc-4e2d-b5bf-730aba1f2171","P12W"
"Week 16 timing","Week 16","Timing_11","-4..4 days","P4D","TIM11","P4D","16 Weeks","Timing","e5c1ca1f-a132-4237-a55c-854c10205205","P16W"
"Week 20 timing","Week 20","Timing_13","-4..4 days","P4D","TIM13","P4D","20 Weeks","Timing","b0889e82-ecac-459e-9def-0b71c3735397","P20W"
"Week 24 timing","Week 24","Timing_15","-4..4 days","P4D","TIM15","P4D","24 Weeks","Timing","326ca7ea-9010-401a-b565-2360b7e79cca","P24W"
"Week 26 timing","Week 26","Timing_16","-3..3 days","P3D","TIM16","P3D","26 Weeks","Timing","5b24fabd-6abb-46cd-8844-ed45595785d7","P26W"
"Week 8 at home timing","Week 8 Home","Timing_8","","","TIM8","","2 Weeks","Timing","ffd8ea27-46c7-482b-bfbd-6a3c5652d3d4","P2W"
"Week 12 at home timing","Week 12 Home","Timing_10","","","TIM10","","2 Weeks","Timing","fe46dddb-bd34-4dd8-9a07-8faa0724ca8f","P2W"
"Week 16 at home timing","Week 16 Home","Timing_12","","","TIM12","","2 Weeks","Timing","0cbca3eb-c09b-4135-b429-71ab353dbb9a","P2W"
"Week 20 at home timing","Week 20 Home","Timing_14","","","TIM14","","2 Weeks","Timing","5e63f82e-6be5-47c6-b556-8e3207cee0be","P2W"
"Adverse Event","Adverse Event","Timing_17","","","TIM17","","1 Day","Timing","3de550cf-924e-49e4-ac6a-bd3e5a17a510","P1D"
"Early Termination","Early Termination","Timing_18","","","TIM18","","1 Day","Timing","f66c9522-9263-4aeb-9934-fbef9363f0d4","P1D"
"Supine","Supine","Timing_19","","","TIM19","","0 mins","Timing","7794b446-f2fe-4927-9a63-41baeb2a6cd5","PT0M"
"VS while supine","VS while supine","Timing_20","","","TIM20","","5 mins","Timing","ec6c204a-e028-4988-b482-599e6388d08f","PT5M"
"Standing","Standing","Timing_21","","","TIM21","","0 min","Timing","d413af08-7aa5-4239-9c34-78c5e14a96df","PT0M"
"VS while standing","VS while standing","Timing_22","","","TIM22","","1 min","Timing","6f2b0377-7386-4f00-9ac7-1ddc9e9a92f8","PT1M"
"Standing","Standing","Timing_23","","","TIM23","","0 min","Timing","e2679248-d7bc-4849-a5f6-4a708a3e64f0","PT0M"
"VS while standing","VS while standing","Timing_24","","","TIM24","","2 min","Timing","d72e42d9-b135-4ade-b3bb-3379d9fa824c","PT2M"
