"label","id","windowLabel","instanceType","windowUpper","uuid:ID","value","windowLower","name","valueLabel","description"
"Screening","Timing_1","","Timing","","686d87fe-644b-471d-80fb-ea358816e7d7","P2W","","TIM1","2 weeks","Screening timing"
"Pre dose","Timing_2","-4..0 hours","Timing","PT0H","fb844abb-52a2-4fbe-8925-5d29e4de7cf1","P2D","PT4H","TIM2","2 days","Pre dose timing"
"Dosing","Timing_3","","Timing","","bbd36975-2b02-4a3b-8d51-897d55b8cac8","P1D","","TIM3","1 Day","Dosing anchor"
"Week 2","Timing_4","-3..3 days","Timing","P3D","045a54ff-0ee0-4813-a595-ff97f93085e3","P2W","P3D","TIM4","2 Weeks","Week 2 timing"
"Week 4","Timing_5","-3..3 days","Timing","P3D","e0e360d2-9560-48cd-bea5-1dbed2e021a0","P4W","P3D","TIM5","4 Weeks","Week 4 timing"
"Week 6","Timing_6","-3..3 days","Timing","P3D","40b984de-0d3c-415e-bba6-c2f571e82ae4","P6W","P3D","TIM6","6 Weeks","Week 6 timing"
"Week 8","Timing_7","-3..3 days","Timing","P3D","069ad164-21d0-4b6c-ad6c-a61da5930855","P8W","P3D","TIM7","8 Weeks","Week 8 timing"
"Week 12","Timing_9","-4..4 days","Timing","P4D","53c1f08d-4d2e-495e-bde9-b5d3a83d2573","P12W","P4D","TIM9","12 Weeks","Week 12 timing"
"Week 16","Timing_11","-4..4 days","Timing","P4D","64d905ac-bd52-4996-8594-6cc21a8e5b3a","P16W","P4D","TIM11","16 Weeks","Week 16 timing"
"Week 20","Timing_13","-4..4 days","Timing","P4D","3a60d2ee-bf04-4b2d-8651-e948a46bc29f","P20W","P4D","TIM13","20 Weeks","Week 20 timing"
"Week 24","Timing_15","-4..4 days","Timing","P4D","6ba50b40-276d-4719-b6b7-8bb677ff2abd","P24W","P4D","TIM15","24 Weeks","Week 24 timing"
"Week 26","Timing_16","-3..3 days","Timing","P3D","c09628ec-d3cf-41b0-955c-c883beda6f8e","P26W","P3D","TIM16","26 Weeks","Week 26 timing"
"Week 8 Home","Timing_8","","Timing","","0ca63875-8915-41c1-b813-b347787a30d0","P2W","","TIM8","2 Weeks","Week 8 at home timing"
"Week 12 Home","Timing_10","","Timing","","1efd01e1-7e8b-40d4-a81e-69ef21b26236","P2W","","TIM10","2 Weeks","Week 12 at home timing"
"Week 16 Home","Timing_12","","Timing","","7412284e-fb43-4e2a-833c-0f0ad85af7f6","P2W","","TIM12","2 Weeks","Week 16 at home timing"
"Week 20 Home","Timing_14","","Timing","","3b6a6707-191f-43ac-8e9a-326b00459394","P2W","","TIM14","2 Weeks","Week 20 at home timing"
"Adverse Event","Timing_17","","Timing","","72eca206-6725-4bb2-b5a9-eaf5b3950b3d","P1D","","TIM17","1 Day","Adverse Event"
"Early Termination","Timing_18","","Timing","","62c317f4-f817-42c0-be7f-54e9aa236c3c","P1D","","TIM18","1 Day","Early Termination"
"Supine","Timing_19","","Timing","","2e80537b-4d3d-43d6-a791-080899fb442b","PT0M","","TIM19","0 mins","Supine"
"VS while supine","Timing_20","","Timing","","7df111f4-cdb4-4017-860e-18ddf7e8885a","PT5M","","TIM20","5 mins","VS while supine"
"Standing","Timing_21","","Timing","","ccad7194-ef4c-422e-8933-74442e01d137","PT0M","","TIM21","0 min","Standing"
"VS while standing","Timing_22","","Timing","","bca932b5-ff14-444c-9190-5287db20c187","PT1M","","TIM22","1 min","VS while standing"
"Standing","Timing_23","","Timing","","6aa558f9-7ee2-4d31-b90a-6ffc1ca0dd91","PT0M","","TIM23","0 min","Standing"
"VS while standing","Timing_24","","Timing","","43d85fad-ac6c-4fc6-ae41-b9ce55e6c872","PT2M","","TIM24","2 min","VS while standing"
