"label","id","synonyms","instanceType","reference","uuid:ID","name"
"Sex","BiomedicalConcept_20","","BiomedicalConcept","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","4c8dbbc4-9664-49c0-8f4b-181857f2dbea","Sex"
"Race","BiomedicalConcept_21","['Racial Group']","BiomedicalConcept","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","85859fdd-754c-4acc-900f-ca3f24f2f34e","Race"
"Temperature","BiomedicalConcept_22","['Temperature', 'Body Temperature']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","acba8a8d-4185-4d92-90b8-08840d05f449","Temperature"
"Weight","BiomedicalConcept_23","['Weight', 'Body Weight']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","cd91d6c7-232d-46b4-9f05-844de22fc5ce","Weight"
"Height","BiomedicalConcept_24","['Height', 'Body Height']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","449832fc-84ff-4edc-b956-6e47191c3f69","Height"
"Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_25","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","aad38d62-3f39-41f0-b772-bca8f02fc79f","Alanine Aminotransferase Concentration in Serum/Plasma"
"Albumin Presence in Urine","BiomedicalConcept_26","['Albumin', 'Albumin Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","dc6d2cc6-455a-4258-b313-c3c0e3a5653e","Albumin Presence in Urine"
"Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_27","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","9de586dc-9708-455f-b960-401dd83ef48e","Alkaline Phosphatase Concentration in Serum/Plasma"
"Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_28","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","7a6ec1ff-9698-4b12-9058-8148c54eb100","Aspartate Aminotransferase in Serum/Plasma"
"Creatinine Concentration in Urine","BiomedicalConcept_29","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","cd7cf5e3-9874-4e8f-914a-54da662267a8","Creatinine Concentration in Urine"
"Potassium Concentration in Urine","BiomedicalConcept_30","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","d5b89072-6059-4d28-bf78-0fe97961b925","Potassium Concentration in Urine"
"Sodium Concentration in Urine","BiomedicalConcept_31","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","5f496648-02ce-4e02-a9c7-f269ef8d55ab","Sodium Concentration in Urine"
"Hemoglobin A1C Concentration in Blood","BiomedicalConcept_32","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","4404ea02-5ed6-42a1-b85e-737e9695e6ff","Hemoglobin A1C Concentration in Blood"
"Adverse Event Prespecified","BiomedicalConcept_1","['Adverse Event', 'Solicited Adverse Event']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","188ffed7-8226-46a1-ad2f-8e6784e78e15","Adverse Event Prespecified"
"Systolic Blood Pressure","BiomedicalConcept_2","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","8f0af5cc-f5a4-4f66-8225-d6ea7e9ea6f7","Systolic Blood Pressure"
