"label","text","id","instanceType","uuid:ID","purpose","name","description"
"","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint_1","Endpoint","f28a62fa-8a26-41ed-a4c6-f0a347f07ee7","","END1",""
"","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint_2","Endpoint","68d5a3fe-4ec6-4ac0-82b8-e7a96549671e","","END2",""
"","Adverse events","Endpoint_3","Endpoint","239bebf3-8972-4a38-9e43-2a57e54b052f","","END3",""
"","Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint_4","Endpoint","d44d927d-6bc6-40c7-a6d0-c163d431c80e","","END4",""
"","Laboratory evaluations (Change from Baseline)","Endpoint_5","Endpoint","f820ec74-c2c4-4d03-b30c-1a4df5ae8229","","END5","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation"
"","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint_6","Endpoint","9128c86a-c127-443d-8f42-eba3c62ee26f","","END6",""
"","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint_7","Endpoint","f422f5e9-b1a7-4fa7-b044-4a02fe10783e","","END7",""
"","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint_8","Endpoint","5386dbf8-11af-4a10-bfbf-c84be5248c69","","END8",""
"","*** To be determined from protocol ***","Endpoint_9","Endpoint","4a3526f3-68f5-45d7-beb4-5af5c0f198d6","","END9",""
"","*** To be determined from protocol ***","Endpoint_10","Endpoint","c39419b6-4edf-4732-a7f2-d868fbbb7724","","END10",""
"","*** To be determined from protocol ***","Endpoint_11","Endpoint","6608f82f-43a7-4df4-af37-bc97c84e4741","","END11",""
