"label","id","instanceType","uuid:ID","name","description"
"Informed consent","Activity_1","Activity","cedc3ec9-5a82-4423-adbe-31ee44c6f84f","Informed consent",""
"Inclusion and exclusion criteria","Activity_2","Activity","3b3ea661-8796-4be1-895c-9d87f1215830","Inclusion/exclusion criteria",""
"Patient number assigned","Activity_3","Activity","977f0823-1739-4ed5-ab31-293bb371a3ec","Patient number assigned",""
"Demographics","Activity_4","Activity","8fcd5dcc-c609-491a-9774-d1ca48b2e67a","Demographics",""
"Hachinski Ischemic Scale","Activity_5","Activity","f3036c46-5646-4c24-afcc-77f09da6fa5f","Hachinski",""
"MMSE","Activity_6","Activity","2d2703db-31fc-4b22-994e-3f8b3e172b40","MMSE",""
"Physical examination","Activity_7","Activity","84ec19f1-21f2-4000-a8ae-af40508499a2","Physical examination",""
"Medical history","Activity_8","Activity","29e934b4-db09-457d-b784-9a021d7d371a","Medical history",""
"Habits","Activity_9","Activity","18860af5-cda0-4caa-9651-0eb24f5fceb3","Habits",""
"Chest X-ray","Activity_10","Activity","32e7a981-d431-4543-a9f2-3ec6f3ff8329","Chest X-ray",""
"Apo E genotyping","Activity_11","Activity","e7cb141b-b4e2-4bec-8dab-6196e2a2e9e8","Apo E genotyping",""
"Patient randomised","Activity_12","Activity","1b80f52f-2f47-43db-aa35-9e869169f58e","Patient randomised",""
"Vital Signs and Temperature","Activity_13","Activity","7ec1ba15-b655-46a9-8e0b-0227b201bd90","Vital signs / Temperature",""
"Ambulatory ECG placed","Activity_14","Activity","fcda49f1-2850-44dd-bd4b-59eba56adf25","Ambulatory ECG placed",""
"Ambulatory ECG removed","Activity_15","Activity","13211d2a-f6c3-4acd-9baa-e6404df717a0","Ambulatory ECG removed",""
"ECG","Activity_16","Activity","a1669b7e-3a77-461d-b76d-ea131de85adc","ECG",""
"Placebo TTS test","Activity_17","Activity","af0eefc6-fcb1-49a3-91bd-426a5d244ae6","Placebo TTS test",""
"CT scan","Activity_18","Activity","86efaab9-56cc-4dc9-a13d-65b0e367c79d","CT scan",""
"Concomitant medications","Activity_19","Activity","63e4f09a-61a0-4cc2-bfa3-956e0b228f11","Concomitant medications",""
"Hematology","Activity_20","Activity","d697dbb6-3f9b-4e41-836d-8b1c7711d225","Hematology",""
"Chemistry","Activity_21","Activity","71af7692-d783-4662-931b-e601fa8790df","Chemistry",""
"Uninalysis","Activity_22","Activity","7c7b3900-7ecf-48ad-8534-d543d048e62d","Uninalysis",""
"Plasma Specimen (Xanomeline)","Activity_23","Activity","3cd25a92-b56f-4180-9646-b3f5d91bf61b","Plasma Specimen (Xanomeline)",""
"Hemoglobin A1C","Activity_24","Activity","a121cf75-0029-4fdb-96e3-5be662a65b9a","Hemoglobin A1C",""
"Study drug record , Medications dispensed, Medications returned","Activity_25","Activity","43f2cba4-27f6-44b1-8093-7e6f0ffdf363","Study drug",""
"TTS Acceptability Survey","Activity_26","Activity","a5670f1b-3234-4a25-8052-cef8459b7932","TTS Acceptability Survey",""
"ADAS-Cog","Activity_27","Activity","6018edd5-9574-4b60-b1f1-94b8f50dd9ba","ADAS-Cog",""
"CIBIC+","Activity_28","Activity","36704886-0254-4e32-9108-7faf6a099762","CIBIC+",""
"DAD","Activity_29","Activity","85bc4443-b01b-4381-9267-c851d5b35876","DAD",""
"NPI-X","Activity_30","Activity","4c9723cd-181b-4933-8f3d-0cf62e5afdfc","NPI-X",""
"Adverse events","Activity_31","Activity","80668d4e-4d61-4250-8422-f6daab817065","Adverse events",""
"Check adverse events","Activity_32","Activity","1079c2b5-377b-4acd-8096-2dac0883b40b","Check adverse events",""
"Subject supine","Activity_33","Activity","4870fde8-3e4c-4033-87b8-a61ce1778bb4","Supine",""
"Vital signs while supine","Activity_34","Activity","1313ffeb-c1c1-4f8e-9004-e48510f465fb","Vital Signs Supine",""
"Subject Standing","Activity_35","Activity","0bca685d-1fff-4f57-8405-38a1e98679e9","Stand",""
"Vital signs while standing","Activity_36","Activity","d19e9c41-336d-4090-bdc8-e9f6d3016539","Vital Signs Standing",""
