"text","id","instanceType","uuid:ID","name"
"Subject identifier","TransitionRule_1","TransitionRule","1a96ef7e-abc9-4d69-bbe1-6e38fd579e97","ENCOUNTER_START_RULE_1"
"completion of screening activities","TransitionRule_2","TransitionRule","e47997ea-48d5-4f42-a001-e27f477acf9a","ENCOUNTER_START_RULE_1"
"subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3","TransitionRule","13f6a016-93ca-4f50-9896-52ab5dd975d8","ENCOUNTER_START_RULE_2"
"subject has connection of ambulatory ECG machine removed","TransitionRule_4","TransitionRule","225570b9-3e87-4ff2-8327-dcd90f4a4879","ENCOUNTER_START_RULE_3"
"Radomized","TransitionRule_5","TransitionRule","5aab01ac-9e6a-47a5-803e-9566e8b53a58","ENCOUNTER_START_RULE_3"
"End of treatment","TransitionRule_6","TransitionRule","7b41f42e-cf33-409a-964c-fafd4928693a","ENCOUNTER_START_RULE_12"
"Informed consent","TransitionRule_7","TransitionRule","ce53edda-b787-4036-8d6d-897b1bbc6435","ELEMENT_START_RULE_1"
"Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8","TransitionRule","18d33004-9a48-4dd9-9fe2-2397e8b57b7e","ELEMENT_END_RULE_1"
"Administration of first dose","TransitionRule_9","TransitionRule","8385e553-88c8-45cc-8b46-0ce47d4c40c0","ELEMENT_START_RULE_2"
"End of last scheduled visit on study (including early termination)","TransitionRule_14","TransitionRule","e2aa31f7-160c-45fe-add1-2df790ad385d","ELEMENT_START_RULE_7"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15","TransitionRule","6d11124a-e97d-4a36-b228-bdceb7ac5d0d","ELEMENT_END_RULE_7"
"Administration of first dose","TransitionRule_10","TransitionRule","df5391e0-f1a3-4952-9a89-a67f32779b23","ELEMENT_START_RULE_3"
"Randomized","TransitionRule_11","TransitionRule","98103d64-43d1-4d1f-a114-9bd427c10031","ELEMENT_START_RULE_4"
"Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12","TransitionRule","3912e70c-5f2c-42a6-a6f2-ee7e948e89f2","ELEMENT_START_RULE_5"
"Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13","TransitionRule","873daa5d-0558-46e3-be94-647b77d3cf5f","ELEMENT_START_RULE_6"
