"decode","id","codeSystemVersion","code","instanceType","uuid:ID","codeSystem"
"Interventional Study","Code_1","2023-12-15","C98388","Code","e70f9806-f3bd-4c55-8e38-58ba817c67f1","http://www.cdisc.org"
"Phase II Trial","Code_2","2023-12-15","C15601","Code","1722a682-a95f-476e-b1d0-0e2ebd03b307","http://www.cdisc.org"
"Sponsor Approval Date","Code_9","2023-12-15","C132352","Code","479fbe4f-b159-44f2-bac3-f70b8c2c3947","http://www.cdisc.org"
"Global","Code_10","2023-12-15","C68846","Code","5cbf8348-4dc0-4f97-99a1-79a8787728cf","http://www.cdisc.org"
"IRB/IEC Feedback","Code_72","2023-12-15","C99904x3","Code","01f3d7b8-bc44-4aef-8a9b-cf08825d1ec7","http://www.cdisc.org"
"Other","Code_73","2023-12-15","C17649","Code","bbdaa9dd-f38a-422f-85de-9ff5d7605412","http://www.cdisc.org"
"Region","Code_75","2023-12-15","C41129","Code","11ecd7db-6dc1-4c60-bbf6-b3d13002b89d","http://www.cdisc.org"
"Europe","Code_74","2020-08","150","Code","81901d26-3260-40fd-a924-66713b99ae38","ISO 3166 1 alpha3"
"Eli Lilly","Code_4","12","PHARMA","Code","bfefa990-0410-4e34-9cee-761a8827913b","SPONSOR"
"Clinical Study Sponsor","Code_76","2023-12-15","C70793","Code","f8de051a-56cd-49f8-9329-e6a41c573f44","http://www.cdisc.org"
"United States of America","Code_77","2020-08","USA","Code","f27013c4-05e3-42d6-b9c9-7998b970f4bb","ISO 3166 1 alpha3"
"Study Registry","Code_78","2023-12-15","C93453","Code","6afdab26-8ca9-4510-ac29-b7ed1538df59","http://www.cdisc.org"
"United States of America","Code_79","2020-08","USA","Code","b9844e79-dc0b-4fad-815c-e3c3c48bb04b","ISO 3166 1 alpha3"
"Treatment Study","Code_137","2023-12-15","C49656","Code","8296771c-12e9-4624-a6cb-9aea6053ad9e","http://www.cdisc.org"
"Efficacy Study","Code_138","2023-12-15","C49666","Code","00b9142c-2688-4bfc-9a94-de5488de4398","http://www.cdisc.org"
"Safety Study","Code_139","2023-12-15","C49667","Code","391302ee-4988-42a1-8ad3-a026c45f0f4a","http://www.cdisc.org"
"Pharmacokinetic Study","Code_140","2023-12-15","C49663","Code","01928c31-6ea8-4557-b7c2-46bf6d396c35","http://www.cdisc.org"
"Mild to Moderate Alzheimer's Disease","Code_134","12","MILD_MOD_ALZ","Code","e1da6476-7a03-4366-9cc2-0a354ea4d195","SPONSOR"
"Alzheimer's disease","Code_135","January 31, 2018","26929004","Code","0540908b-b463-4c39-a1f9-79151c006a2a","SNOMED"
"EXTENSION","Code_143","2023-12-15","C99907x1","Code","ed05fafa-04b1-4ca3-acc4-dae28fb4344f","http://www.cdisc.org"
"ADAPTIVE","Code_144","2023-12-15","C98704","Code","10e60016-0cf5-4ca5-a9be-65c0452534a2","http://www.cdisc.org"
"Parallel Study","Code_141","2023-12-15","C82639","Code","65b3d6fc-f523-4e43-8bc6-83f59de3c28f","http://www.cdisc.org"
"Visit","Code_83","2023-12-15","C25716","Code","4f674dee-932a-4a0a-b40e-18bc9170ffa7","http://www.cdisc.org"
"Clinic","Code_84","2023-12-15","C51282","Code","bc9cdd14-0f1a-450a-9621-2d73e85db702","http://www.cdisc.org"
"In Person","Code_85","2023-12-15","C175574","Code","fe2e5553-f287-446b-b62d-adab8cab56b1","http://www.cdisc.org"
"Visit","Code_86","2023-12-15","C25716","Code","3964f58f-1017-4bf2-8fff-bb77cc4bb463","http://www.cdisc.org"
"Clinic","Code_87","2023-12-15","C51282","Code","76f890f2-993b-4cd4-a3dc-f5df01776132","http://www.cdisc.org"
"In Person","Code_88","2023-12-15","C175574","Code","e7e4bf36-c16e-4c52-9706-56abfe66e714","http://www.cdisc.org"
"Visit","Code_89","2023-12-15","C25716","Code","f702f267-a734-4f31-8ad5-be56a915e119","http://www.cdisc.org"
"Clinic","Code_90","2023-12-15","C51282","Code","909a4cc6-b2c6-473d-b930-6e4bf669e640","http://www.cdisc.org"
"In Person","Code_91","2023-12-15","C175574","Code","8919444c-af32-4545-b0fc-1bfd9aadc284","http://www.cdisc.org"
"Visit","Code_92","2023-12-15","C25716","Code","21f69783-f9e5-426f-a8c8-68b8b743fa31","http://www.cdisc.org"
"Clinic","Code_93","2023-12-15","C51282","Code","77e48406-1363-43bd-8a60-886118b1afcf","http://www.cdisc.org"
"In Person","Code_94","2023-12-15","C175574","Code","62e5580d-fe74-4711-976b-1a1d12781216","http://www.cdisc.org"
"Visit","Code_95","2023-12-15","C25716","Code","a9517d0f-45de-40f9-baf0-2da2ddd83d84","http://www.cdisc.org"
"Clinic","Code_96","2023-12-15","C51282","Code","241bb8f3-eb26-4592-aa47-869860a172f4","http://www.cdisc.org"
"In Person","Code_97","2023-12-15","C175574","Code","c81c05b0-0c7d-4bbf-84b4-c5c1277a19a3","http://www.cdisc.org"
"Visit","Code_98","2023-12-15","C25716","Code","9da78d88-48f3-40bd-809b-e686eac9f75e","http://www.cdisc.org"
"Clinic","Code_99","2023-12-15","C51282","Code","e2a9bbf2-c7db-4326-85e3-9c990c8000e5","http://www.cdisc.org"
"In Person","Code_100","2023-12-15","C175574","Code","a9f59d49-9bae-4b23-b9d8-69f1cf8f07d6","http://www.cdisc.org"
"Visit","Code_101","2023-12-15","C25716","Code","ec4af4e2-8f15-433b-adaf-c535858851ae","http://www.cdisc.org"
"Clinic","Code_102","2023-12-15","C51282","Code","3beb5d74-6e33-4556-b703-2259e4e26bfb","http://www.cdisc.org"
"In Person","Code_103","2023-12-15","C175574","Code","f68596ff-9bb3-40e5-92f3-e59262ac2ffd","http://www.cdisc.org"
"Telephone Call","Code_104","2023-12-15","C171537","Code","7c0d1144-1416-43b2-9416-d3338d8cdbbb","http://www.cdisc.org"
"Visit","Code_105","2023-12-15","C25716","Code","83069215-60f4-4de3-b5a7-6e53118ff2f3","http://www.cdisc.org"
"Clinic","Code_106","2023-12-15","C51282","Code","68fb01f4-d0f2-4c46-a275-d4cb04e7b69a","http://www.cdisc.org"
"In Person","Code_107","2023-12-15","C175574","Code","f9a2bcc8-56d6-423f-b171-a5695d53ae53","http://www.cdisc.org"
"Telephone Call","Code_108","2023-12-15","C171537","Code","1fbe4101-bee5-42b6-823e-7a17c26be63f","http://www.cdisc.org"
"Visit","Code_109","2023-12-15","C25716","Code","da972835-32e9-49c3-8dba-50b4744f95e6","http://www.cdisc.org"
