"label","id","instanceType","uuid:ID","name","description"
"Screening 1","Encounter_1","Encounter","68bdebe6-42a3-45f9-af58-71de74361dec","E1","Screening encounter"
"Screening 2","Encounter_2","Encounter","530a8183-98e9-4903-b257-5a6a8885753f","E2","Screening encounter - Ambulatory ECG Placement"
"Baseline","Encounter_3","Encounter","1007db89-48b9-4eac-a3a5-7912969ac757","E3","Baseline encounter - Ambulatory ECG Removal"
"Week 2","Encounter_4","Encounter","98fece8a-9a8e-456a-846a-8933a220b643","E4","Day 14"
"Week 4","Encounter_5","Encounter","cdf11e62-7f2f-4446-8908-97db94ca4101","E5","Day 28"
"Week 6","Encounter_6","Encounter","bcd91100-c688-4aaa-84bc-cc39e8d9f864","E7","Day 42"
"Week 8","Encounter_7","Encounter","b05200a3-a225-40b3-a264-9db5ed5a1ec1","E8","Day 56"
"Week 12","Encounter_8","Encounter","a44b0a71-6fbe-4997-b0b2-2126d48a0f40","E9","Day 84"
"Week 16","Encounter_9","Encounter","a0b9ce70-ac79-401a-b183-324a5fdac60e","E10","Day 112"
"Week 20","Encounter_10","Encounter","82746907-95f0-4e00-b7ef-b736bb2fb716","E11","Day 140"
"Week 24","Encounter_11","Encounter","fd5d8bdf-0277-4a60-85d5-6a77e99550c2","E12","Day 168"
"Week 26","Encounter_12","Encounter","d0363897-7535-43d0-901e-2c4ca921e976","E13","Day 182"
