"text","name","uuid:ID","id"
"Subject identified","ENCOUNTER_START_RULE_1","0e467bef-6710-452f-884c-a0972b01238c","TransitionRule_1"
"IEs passed","ENCOUNTER_START_RULE_1","4b843eea-813f-4bc3-a1a0-c0823ad4faf6","TransitionRule_2"
"Radomized","ENCOUNTER_START_RULE_3","7fb59f32-ddaf-48e2-a4a4-20f3a1346c94","TransitionRule_3"
"Study Start","ELEMENT_START_RULE_1","224c1004-65a8-4201-bcb0-7925909e98fa","TransitionRule_4"
"Screened","ELEMENT_END_RULE_1","32153651-1893-47a8-ba77-1292312264ca","TransitionRule_5"
"Screened","ELEMENT_START_RULE_2","91222631-2342-46b5-bff1-b38222391278","TransitionRule_6"
"Radomized","ELEMENT_END_RULE_2","37e03b6c-e6ff-4180-ad51-3db4d0bb9055","TransitionRule_7"
"Radomized","ELEMENT_START_RULE_3","4a25598b-d505-473e-9333-fec517f4f1d8","TransitionRule_8"
"Completed treatment 1","ELEMENT_END_RULE_3","e9e8d4fd-beca-462b-a566-bca2f677f0ff","TransitionRule_9"
"Radomized","ELEMENT_START_RULE_5","9b845d10-d600-4409-948c-0c0613e2da99","TransitionRule_12"
"Completed treatment 2","ELEMENT_END_RULE_5","670a4313-2efd-4bac-8f33-31ad018fa29b","TransitionRule_13"
"Treated","ELEMENT_START_RULE_4","ca7681dc-90ee-4263-853c-100d16c37ca0","TransitionRule_10"
"Leave Study","ELEMENT_END_RULE_4","a49c7f78-3d5f-4772-a4dd-a832b4e3416d","TransitionRule_11"
