"name","id","label","uuid:ID","isConditionalReason","description","isConditional"
"Informed consent","Activity_1","","d88fba1e-7584-4ac5-817a-5a764e1141a4","","","False"
"Inclusion/exclusion criteria","Activity_2","","dabd71a3-35bf-45de-9cd9-c5bc28a8256e","","","False"
"Patient number assigned","Activity_3","","e09178ad-c5c1-45a2-8de1-388e0daaa9b6","","","False"
"Demographics","Activity_4","Demographics","3d2f5564-4e0a-46cc-add9-b1a18f11ae4f","","","False"
"Hachinski","Activity_5","Hachinski","2056ac77-767d-410b-8ea6-c14a8bdd0673","","","False"
"MMSE","Activity_6","MMSE","8a6aed91-3f65-415a-861f-e4b6119bc8c2","","","False"
"Physical examination","Activity_7","","9a750dae-c952-47e0-9591-fb9ebca9b347","","","False"
"Medical history","Activity_8","","d5814a20-1a26-4dd9-90ba-68c5d75cffe9","","","False"
"Habits","Activity_9","","b4cb8358-f09b-4cbb-a6d2-28ebf6fc61bb","","","False"
"Chest X-ray","Activity_10","","6e9349e1-1881-4b7b-87a1-b1732030f3de","","","False"
"Apo E genotyping","Activity_11","","a5d7ede4-a395-4a53-a802-6132889de7cd","","","False"
"Patient randomised","Activity_12","","c3829b77-d0be-4ee0-9666-d83544a0ec78","","","False"
"Vital signs / Temperature","Activity_13","Vital Signs and Temperature","9dab6c39-878a-451f-b57c-98b5c820b3ed","","","False"
"Ambulatory ECG placed","Activity_14","","a587a64b-851a-4ecf-9c6f-baf8fc40746b","","","False"
"Ambulatory ECG removed","Activity_15","","84a48ea2-7ecd-42b6-9fbf-7357bfeb1b76","","","False"
"ECG","Activity_16","","a926bee5-3488-4de5-8242-8348e0dde4af","","","False"
"Placebo TTS test","Activity_17","","46f67177-a0fe-4b9e-b3d3-ad9af793c86b","","","False"
"CT scan","Activity_18","","0f700beb-0dc7-40fb-a7f9-48388b0b70cd","","","False"
"Concomitant medications","Activity_19","","c096b9e6-3717-4bf9-bb07-260a6110e56b","","","False"
"Hematology","Activity_20","","12cc96ce-0a00-49d2-b544-173ba88a4f11","","","False"
"Chemistry","Activity_21","","1a345bcb-d222-461c-a070-83163fc8e184","","","False"
"Uninalysis","Activity_22","","141618d0-0819-499e-b899-92d6ef5fd677","","","False"
"Plasma Specimen (Xanomeline)","Activity_23","","3429a997-cacb-4ea8-a01d-d6981ee5f0f4","","","False"
"Hemoglobin A1C","Activity_24","","ac517fc8-5959-4fc0-b01d-d627f63d00b1","","","False"
"Study drug","Activity_25","Study drug record , Medications dispensed, Medications returned","2b37f706-0c6d-4452-ba0f-9d47c41ccae9","","","False"
"TTS Acceptability Survey","Activity_26","","7f1893d5-2872-4f72-b99d-22a41ec163d6","","","False"
"ADAS-Cog","Activity_27","","3530818c-c6d1-4324-9a40-63e58bb71060","","","False"
"CIBIC+","Activity_28","","78d54da9-8d02-49f1-adf1-3ae6a0eac3a7","","","False"
"DAD","Activity_29","","7e09bb3e-1f5d-4737-b0f1-73a4c9d96c5a","","","False"
"NPI-X","Activity_30","","56caac22-e1c4-45f3-a109-a5e288ab7fa8","","","False"
"Adverse events","Activity_31","","7af6dd58-7d27-4379-8912-a4ccdef56a4a","","","False"
"Check adverse events","Activity_32","","8bdce6e9-20f7-4149-9c8b-5c717de984a4","","","False"
"Supine 5min","Activity_33","Supine for 5 minutes","ea8397a4-a60e-44be-b134-6a91f0de01d5","","","False"
"Blood Pressure Supine","Activity_34","Blood pressure supine","afa4f873-e2d5-4e9f-ac7f-6b3bc05b075b","","","False"
"Stand 3min","Activity_35","Stand for 3 minutes","dfa26352-0b84-407a-98f6-d5527dc1d412","","","False"
"Bood Pressure Standing","Activity_36","Blood pressure standing","28fd4ef3-a7ba-4090-8db0-5e15fd82a2fe","","","False"
