"name","id","label","uuid:ID","synonyms","reference"
"Body Temperature","BiomedicalConcept_18","Body Temperature","7cab35fa-c1b7-4174-9799-afb8d128258e","['Temperature']","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446"
"Body Weight","BiomedicalConcept_19","Body Weight","ccee4e25-f420-48ab-9822-cac24de802e4","['Weight']","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328"
"Body Height","BiomedicalConcept_20","Body Height","f5596a56-a16a-4091-881f-448cac4d3470","['Height']","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634"
"Alanine Aminotransferase Measurement","BiomedicalConcept_21","Alanine Aminotransferase Measurement","61d6adb8-806c-4037-9276-3facf9bfae32","['ALT', 'SGPT']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433"
"Albumin Measurement","BiomedicalConcept_22","Albumin Measurement","6e68f518-0fb7-4bbc-b107-f88fcde170f1","['Albumin']","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431"
"Alkaline Phosphatase Measurement","BiomedicalConcept_23","Alkaline Phosphatase Measurement","cfc9be43-61d0-446e-9592-eba031a678d6","['Alkaline Phosphatase']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432"
"Aspartate Aminotransferase Measurement","BiomedicalConcept_24","Aspartate Aminotransferase Measurement","475e7bd9-12c4-4632-bc99-9dc1e07e69ea","['AST', 'SGOT']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467"
"Creatinine Measurement","BiomedicalConcept_25","Creatinine Measurement","752baa63-39c2-4b0a-9e19-82dc24713fec","['Creatinine']","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547"
"Potassium Measurement","BiomedicalConcept_26","Potassium Measurement","f5ac0cd6-20ce-4ef6-8f05-4937c999e0c9","['Potassium', 'K']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853"
"Sodium Measurement","BiomedicalConcept_27","Sodium Measurement","8fbb163f-11e2-47c4-a22d-145e499a08f7","['Sodium', 'NA']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809"
"Adverse Event","BiomedicalConcept_1","Adverse Event","65201f06-2d14-44b5-a2d9-4ef82d81afa8","['Adverse Event Reported Term', 'AETERM']","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331"
"Systolic Blood Pressure","BiomedicalConcept_2","Systolic Blood Pressure","430962c4-6913-42a5-bc7f-2d0b5768733a","['SYSBP']","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298"
"Diastolic Blood Pressure","BiomedicalConcept_3","Diastolic Blood Pressure","1b9b8105-d975-455f-8284-5668d736f965","['DIABP']","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299"
"Body Temperature","BiomedicalConcept_4","Body Temperature","39b2c0f9-e3cb-49f5-a378-78d93c7fe94b","['Temperature']","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446"
"Body Weight","BiomedicalConcept_5","Body Weight","7a86b531-e280-4eda-a9df-e6cada7b1c91","['Weight']","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328"
"Body Height","BiomedicalConcept_6","Body Height","e4677712-2bd3-45ba-a633-cc4f9db90d54","['Height']","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634"
"Alanine Aminotransferase Measurement","BiomedicalConcept_7","Alanine Aminotransferase Measurement","8da915ed-b51e-41b4-b5a9-4d1531dfa53c","['ALT', 'SGPT']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433"
"Albumin Measurement","BiomedicalConcept_8","Albumin Measurement","18c4e347-3139-4ec8-8fc4-233a9fa9f357","['Albumin']","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431"
