"name","id","label","uuid:ID","datatype","isRequired","isEnabled"
"Vital Signs Result","BiomedicalConceptProperty_86","Vital Signs Result","e4489794-ea46-4631-86a3-b9e72cf4d651","decimal","True","True"
"Unit of Temperature","BiomedicalConceptProperty_87","Unit of Temperature","77f9f32f-f86d-4028-b4db-a5fa7645885e","string","True","True"
"Vital Signs Location","BiomedicalConceptProperty_88","Vital Signs Location","2d907829-e24f-4783-9d70-6ecb041206f7","string","True","True"
"Vital Signs Result","BiomedicalConceptProperty_89","Vital Signs Result","fa39c210-569b-407e-b49d-93ed6bb48cd3","decimal","True","True"
"Unit of Weight","BiomedicalConceptProperty_90","Unit of Weight","8de28c36-afee-498a-a0b8-60a23a424717","string","True","True"
"Vital Signs Result","BiomedicalConceptProperty_91","Vital Signs Result","ade7b286-b433-4b29-a7ce-46ef1333cecf","decimal","True","True"
"Unit of Height","BiomedicalConceptProperty_92","Unit of Height","1ce5045c-8f84-42b3-b379-ad82e2ac4e68","string","True","True"
"Laboratory Test Result","BiomedicalConceptProperty_93","Laboratory Test Result","b9552c57-7d9a-45c4-a0ec-5b0bc97a380a","decimal","True","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_94","Laboratory Test Fasting Status","8c35b063-c213-4568-8ceb-297efa5d8c40","boolean","True","True"
"Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_95","Unit of Catalytic Activity Concentration","67651213-bd45-48b0-aaa1-29b7af8a9c7b","string","True","True"
"Biospecimen Type","BiomedicalConceptProperty_96","Biospecimen Type","1fa3ffd6-8a94-4fda-b2e5-cc86d8960657","string","True","True"
"Laboratory Test Result","BiomedicalConceptProperty_97","Laboratory Test Result","42911c13-8352-404d-bc2f-08a922d0452b","string","True","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_98","Laboratory Test Fasting Status","237d08ba-dd99-4954-b05b-4c28d1dd65f6","boolean","True","True"
"Unit of Concentration","BiomedicalConceptProperty_99","Unit of Concentration","0129d0a1-0b61-422b-b5d4-32f4b9588524","string","True","True"
"Biospecimen Type","BiomedicalConceptProperty_100","Biospecimen Type","0062f123-f1fe-42ce-9ad5-ee8b9e3535b6","string","True","True"
"Laboratory Test Result","BiomedicalConceptProperty_101","Laboratory Test Result","fff16501-0c4a-4b08-a998-004a7ec2340d","decimal","True","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_102","Laboratory Test Fasting Status","d34e2816-4af2-4ed4-abee-bd22251d9fd5","boolean","True","True"
"Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_103","Unit of Catalytic Activity Concentration","1d50ad14-a168-4e73-b1b5-8e93a14b61dd","string","True","True"
"Biospecimen Type","BiomedicalConceptProperty_104","Biospecimen Type","f3a70303-a4a0-4907-b66c-75bb19f28f53","string","True","True"
"Laboratory Test Result","BiomedicalConceptProperty_105","Laboratory Test Result","e5c02564-94f6-4b66-956d-8348eac8e1c0","decimal","True","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_106","Laboratory Test Fasting Status","f2aaf26a-4aad-4f8c-be06-6cd3d6f9e638","boolean","True","True"
"Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_107","Unit of Catalytic Activity Concentration","bf0d6d62-645d-40a7-a0a2-ebcbd7fa67ec","string","True","True"
"Biospecimen Type","BiomedicalConceptProperty_108","Biospecimen Type","59b0b415-15d8-4ae7-aa78-6ac95cadf7a3","string","True","True"
"Laboratory Test Result","BiomedicalConceptProperty_109","Laboratory Test Result","53d2f85b-d29a-40a1-898e-6d6432b386cb","string","True","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_110","Laboratory Test Fasting Status","8e965517-aeff-4ca2-b240-90d5ad27d013","boolean","True","True"
"Unit of Concentration","BiomedicalConceptProperty_111","Unit of Concentration","c37a40f0-e269-40eb-ade8-09dda31e6583","string","True","True"
"Biospecimen Type","BiomedicalConceptProperty_112","Biospecimen Type","0a4f2c13-4f5b-4994-a00d-242149588225","string","True","True"
"Laboratory Test Result","BiomedicalConceptProperty_113","Laboratory Test Result","3260ccbe-7759-4102-aec9-01a699cd71be","decimal","True","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_114","Laboratory Test Fasting Status","782deb5d-eb54-4509-94af-ff7f63f772d0","boolean","True","True"
"Molarity Unit","BiomedicalConceptProperty_115","Molarity Unit","a284fd4a-b303-4582-b4e8-b31d09985af4","string","True","True"
"Biospecimen Type","BiomedicalConceptProperty_116","Biospecimen Type","054e9dc9-cf3b-43b7-ba37-5eddd65d5c52","string","True","True"
"Laboratory Test Result","BiomedicalConceptProperty_117","Laboratory Test Result","a786de82-633f-4a62-a418-48b526e76cbd","decimal","True","True"
"Laboratory Test Fasting Status","BiomedicalConceptProperty_118","Laboratory Test Fasting Status","c83bb062-0cd0-4474-a80f-e928d68208bb","boolean","True","True"
"Molarity Unit","BiomedicalConceptProperty_119","Molarity Unit","700a7114-d4af-4424-bbd0-7e9670d65479","string","True","True"
"Biospecimen Type","BiomedicalConceptProperty_120","Biospecimen Type","569554e3-cc7d-4aa1-ab47-0edcfca03cf7","string","True","True"
