"name","id","text","uuid:ID"
"ENCOUNTER_START_RULE_1","TransitionRule_1","Subject identifier","572ba6d4-205f-4f7b-b022-8555f8254234"
"ENCOUNTER_START_RULE_1","TransitionRule_2","completion of screening activities","0085659a-3196-4784-ae21-bcee38212291"
"ENCOUNTER_START_RULE_2","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine","37ad6688-fd2d-4371-94d1-570524b4b2a8"
"ENCOUNTER_START_RULE_3","TransitionRule_4","subject has connection of ambulatory ECG machine removed","7000821e-66a9-4c04-8745-ec0e9c49f091"
"ENCOUNTER_START_RULE_3","TransitionRule_5","Radomized","4f3d5cc5-32f7-443c-ae54-e0f1e8d8e294"
"ENCOUNTER_START_RULE_12","TransitionRule_6","End of treatment","d610604f-0a59-448c-9496-cbecc09f7bee"
"ELEMENT_START_RULE_1","TransitionRule_7","Informed consent","b7f06cf2-c8c7-49c7-9fd7-99c251a03fc0"
"ELEMENT_END_RULE_1","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent","b7f4cc55-3874-48ae-a70c-f6185caf3675"
"ELEMENT_START_RULE_2","TransitionRule_9","Administration of first dose","4996440d-d4eb-44a8-9ace-0dc150e9c0ad"
"ELEMENT_START_RULE_7","TransitionRule_14","End of last scheduled visit on study (including early termination)","71428b0f-380a-4c40-bb0f-d85dfd341ade"
"ELEMENT_END_RULE_7","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)","8e2aec6b-cfde-49d2-b2d9-2805089b7835"
"ELEMENT_START_RULE_3","TransitionRule_10","Administration of first dose","430b0752-973e-4a60-bd0a-eccc64981217"
"ELEMENT_START_RULE_4","TransitionRule_11","Randomized","fb93d9ce-bb80-477d-93c8-2365011bc530"
"ELEMENT_START_RULE_5","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)","00799921-3ab1-4e6a-97b5-7cb2eca6d672"
"ELEMENT_START_RULE_6","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)","976c58ba-f674-4672-be8f-f0ec2f2f61ae"
