"name","id","label","uuid:ID","description"
"E1","Encounter_1","Screening 1","34e88411-ba52-4a35-af5d-e95719d7650d","Screening encounter"
"E2","Encounter_2","Screening 2","69e72828-a707-4f43-a88a-0165320a674c","Screening encounter - Ambulatory ECG Placement"
"E3","Encounter_3","Baseline","4fb68d89-106f-4284-ae81-93641c74c6f8","Baseline encounter - Ambulatory ECG Removal"
"E4","Encounter_4","Week 2","75f61a59-d191-430b-9f68-79c73669e978","Day 14"
"E5","Encounter_5","Week 4","0a73512e-9c33-4bb8-adc5-62acc714140e","Day 28"
"E7","Encounter_6","Week 6","bfb2f9e4-f1c7-4e16-b978-c0c26a9bf82f","Day 42"
"E8","Encounter_7","Week 8","65fb137a-6f12-488a-ba4b-42a3066b7405","Day 56"
"E9","Encounter_8","Week 12","5868fa87-85d8-45ca-81e2-544bdca19ca1","Day 84"
"E10","Encounter_9","Week 16","505fec55-e342-4b19-aefd-5de0bf321292","Day 112"
"E11","Encounter_10","Week 20","b73a7138-fb5d-4472-92ba-86f056381230","Day 140"
"E12","Encounter_11","Week 24","dad57954-5383-4a4f-a240-7ee312ab1b13","Day 168"
"E13","Encounter_12","Week 26","fbdd0199-9ef9-4e16-8c6b-8929ac9de953","Day 182"
