"name","id","label","uuid:ID","value","windowUpper","window","windowLower","description"
"TIM1","Timing_1","Screening","3f5ad11e-524d-4264-a328-aeff19be17e6","P2W","","","","Screening timing"
"TIM2","Timing_2","Pre dose","e84a80ec-e490-49c1-abd0-a248b5057e3b","P2D","PT0H","-4..0 hours","PT4H","Pre dose timing"
"TIM3","Timing_3","Dosing","e29d29ac-2862-4dad-87f5-f02d823e6be4","P1D","","","","Dosing anchor"
"TIM4","Timing_4","Week 2","83c0c680-d215-4762-80c5-4069f7e39ea7","P2W","P3D","-3..3 days","P3D","Week 2 timing"
"TIM5","Timing_5","Week 4","671b56b0-3b61-4b39-979a-0d711acc3f2f","P4W","P3D","-3..3 days","P3D","Week 4 timing"
"TIM6","Timing_6","Week 6","5fcf8e49-ba70-4ca3-81b9-35d2e93c8338","P6W","P3D","-3..3 days","P3D","Week 6 timing"
"TIM7","Timing_7","Week 8","28befa83-a18e-4468-b15c-fadc625b751a","P8W","P3D","-3..3 days","P3D","Week 8 timing"
"TIM8","Timing_8","Week 8 Home","7b4b0ecb-31a0-43e1-8784-89f02b3c4d13","P2W","","","","Week 8 at home timing"
"TIM9","Timing_9","Week 12","2e3270e0-d63f-4500-a09c-86923c2b5abc","P12W","P4D","-4..4 days","P4D","Week 12 timing"
"TIM10","Timing_10","Week 12 Home","2f1a5171-5801-469b-b728-7435ce954a8e","P2W","","","","Week 12 at home timing"
"TIM11","Timing_11","Week 16","5d4fa4b9-83fb-4c82-8061-176a63498314","P16W","P4D","-4..4 days","P4D","Week 16 timing"
"TIM12","Timing_12","Week 16 Home","226fb68d-0c7a-41f0-a5c9-86d799fbb0c6","P2W","","","","Week 16 at home timing"
"TIM13","Timing_13","Week 20","3c16c47e-1b2b-468f-819f-cb3e5b4f9067","P20W","P4D","-4..4 days","P4D","Week 20 timing"
"TIM14","Timing_14","Week 20 Home","c0b1f94d-1e57-41b8-a416-183c66f09a11","P2W","","","","Week 20 at home timing"
"TIM15","Timing_15","Week 24","9d3c11c5-8770-4c48-96bc-76e63c39f862","P24W","P4D","-4..4 days","P4D","Week 24 timing"
"TIM16","Timing_16","Week 26","70435b0a-8b42-4581-b566-0b389c6d3641","P26W","P3D","-3..3 days","P3D","Week 26 timing"
"TIM17","Timing_17","Adverse Event","9ad9e797-6731-4d3e-ba40-df662a2dcf7b","P1D","","","","Adverse Event"
"TIM18","Timing_18","Early Termination","9b47d047-e1d9-40f3-a326-5e8705abab67","P1D","","","","Early Termination"
"TIM19","Timing_19","BP Anchor","23d1141a-a5d8-4945-b65f-c48db95dab1f","PT0M","","","","BP Anchor"
"TIM20","Timing_20","BP while Supine","170a2caa-2880-43aa-901d-cd5cc7c347cf","PT5M","","","","BP while Supine"
"TIM21","Timing_21","BP Stand Up","5746b003-eda4-40f2-bc7a-2305a733126d","PT3M","PT0M","-2..0 min","PT2M","BP Stand Up"
"TIM22","Timing_22","BP while standing","12cfb577-e325-4b5b-90fe-7b30ee69ed3c","PT0M","","","","BP while standing"
