"name","uuid:ID","text","id"
"ENCOUNTER_START_RULE_1","4b4cfa77-be44-4492-b3a9-a94557045c86","Subject identified","TransitionRule_1"
"ENCOUNTER_START_RULE_1","cb7e0c68-868b-4fc3-97d3-b07f59453565","IEs passed","TransitionRule_2"
"ENCOUNTER_START_RULE_3","ef6a6850-2e27-4ef5-b9e7-78c248b2693a","Radomized","TransitionRule_3"
"ELEMENT_START_RULE_1","0b67cd90-3c27-441d-ad8b-ac848de39344","Study Start","TransitionRule_4"
"ELEMENT_END_RULE_1","266a6b74-f087-4a85-83e7-51d197b40fed","Screened","TransitionRule_5"
"ELEMENT_START_RULE_2","d982a31e-b0e2-45cd-9078-2cf4c61aa156","Screened","TransitionRule_6"
"ELEMENT_END_RULE_2","f5647bc7-899c-48f6-84f3-e308ccc7a3ef","Radomized","TransitionRule_7"
"ELEMENT_START_RULE_3","6072fef8-1b4a-41ff-b0e7-bf4de7a9685a","Radomized","TransitionRule_8"
"ELEMENT_END_RULE_3","ac98080c-29ee-4419-a3c9-406be9bb00ee","Completed treatment 1","TransitionRule_9"
"ELEMENT_START_RULE_5","c514a5e8-6319-4958-895e-eb26e4d180fe","Radomized","TransitionRule_12"
"ELEMENT_END_RULE_5","c813fcfd-b034-45b0-896e-d521e5118700","Completed treatment 2","TransitionRule_13"
"ELEMENT_START_RULE_4","3f6f9c65-c52c-4f9a-8dfb-c5e4b073fb10","Treated","TransitionRule_10"
"ELEMENT_END_RULE_4","d3088c0f-c0c7-48e6-8677-520bb4b57970","Leave Study","TransitionRule_11"
