"id","text","instanceType","name","uuid:ID"
"TransitionRule_1","Subject identifier","TransitionRule","ENCOUNTER_START_RULE_1","b520e8fd-9290-4197-bceb-6947007a733f"
"TransitionRule_2","completion of screening activities","TransitionRule","ENCOUNTER_START_RULE_1","9be8e647-40ac-499a-bcb7-f34a4358acea"
"TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule","ENCOUNTER_START_RULE_2","913a6f1c-84b2-433d-afbc-2c43bd1f1156"
"TransitionRule_4","subject has connection of ambulatory ECG machine removed","TransitionRule","ENCOUNTER_START_RULE_3","88252d94-18dc-4b10-af2b-48feb32fd160"
"TransitionRule_5","Radomized","TransitionRule","ENCOUNTER_START_RULE_3","c8ba3b9a-37d4-42da-9dea-de8d83635b80"
"TransitionRule_6","End of treatment","TransitionRule","ENCOUNTER_START_RULE_12","12998916-2780-4569-bb16-52a9c5224ab1"
"TransitionRule_7","Informed consent","TransitionRule","ELEMENT_START_RULE_1","58c1cfe5-f501-4c01-b8ef-f91f3483dbcc"
"TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule","ELEMENT_END_RULE_1","63682e5f-266e-4273-9479-c51c924467dc"
"TransitionRule_9","Administration of first dose","TransitionRule","ELEMENT_START_RULE_2","f6bf07c2-eb5f-487f-843a-673b7f701951"
"TransitionRule_14","End of last scheduled visit on study (including early termination)","TransitionRule","ELEMENT_START_RULE_7","f2fb5a06-ffd6-432e-bd34-e50248734fd6"
"TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule","ELEMENT_END_RULE_7","373ed0e9-1b52-4236-9eb5-15cc156365a9"
"TransitionRule_10","Administration of first dose","TransitionRule","ELEMENT_START_RULE_3","1afc64fc-88d9-4b1d-9cbd-0cd210e0564e"
"TransitionRule_11","Randomized","TransitionRule","ELEMENT_START_RULE_4","2f855880-d66f-4f2e-99fa-a02206609084"
"TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)","TransitionRule","ELEMENT_START_RULE_5","860b66f6-0c1c-4f2d-8c84-ddd66107ec38"
"TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)","TransitionRule","ELEMENT_START_RULE_6","4d006d50-bf1d-42fa-b1dc-4fb927f16900"
