"id","windowLower","valueLabel","description","label","instanceType","windowLabel","name","value","windowUpper","uuid:ID"
"Timing_1","","2 weeks","Screening timing","Screening","Timing","","TIM1","P2W","","963c023d-e429-453b-bfec-abc85d06d996"
"Timing_2","PT4H","2 days","Pre dose timing","Pre dose","Timing","-4..0 hours","TIM2","P2D","PT0H","7ecd99fa-3b6b-491e-b2c7-eed5ac82553f"
"Timing_3","","1 Day","Dosing anchor","Dosing","Timing","","TIM3","P1D","","f3da05ee-af75-488c-9fb1-5d514efeb482"
"Timing_4","P3D","2 Weeks","Week 2 timing","Week 2","Timing","-3..3 days","TIM4","P2W","P3D","0c0528d6-0241-445d-ac7b-b6e598193c7d"
"Timing_5","P3D","4 Weeks","Week 4 timing","Week 4","Timing","-3..3 days","TIM5","P4W","P3D","4e1bbe2f-5856-467e-8058-c48c1e847ebf"
"Timing_6","P3D","6 Weeks","Week 6 timing","Week 6","Timing","-3..3 days","TIM6","P6W","P3D","87d94a29-fb6d-42dd-897a-931c1a3d7826"
"Timing_7","P3D","8 Weeks","Week 8 timing","Week 8","Timing","-3..3 days","TIM7","P8W","P3D","061a1789-c5ec-4540-988b-301034b04126"
"Timing_9","P4D","12 Weeks","Week 12 timing","Week 12","Timing","-4..4 days","TIM9","P12W","P4D","05e6d19c-f00e-4d3c-8892-f5d884b9636d"
"Timing_11","P4D","16 Weeks","Week 16 timing","Week 16","Timing","-4..4 days","TIM11","P16W","P4D","62068003-0411-42a1-8772-456d4c0daee6"
"Timing_13","P4D","20 Weeks","Week 20 timing","Week 20","Timing","-4..4 days","TIM13","P20W","P4D","ec7987c9-231b-43d8-8971-e017eadb6d5d"
"Timing_15","P4D","24 Weeks","Week 24 timing","Week 24","Timing","-4..4 days","TIM15","P24W","P4D","ed58cf19-ccac-438a-9139-ef8b9412e24a"
"Timing_16","P3D","26 Weeks","Week 26 timing","Week 26","Timing","-3..3 days","TIM16","P26W","P3D","d257a537-ca43-46ce-955a-bb36ff2f0182"
"Timing_8","","2 Weeks","Week 8 at home timing","Week 8 Home","Timing","","TIM8","P2W","","880d0b83-dd7e-4983-8274-63cde7335773"
"Timing_10","","2 Weeks","Week 12 at home timing","Week 12 Home","Timing","","TIM10","P2W","","8d031266-035a-432a-ba80-03f2d6109ae2"
"Timing_12","","2 Weeks","Week 16 at home timing","Week 16 Home","Timing","","TIM12","P2W","","2ab01dfd-48e1-4814-9976-c623b8e4303c"
"Timing_14","","2 Weeks","Week 20 at home timing","Week 20 Home","Timing","","TIM14","P2W","","07c9a8f2-400a-47d8-a1ca-918feca530a4"
"Timing_17","","1 Day","Adverse Event","Adverse Event","Timing","","TIM17","P1D","","0f154bd2-c239-4a23-97c0-d5d3a2809912"
"Timing_18","","1 Day","Early Termination","Early Termination","Timing","","TIM18","P1D","","7b1fb733-491b-41b1-9429-9b5b78082748"
"Timing_19","","0 mins","Supine","Supine","Timing","","TIM19","PT0M","","dc4f0790-d917-4e5a-9a1c-fc91b897fc2a"
"Timing_20","","5 mins","VS while supine","VS while supine","Timing","","TIM20","PT5M","","75d1d7aa-37f5-444b-9147-2ff652eb5379"
"Timing_21","","0 min","Standing","Standing","Timing","","TIM21","PT0M","","267774ea-c6af-403e-9d14-ce793c51bc41"
"Timing_22","","1 min","VS while standing","VS while standing","Timing","","TIM22","PT1M","","148be3ad-0624-40d0-b276-cae080d7ae70"
"Timing_23","","0 min","Standing","Standing","Timing","","TIM23","PT0M","","b8610ed6-46bd-4af9-80e1-f8d5b7f6510f"
"Timing_24","","2 min","VS while standing","VS while standing","Timing","","TIM24","PT2M","","3a223d50-93cb-49ea-a01e-f0bb3ef5d648"
