"id","description","label","instanceType","name","uuid:ID"
"Activity_1","","Informed consent","Activity","Informed consent","b795ce02-67d7-47f3-86e6-b631565b29a2"
"Activity_2","","Inclusion and exclusion criteria","Activity","Inclusion/exclusion criteria","f8679b5f-6fed-40f8-a4ca-b992f692bcf4"
"Activity_3","","Patient number assigned","Activity","Patient number assigned","9886cfc9-8b6f-4883-9b7a-519b768162e4"
"Activity_4","","Demographics","Activity","Demographics","99866366-e2b1-43f2-b7c2-e7bad80c74ec"
"Activity_5","","Hachinski Ischemic Scale","Activity","Hachinski","ddf14d95-c997-4bdd-9b5e-060def963866"
"Activity_6","","MMSE","Activity","MMSE","6b9c693c-72d9-4ebd-aced-3da5894f2a2a"
"Activity_7","","Physical examination","Activity","Physical examination","5794b801-53ae-4b35-8c64-a0b8de19637b"
"Activity_8","","Medical history","Activity","Medical history","805a825d-81f6-4b0e-9410-0137d0b6cd83"
"Activity_9","","Habits","Activity","Habits","99736fe9-3ced-468c-8f04-674539728b5b"
"Activity_10","","Chest X-ray","Activity","Chest X-ray","60742915-e0f1-47c3-94eb-4873b573a9d2"
"Activity_11","","Apo E genotyping","Activity","Apo E genotyping","d139dcf9-ef8a-46ba-8fef-8d8bb8c0910f"
"Activity_12","","Patient randomised","Activity","Patient randomised","b4ad4492-f9e6-4929-969e-c3eb67d720d6"
"Activity_13","","Vital Signs and Temperature","Activity","Vital signs / Temperature","3e629742-d30a-4222-b36f-62a0156e3815"
"Activity_14","","Ambulatory ECG placed","Activity","Ambulatory ECG placed","c0ec2c6d-bc51-4c96-817f-8468c319afe9"
"Activity_15","","Ambulatory ECG removed","Activity","Ambulatory ECG removed","be4a04e8-18dd-4210-8883-eb3ec9ac2bd5"
"Activity_16","","ECG","Activity","ECG","5029ad8f-bf30-4c6e-990c-97f741b85421"
"Activity_17","","Placebo TTS test","Activity","Placebo TTS test","93edd9a5-d4c0-4794-89f9-ca03c9cb8158"
"Activity_18","","CT scan","Activity","CT scan","ff8dd4f9-1249-42d5-8c37-ba6282b1bf8f"
"Activity_19","","Concomitant medications","Activity","Concomitant medications","f86fa938-da9a-4b97-bb7c-0c1b6befc16f"
"Activity_20","","Hematology","Activity","Hematology","98b0c28c-d168-4981-b9d0-8f856d73b0f8"
"Activity_21","","Chemistry","Activity","Chemistry","54bd2f20-9058-4900-866b-57e71ed46434"
"Activity_22","","Uninalysis","Activity","Uninalysis","579cb266-7b01-45d1-b996-05360a4adc45"
"Activity_23","","Plasma Specimen (Xanomeline)","Activity","Plasma Specimen (Xanomeline)","e6fd7a2a-7390-48cb-a880-ec8778c1cf46"
"Activity_24","","Hemoglobin A1C","Activity","Hemoglobin A1C","e2f3f62c-d46a-44fb-97c5-471114a3cd65"
"Activity_25","","Study drug record , Medications dispensed, Medications returned","Activity","Study drug","a2c1e403-4f99-47ba-a5c8-30836e2aecc7"
"Activity_26","","TTS Acceptability Survey","Activity","TTS Acceptability Survey","b5020f33-6573-4f7d-88c0-58dc05a288c8"
"Activity_27","","ADAS-Cog","Activity","ADAS-Cog","0513a29e-ce56-4741-b740-a704fa2eefe5"
"Activity_28","","CIBIC+","Activity","CIBIC+","7acdcd89-a051-4a55-bb9b-43800248bbe8"
"Activity_29","","DAD","Activity","DAD","74a7e96b-9312-420a-8be7-797a4b532344"
"Activity_30","","NPI-X","Activity","NPI-X","8a87172f-8113-49e7-abc5-f261f1561617"
"Activity_31","","Adverse events","Activity","Adverse events","ac852b95-ba69-44d3-b3ac-73f8bb5242ae"
"Activity_32","","Check adverse events","Activity","Check adverse events","23853ef5-d262-4cf6-abda-58a785c84b5b"
"Activity_33","","Subject supine","Activity","Supine","91d55d8b-c548-4b98-b9a7-1f511ba9c5b4"
"Activity_34","","Vital signs while supine","Activity","Vital Signs Supine","897e63c1-5b90-4a92-8709-f6cb6fd43e35"
"Activity_35","","Subject Standing","Activity","Stand","af08d1fd-390b-4a28-818c-e84949da5a3c"
"Activity_36","","Vital signs while standing","Activity","Vital Signs Standing","cd88c184-c122-4d35-a30a-a938f9990e35"
