"codeSystemVersion","id","codeSystem","code","decode","instanceType","uuid:ID"
"2023-12-15","Code_1","http://www.cdisc.org","C98388","Interventional Study","Code","0e4f7b2f-ab1f-4128-afa0-a82e6f433b6d"
"2023-12-15","Code_2","http://www.cdisc.org","C15601","Phase II Trial","Code","9288d7ff-fd09-492e-a243-8e7b2ecadb2e"
"2023-12-15","Code_9","http://www.cdisc.org","C132352","Sponsor Approval Date","Code","7a283afa-bb68-487c-99c7-2cb73789701e"
"2023-12-15","Code_10","http://www.cdisc.org","C68846","Global","Code","df8f6df3-5b6f-47ac-a5b8-aa9d62625ddf"
"2023-12-15","Code_72","http://www.cdisc.org","C99904x3","IRB/IEC Feedback","Code","edfbbb7d-a53e-4fdb-a855-db289dab01c9"
"2023-12-15","Code_73","http://www.cdisc.org","C17649","Other","Code","aefaa888-13be-45d8-bd09-ed535ad2de5a"
"2023-12-15","Code_75","http://www.cdisc.org","C41129","Region","Code","36364d41-4e7b-4656-a31b-fcec1e709e78"
"2020-08","Code_74","ISO 3166 1 alpha3","150","Europe","Code","5662d860-4dac-4f5a-9325-26d612853968"
"12","Code_4","SPONSOR","PHARMA","Eli Lilly","Code","19780403-9cc1-4e90-94c0-a1ba1bb4365d"
"2023-12-15","Code_76","http://www.cdisc.org","C70793","Clinical Study Sponsor","Code","7de069ea-deb6-45c5-aed7-fde7ac8b8b24"
"2020-08","Code_77","ISO 3166 1 alpha3","USA","United States of America","Code","bbbf2838-7b0e-44f7-af67-4cc836e558f7"
"2023-12-15","Code_78","http://www.cdisc.org","C93453","Study Registry","Code","671162c1-0bbe-4cd5-87e8-51a15b6c7520"
"2020-08","Code_79","ISO 3166 1 alpha3","USA","United States of America","Code","13df4e92-97f2-428a-9981-12f7f6db2a26"
"2023-12-15","Code_137","http://www.cdisc.org","C49656","Treatment Study","Code","3398a062-d925-44c2-b0ae-4149778a1510"
"2023-12-15","Code_138","http://www.cdisc.org","C49666","Efficacy Study","Code","0e99a9a5-af39-4a34-9e5b-3fc59d81e942"
"2023-12-15","Code_139","http://www.cdisc.org","C49667","Safety Study","Code","f8ea5abb-3c7d-49e7-82f8-6697a37828e3"
"2023-12-15","Code_140","http://www.cdisc.org","C49663","Pharmacokinetic Study","Code","5aa9ee46-d0ce-4216-8234-2d812bf5439c"
"12","Code_134","SPONSOR","MILD_MOD_ALZ","Mild to Moderate Alzheimer's Disease","Code","a20bb053-c793-445d-965c-f4cbfeb6c5ee"
"January 31, 2018","Code_135","SNOMED","26929004","Alzheimer's disease","Code","be96a1d8-d2c1-46b9-ad53-77db59bf5e7b"
"2023-12-15","Code_143","http://www.cdisc.org","C99907x1","EXTENSION","Code","2157efe3-7b57-480a-baf4-9f572fba2465"
"2023-12-15","Code_144","http://www.cdisc.org","C98704","ADAPTIVE","Code","fb793486-e7d0-478f-bf8a-48a51b6d7a1c"
"2023-12-15","Code_141","http://www.cdisc.org","C82639","Parallel Study","Code","da0c9f69-7407-4065-b359-067e5d01276d"
"2023-12-15","Code_83","http://www.cdisc.org","C25716","Visit","Code","201787bf-83bc-4826-809e-ce46420b2517"
"2023-12-15","Code_84","http://www.cdisc.org","C51282","Clinic","Code","1a95f215-21d3-4488-8d78-3f488a01d5f5"
"2023-12-15","Code_85","http://www.cdisc.org","C175574","In Person","Code","79d70912-3556-4e2f-9e3d-9f996c32c8ac"
"2023-12-15","Code_86","http://www.cdisc.org","C25716","Visit","Code","e366c83b-b9ad-46c3-85c1-c842462c029c"
"2023-12-15","Code_87","http://www.cdisc.org","C51282","Clinic","Code","2af52915-2050-4777-80c0-26d05a228944"
"2023-12-15","Code_88","http://www.cdisc.org","C175574","In Person","Code","35f1e74b-13a9-4d28-8585-4afbd3120ce3"
"2023-12-15","Code_89","http://www.cdisc.org","C25716","Visit","Code","008fc951-e262-4df8-8fe0-9fc14b42291b"
"2023-12-15","Code_90","http://www.cdisc.org","C51282","Clinic","Code","15688a05-29dc-4a99-85a1-3a5f0fbb284f"
"2023-12-15","Code_91","http://www.cdisc.org","C175574","In Person","Code","dfe305d0-75d4-4ba2-92ad-fb73e7a84a97"
"2023-12-15","Code_92","http://www.cdisc.org","C25716","Visit","Code","76e3d27e-676b-47d6-bdf9-ce3367d5ab1e"
"2023-12-15","Code_93","http://www.cdisc.org","C51282","Clinic","Code","cc746a83-d496-46aa-b767-62f79570900f"
"2023-12-15","Code_94","http://www.cdisc.org","C175574","In Person","Code","a39e4be2-9edf-41e6-b75d-dae6c033360c"
"2023-12-15","Code_95","http://www.cdisc.org","C25716","Visit","Code","19b78740-1eba-4b41-a997-50836b3c6502"
"2023-12-15","Code_96","http://www.cdisc.org","C51282","Clinic","Code","bab3f47f-534c-4d2d-9dd3-aa7994eca20a"
"2023-12-15","Code_97","http://www.cdisc.org","C175574","In Person","Code","ee53937c-d31d-4886-b134-ea6cd6b38581"
"2023-12-15","Code_98","http://www.cdisc.org","C25716","Visit","Code","a2626024-01bb-442b-b504-c7744e465418"
"2023-12-15","Code_99","http://www.cdisc.org","C51282","Clinic","Code","d59e52ff-bbe2-420f-895a-bf73dfc0a7fc"
"2023-12-15","Code_100","http://www.cdisc.org","C175574","In Person","Code","0d771aa5-aaeb-4fd5-bdc9-1a7824985bdd"
"2023-12-15","Code_101","http://www.cdisc.org","C25716","Visit","Code","d27d0794-b962-4d5a-b68c-9fc44a669048"
"2023-12-15","Code_102","http://www.cdisc.org","C51282","Clinic","Code","f2651a85-c8f8-4e33-98dd-1292e33b1e19"
"2023-12-15","Code_103","http://www.cdisc.org","C175574","In Person","Code","b88c5863-61af-4f1f-9e67-c438ed693039"
"2023-12-15","Code_104","http://www.cdisc.org","C171537","Telephone Call","Code","4907b837-3d44-43ad-8fef-61f3c711b72b"
"2023-12-15","Code_105","http://www.cdisc.org","C25716","Visit","Code","7257b3a5-e2a6-4587-9207-63df31d59af2"
"2023-12-15","Code_106","http://www.cdisc.org","C51282","Clinic","Code","ad569e0b-6cbc-4490-b7be-2d5845a1fbf2"
"2023-12-15","Code_107","http://www.cdisc.org","C175574","In Person","Code","91cd2fc9-538a-40bb-ada2-a5facb282bf9"
"2023-12-15","Code_108","http://www.cdisc.org","C171537","Telephone Call","Code","a872cbb0-d291-4c29-9651-538de17b157c"
"2023-12-15","Code_109","http://www.cdisc.org","C25716","Visit","Code","bb98b1df-da5c-46bf-a431-862a5d24c381"
"2023-12-15","Code_110","http://www.cdisc.org","C51282","Clinic","Code","618313e5-3559-47f5-8793-d3c0d9505e7b"
"2023-12-15","Code_111","http://www.cdisc.org","C175574","In Person","Code","ba990ecf-443c-4f18-9231-8e4c44d6efed"
"2023-12-15","Code_112","http://www.cdisc.org","C171537","Telephone Call","Code","9c833922-41a6-48b6-9118-46f386d90a73"
"2023-12-15","Code_113","http://www.cdisc.org","C25716","Visit","Code","c516f9a7-66ab-4aa9-8f25-00b7eb092c23"
"2023-12-15","Code_114","http://www.cdisc.org","C51282","Clinic","Code","8b020e43-3d4c-408a-807f-e24d02c48a7f"
"2023-12-15","Code_115","http://www.cdisc.org","C175574","In Person","Code","f2d27aed-19fd-485a-9c52-1c121324ee32"
"2023-12-15","Code_116","http://www.cdisc.org","C171537","Telephone Call","Code","acebdcda-297d-40c8-9c12-9f9a96ace3ea"
"2023-12-15","Code_117","http://www.cdisc.org","C25716","Visit","Code","50e7e01b-741f-4ea3-a4c2-5f7607bab492"
"2023-12-15","Code_118","http://www.cdisc.org","C51282","Clinic","Code","c08bfea9-4fe4-46bf-9635-851ff3767642"
"2023-12-15","Code_119","http://www.cdisc.org","C175574","In Person","Code","19169985-13a9-42f3-b9ab-493c4796e0de"
"2023-12-15","Code_120","http://www.cdisc.org","C25716","Visit","Code","dd5f57d5-331f-4431-bff1-c342d1884673"
"2023-12-15","Code_121","http://www.cdisc.org","C51282","Clinic","Code","896ff06f-a3d9-46c6-912f-db4c21ddd02e"
"2023-12-15","Code_122","http://www.cdisc.org","C175574","In Person","Code","03524627-3c5f-40d0-bcbb-f3a37d09454c"
