"id","description","label","instanceType","name","uuid:ID"
"Encounter_1","Screening encounter","Screening 1","Encounter","E1","08e8c596-3a25-4b9a-bffd-c71475ff68b1"
"Encounter_2","Screening encounter - Ambulatory ECG Placement","Screening 2","Encounter","E2","c07c6a77-dc7d-4a02-abc3-10fd550187e4"
"Encounter_3","Baseline encounter - Ambulatory ECG Removal","Baseline","Encounter","E3","51ae5332-c359-4a2c-a12c-e139acd1a21e"
"Encounter_4","Day 14","Week 2","Encounter","E4","3655877a-5fef-4d32-a4c1-15990c4f5709"
"Encounter_5","Day 28","Week 4","Encounter","E5","c4613acd-39be-4946-9247-d7dfb4093d44"
"Encounter_6","Day 42","Week 6","Encounter","E7","dce8345b-bb09-4ba5-bb72-5354a79f6be0"
"Encounter_7","Day 56","Week 8","Encounter","E8","7277398b-58d5-4acc-b858-0e21e78aaaa8"
"Encounter_8","Day 84","Week 12","Encounter","E9","b0a79743-9613-4112-9fdd-fea00223624a"
"Encounter_9","Day 112","Week 16","Encounter","E10","fb8b44ec-699f-415c-963a-db80c80d7395"
"Encounter_10","Day 140","Week 20","Encounter","E11","4564b9b8-1bda-4730-af1d-7e72bcab99e0"
"Encounter_11","Day 168","Week 24","Encounter","E12","57375d9c-f9e2-475f-98c9-fd68ec4fde58"
"Encounter_12","Day 182","Week 26","Encounter","E13","461699af-fede-4db0-ba17-b8906b26270d"
