"id","purpose","description","label","text","instanceType","name","uuid:ID"
"Endpoint_1","","","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint","END1","d42143b6-68c3-423e-9341-4af3018cc7b4"
"Endpoint_2","","","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint","END2","8a2ae38f-7a5b-4873-a0bc-870423b22842"
"Endpoint_3","","","","Adverse events","Endpoint","END3","1560fe52-b8de-47a1-9872-cdcdc797ca9e"
"Endpoint_4","","","","Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint","END4","6bec5c3a-f4b8-4cfd-ac85-fb2fab0bf36f"
"Endpoint_5","","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","","Laboratory evaluations (Change from Baseline)","Endpoint","END5","19552fd3-5f23-450e-bbf3-908c14377d2f"
"Endpoint_6","","","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint","END6","eef9b390-1cb0-44ac-8f32-066ad5a19109"
"Endpoint_7","","","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint","END7","a8206cfd-cfff-476a-bd2e-68ad6ceae807"
"Endpoint_8","","","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint","END8","75cc9550-b35b-4f93-b1d2-1c786c2bae47"
"Endpoint_9","","","","*** To be determined from protocol ***","Endpoint","END9","40496fbb-8697-4656-9d24-e439d72ae0a6"
"Endpoint_10","","","","*** To be determined from protocol ***","Endpoint","END10","d5d3f108-b63a-4fee-8fa1-8a1222688cc8"
"Endpoint_11","","","","*** To be determined from protocol ***","Endpoint","END11","eba38e70-1a87-49e9-b19d-9ed9d4804d3f"
