"id","description","label","instanceType","name","uuid:ID"
"ScheduledActivityInstance_9","-","Screen One","ScheduledActivityInstance","SCREEN1","848f0c73-2651-476e-89b5-caaa97281196"
"ScheduledActivityInstance_10","-","Screen Two","ScheduledActivityInstance","SCREEN2","3a9edf7d-5a2c-4fde-b24d-037c1e8f06fe"
"ScheduledActivityInstance_11","-","Dose","ScheduledActivityInstance","DOSE","7dbe605d-9bc7-463d-8415-522ef6f82283"
"ScheduledActivityInstance_12","-","Week 2","ScheduledActivityInstance","WK2","114b8f7b-3477-44db-836d-e3806f3586fc"
"ScheduledActivityInstance_13","-","Week 4","ScheduledActivityInstance","WK4","bdab8df9-b65d-442a-b337-9ddec61d773f"
"ScheduledActivityInstance_14","-","Week 6","ScheduledActivityInstance","WK6","6bf659c2-549c-4f5b-b5be-1bd4a28a4dbf"
"ScheduledActivityInstance_15","-","Week 8","ScheduledActivityInstance","WK8","39a82858-4531-4698-9d1c-dcda6a025241"
"ScheduledActivityInstance_16","-","Week NPI","ScheduledActivityInstance","WK8N","316604af-e112-48fe-9904-8dbbdeb5cd52"
"ScheduledActivityInstance_17","-","Week 12","ScheduledActivityInstance","WK12","8113c5cc-42b9-4876-9bf6-b03aba2fba93"
"ScheduledActivityInstance_18","-","Week 12 NPI","ScheduledActivityInstance","WK12N","2a955df7-939c-4e85-bd39-14f5bb479cc1"
"ScheduledActivityInstance_19","-","Week 16","ScheduledActivityInstance","WK16","097e9e30-393b-4a38-9496-ba63022e8f3a"
"ScheduledActivityInstance_20","-","Week 16 NPI","ScheduledActivityInstance","WK16N","dc6999c2-753c-4933-abf1-5ba8bf205d7c"
"ScheduledActivityInstance_21","-","Week 20","ScheduledActivityInstance","WK20","dbccd258-fb32-4826-87f0-32a9e6e0b795"
"ScheduledActivityInstance_22","-","Week 20 NPI","ScheduledActivityInstance","WK20N","03458a76-8565-407e-a139-cfcd36cf5ebe"
"ScheduledActivityInstance_23","-","Week 24","ScheduledActivityInstance","WK24","5eb71700-33d2-4f99-8c4b-8a155f7d3626"
"ScheduledActivityInstance_24","-","Week 26","ScheduledActivityInstance","WK26","37dd5256-a67b-42c4-91a4-1c3a513ef484"
"ScheduledActivityInstance_1","-","Adevers Event","ScheduledActivityInstance","AE","e10f31ca-2b1a-4311-a7bf-86fb1b72f7e5"
"ScheduledActivityInstance_2","-","Early Termination","ScheduledActivityInstance","ET","1c5a4f3b-e87c-47a7-a0ce-420f0d73f719"
"ScheduledActivityInstance_3","","5 minute supine","ScheduledActivityInstance","VS_5MIN","4e48d1b9-9fed-42a8-9932-9475352f0139"
"ScheduledActivityInstance_4","","Vital signs supine","ScheduledActivityInstance","VS_SUPINE","a5b8eda9-adee-4878-87ae-1b6c2b7cfc48"
"ScheduledActivityInstance_5","","1 minute standing","ScheduledActivityInstance","VS_1MIN","98484674-0603-4cea-8c4a-f02460419942"
"ScheduledActivityInstance_6","","Vital signs after 1 min standing","ScheduledActivityInstance","VS_STAND1","339bc302-5b0b-43f0-8817-4143c1748692"
"ScheduledActivityInstance_7","","2 minute standing","ScheduledActivityInstance","VS_2MIN","f0c4a89b-63a5-4ac5-b936-f9dd69c3e91b"
"ScheduledActivityInstance_8","","Vital signs after 3 min standing","ScheduledActivityInstance","VS_STAND3","5133be24-4bbd-4c3e-8e48-efcda7649763"
