"text","id","label","purpose","uuid:ID","name","instanceType","description"
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint_1","","","b73f4dc1-31ed-44e0-a5bb-12ddb219f5ba","END1","Endpoint",""
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint_2","","","859a6456-6cd2-4d81-ba76-c8e076adfc8c","END2","Endpoint",""
"Adverse events","Endpoint_3","","","575b5368-191f-49f5-a1e0-dd54dc0a7ed7","END3","Endpoint",""
"Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint_4","","","55d1f6e2-5c4d-41e8-8f5f-b859e6a284ff","END4","Endpoint",""
"Laboratory evaluations (Change from Baseline)","Endpoint_5","","","32c65aea-f341-44a1-ae04-128591703037","END5","Endpoint","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation"
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint_6","","","b68add95-3a12-4977-96e4-3d35042ea8f7","END6","Endpoint",""
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint_7","","","20ddf3bb-67a4-45c7-a2a5-cb6b81d39e69","END7","Endpoint",""
"Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint_8","","","dd39e127-56e4-4137-99d2-db8b40d1921b","END8","Endpoint",""
"*** To be determined from protocol ***","Endpoint_9","","","79112f88-b563-4a6b-8342-23a1a960e631","END9","Endpoint",""
"*** To be determined from protocol ***","Endpoint_10","","","e8ff406f-ed01-4370-aba4-03f5a1b29346","END10","Endpoint",""
"*** To be determined from protocol ***","Endpoint_11","","","90e88d82-b935-49bf-b434-af645c5aad74","END11","Endpoint",""
