"text","id","uuid:ID","name","instanceType"
"Subject identifier","TransitionRule_1","583089fc-40cb-45e3-914c-f452748c09a6","ENCOUNTER_START_RULE_1","TransitionRule"
"completion of screening activities","TransitionRule_2","5d82be32-6423-43b7-ab02-4b2b915e6b2f","ENCOUNTER_START_RULE_1","TransitionRule"
"subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3","257d01d0-cdee-4ae3-9940-6e3447654b28","ENCOUNTER_START_RULE_2","TransitionRule"
"subject has connection of ambulatory ECG machine removed","TransitionRule_4","6b616ffe-b440-4881-aead-88aebc3af78a","ENCOUNTER_START_RULE_3","TransitionRule"
"Radomized","TransitionRule_5","72cf208b-4963-4569-8607-c4a9a3e4b3bb","ENCOUNTER_START_RULE_3","TransitionRule"
"End of treatment","TransitionRule_6","90ccd7ff-2068-4552-ac89-3a77d87d199a","ENCOUNTER_START_RULE_12","TransitionRule"
"Informed consent","TransitionRule_7","71432932-a04f-4af3-8736-8421e480abc9","ELEMENT_START_RULE_1","TransitionRule"
"Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8","0398706c-9be3-400d-96a6-4c46ddc92f08","ELEMENT_END_RULE_1","TransitionRule"
"Administration of first dose","TransitionRule_9","792948de-57a4-4bdb-8f72-0ef6a8290c95","ELEMENT_START_RULE_2","TransitionRule"
"End of last scheduled visit on study (including early termination)","TransitionRule_14","ed5ebace-9ddf-4376-aa48-3567b711f0db","ELEMENT_START_RULE_7","TransitionRule"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15","f002f1e3-aa7a-4af3-9496-df4a242264ee","ELEMENT_END_RULE_7","TransitionRule"
"Administration of first dose","TransitionRule_10","bd1f731d-c641-4060-9332-ed84692b13e0","ELEMENT_START_RULE_3","TransitionRule"
"Randomized","TransitionRule_11","4f8c4117-03a3-41f3-822d-4775ff1de156","ELEMENT_START_RULE_4","TransitionRule"
"Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12","9351a751-01a3-4f96-9d4d-c0a91e0156a5","ELEMENT_START_RULE_5","TransitionRule"
"Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13","10dbb344-d736-4dfd-8602-1555af44c68e","ELEMENT_START_RULE_6","TransitionRule"
