"id","label","uuid:ID","name","instanceType","description"
"Encounter_1","Screening 1","50487177-2db4-4c5a-9bb0-bfb88fdf69a4","E1","Encounter","Screening encounter"
"Encounter_2","Screening 2","66585200-65eb-46e5-a90d-672da5c2ad11","E2","Encounter","Screening encounter - Ambulatory ECG Placement"
"Encounter_3","Baseline","d68c8d26-7936-4e5c-a353-a211289e5940","E3","Encounter","Baseline encounter - Ambulatory ECG Removal"
"Encounter_4","Week 2","e332cd7a-602a-4e72-8470-ffb8fa10c96f","E4","Encounter","Day 14"
"Encounter_5","Week 4","1a393bd1-5347-4279-85f2-bbde5fe7b6bc","E5","Encounter","Day 28"
"Encounter_6","Week 6","da825daf-f7f8-43b4-b85f-25391107c5f3","E7","Encounter","Day 42"
"Encounter_7","Week 8","07e7d7cf-560a-4848-8230-43a5d7b122ed","E8","Encounter","Day 56"
"Encounter_8","Week 12","34b41973-68b2-46a3-a14a-563f7b58fb6c","E9","Encounter","Day 84"
"Encounter_9","Week 16","72156061-b2db-49d3-a9bb-e774e90e7575","E10","Encounter","Day 112"
"Encounter_10","Week 20","0d521fdd-7240-4fd6-bd04-44cacb13ff6c","E11","Encounter","Day 140"
"Encounter_11","Week 24","3e2b7449-3e7d-47cf-907d-7002dc592f49","E12","Encounter","Day 168"
"Encounter_12","Week 26","c98e669b-f4f9-4af0-98c5-48c579ac53f4","E13","Encounter","Day 182"
