"id","label","uuid:ID","name","instanceType","description"
"ScheduledActivityInstance_9","Screen One","d58e6d3a-9dc6-4699-b32f-9336babaefab","SCREEN1","ScheduledActivityInstance","-"
"ScheduledActivityInstance_10","Screen Two","9eb62dd5-11c1-493a-a2da-34b8002495aa","SCREEN2","ScheduledActivityInstance","-"
"ScheduledActivityInstance_11","Dose","ea30c2cb-2e34-43b6-8b62-81e0698160f3","DOSE","ScheduledActivityInstance","-"
"ScheduledActivityInstance_12","Week 2","badf230f-0935-4210-b903-91a9dd896cb5","WK2","ScheduledActivityInstance","-"
"ScheduledActivityInstance_13","Week 4","2d0b9aea-8c6f-41a6-a85f-2195a5057e29","WK4","ScheduledActivityInstance","-"
"ScheduledActivityInstance_14","Week 6","b6e57c6e-b796-4254-b3cf-725f4208d4d8","WK6","ScheduledActivityInstance","-"
"ScheduledActivityInstance_15","Week 8","c0789ccb-665d-41c0-8b84-5763ef2b1c34","WK8","ScheduledActivityInstance","-"
"ScheduledActivityInstance_16","Week NPI","0fc673b1-b9eb-43e3-80f0-30fcd6af8dd7","WK8N","ScheduledActivityInstance","-"
"ScheduledActivityInstance_17","Week 12","2878cd43-a61d-4f1a-9d84-3677cdd11e19","WK12","ScheduledActivityInstance","-"
"ScheduledActivityInstance_18","Week 12 NPI","160bfe55-b9de-4dd9-b675-f6eee7cb2837","WK12N","ScheduledActivityInstance","-"
"ScheduledActivityInstance_19","Week 16","5a64428f-e416-4e83-adf1-1e380788202f","WK16","ScheduledActivityInstance","-"
"ScheduledActivityInstance_20","Week 16 NPI","a8ca9680-49fe-47fd-8f43-7a616fdbac51","WK16N","ScheduledActivityInstance","-"
"ScheduledActivityInstance_21","Week 20","ae717a1d-3c45-420b-96d0-4555be4a9e4b","WK20","ScheduledActivityInstance","-"
"ScheduledActivityInstance_22","Week 20 NPI","53243cc6-f5c1-447e-90db-ebc0847b1c20","WK20N","ScheduledActivityInstance","-"
"ScheduledActivityInstance_23","Week 24","6208b3be-bab9-45b5-8626-21f4c514da3b","WK24","ScheduledActivityInstance","-"
"ScheduledActivityInstance_24","Week 26","4d3aa06f-f7f5-46c4-9d35-c1a9ed8183a6","WK26","ScheduledActivityInstance","-"
"ScheduledActivityInstance_1","Adevers Event","c1a100aa-0009-45df-afd4-ef274e018a80","AE","ScheduledActivityInstance","-"
"ScheduledActivityInstance_2","Early Termination","db8bbf2e-322a-4d26-989e-bb26ed02a0b8","ET","ScheduledActivityInstance","-"
"ScheduledActivityInstance_3","5 minute supine","e10da67d-0cfe-4b4a-bace-43bf3b96c414","VS_5MIN","ScheduledActivityInstance",""
"ScheduledActivityInstance_4","Vital signs supine","d4757186-c7d1-4267-8e66-bbae4d7501ff","VS_SUPINE","ScheduledActivityInstance",""
"ScheduledActivityInstance_5","1 minute standing","20aa2c81-bcd4-41ea-9335-ccce6f0530ab","VS_1MIN","ScheduledActivityInstance",""
"ScheduledActivityInstance_6","Vital signs after 1 min standing","58af0de2-bed9-4c7a-8957-6bea11aed53d","VS_STAND1","ScheduledActivityInstance",""
"ScheduledActivityInstance_7","2 minute standing","cb25b533-fce3-4ec6-8da5-254f9a560c2d","VS_2MIN","ScheduledActivityInstance",""
"ScheduledActivityInstance_8","Vital signs after 3 min standing","df1970ab-24e6-41e8-abb2-8d689a38adb2","VS_STAND3","ScheduledActivityInstance",""
