"instanceType","id","code","uuid:ID","codeSystem","codeSystemVersion","decode"
"Code","Code_1","C98388","09ba6356-d7f0-4d01-805b-fbba411046f1","http://www.cdisc.org","2023-12-15","Interventional Study"
"Code","Code_2","C15601","a3712e00-b8c8-4e99-8215-af05befc6594","http://www.cdisc.org","2023-12-15","Phase II Trial"
"Code","Code_9","C132352","ae1c129b-0dd1-445b-aeca-b68b6431dcf1","http://www.cdisc.org","2023-12-15","Sponsor Approval Date"
"Code","Code_10","C68846","274ec093-452e-487c-a90d-a8b4b65f1073","http://www.cdisc.org","2023-12-15","Global"
"Code","Code_72","C99904x3","f089e82b-ff04-4adb-a4a8-f4ced5a05a3e","http://www.cdisc.org","2023-12-15","IRB/IEC Feedback"
"Code","Code_73","C17649","9cf5f8fa-7cce-47ad-8220-122f8091301f","http://www.cdisc.org","2023-12-15","Other"
"Code","Code_75","C41129","04075678-23ab-4432-ab5f-059bdc660c61","http://www.cdisc.org","2023-12-15","Region"
"Code","Code_74","150","4fea5fe8-0d20-4e9d-b667-cb79798d81c5","ISO 3166 1 alpha3","2020-08","Europe"
"Code","Code_4","PHARMA","39960006-2fda-40f0-84b3-5c4a19551484","SPONSOR","12","Eli Lilly"
"Code","Code_76","C70793","cebeb53a-6f8a-44f7-817c-4634f83bdead","http://www.cdisc.org","2023-12-15","Clinical Study Sponsor"
"Code","Code_77","USA","f8f922e7-272b-43cc-bb7a-3f7e7e8ea136","ISO 3166 1 alpha3","2020-08","United States of America"
"Code","Code_78","C93453","3d231651-2513-4f43-b596-ca9aabedbb15","http://www.cdisc.org","2023-12-15","Study Registry"
"Code","Code_79","USA","71e1bb59-d95d-4379-a046-f486a7f98cb5","ISO 3166 1 alpha3","2020-08","United States of America"
"Code","Code_137","C49656","9f51286d-cb1c-4a6f-9dbe-1c3ab3612393","http://www.cdisc.org","2023-12-15","Treatment Study"
"Code","Code_138","C49666","8807f813-f1a7-4367-8434-4a9cb418b146","http://www.cdisc.org","2023-12-15","Efficacy Study"
"Code","Code_139","C49667","312cd2ec-efe4-4e7e-88f5-1e48bc999f4a","http://www.cdisc.org","2023-12-15","Safety Study"
"Code","Code_140","C49663","01fccbbc-78b5-4058-98de-1967783c20e6","http://www.cdisc.org","2023-12-15","Pharmacokinetic Study"
"Code","Code_134","MILD_MOD_ALZ","8bf22ef6-d1f7-46a7-8797-9a1c0c412806","SPONSOR","12","Mild to Moderate Alzheimer's Disease"
"Code","Code_135","26929004","c5a40318-f6a2-488f-8f71-0eeb9f16e53c","SNOMED","January 31, 2018","Alzheimer's disease"
"Code","Code_143","C99907x1","53d85189-a843-451a-a806-3caaa96d8dca","http://www.cdisc.org","2023-12-15","EXTENSION"
"Code","Code_144","C98704","f7ba0fdc-bb00-49ba-84da-404385264731","http://www.cdisc.org","2023-12-15","ADAPTIVE"
"Code","Code_141","C82639","311c531d-5715-48d6-a02d-9ab48448ade5","http://www.cdisc.org","2023-12-15","Parallel Study"
"Code","Code_83","C25716","24dece9b-623f-4227-80a9-0f600ebb357e","http://www.cdisc.org","2023-12-15","Visit"
"Code","Code_84","C51282","24035b93-43d8-492b-8318-529f771ac94b","http://www.cdisc.org","2023-12-15","Clinic"
"Code","Code_85","C175574","6569366a-3bfc-4baa-88b3-866e2988b804","http://www.cdisc.org","2023-12-15","In Person"
"Code","Code_86","C25716","0c3f1f51-c6dd-43a9-b765-891ef1c56a36","http://www.cdisc.org","2023-12-15","Visit"
"Code","Code_87","C51282","0b6e2334-4483-4304-83b5-536be6d9ab9b","http://www.cdisc.org","2023-12-15","Clinic"
"Code","Code_88","C175574","7b7bb41a-7b9a-40e5-afa1-56d129580e87","http://www.cdisc.org","2023-12-15","In Person"
"Code","Code_89","C25716","0078a26a-d41f-4fb1-ba78-a9fc41783612","http://www.cdisc.org","2023-12-15","Visit"
"Code","Code_90","C51282","a1f53e37-b6c8-4dfb-8e1b-f91d2ecd7cd2","http://www.cdisc.org","2023-12-15","Clinic"
"Code","Code_91","C175574","88b1d705-5999-4ac1-9490-436bb4cf9bfc","http://www.cdisc.org","2023-12-15","In Person"
"Code","Code_92","C25716","8a3d9f3f-2237-47eb-ba26-9cf0f94826de","http://www.cdisc.org","2023-12-15","Visit"
"Code","Code_93","C51282","a5882dc0-c587-4ef8-8a5b-8882d95ace74","http://www.cdisc.org","2023-12-15","Clinic"
"Code","Code_94","C175574","d58bc742-abc8-4754-a5a5-c16a31622576","http://www.cdisc.org","2023-12-15","In Person"
"Code","Code_95","C25716","15103a5f-7b47-49ec-8756-d049ecee7751","http://www.cdisc.org","2023-12-15","Visit"
"Code","Code_96","C51282","4fcd4c03-16ad-4c5c-857d-df9be39b2079","http://www.cdisc.org","2023-12-15","Clinic"
"Code","Code_97","C175574","080b70fd-28e9-493e-8ac4-6be947e81fc6","http://www.cdisc.org","2023-12-15","In Person"
"Code","Code_98","C25716","76d0fdf3-520a-4828-94f9-461869a1df3a","http://www.cdisc.org","2023-12-15","Visit"
"Code","Code_99","C51282","f5a27408-a9c4-42dd-b101-68c1458a11d5","http://www.cdisc.org","2023-12-15","Clinic"
"Code","Code_100","C175574","f4d780a9-dc3e-4734-8ae3-b39bc2302e57","http://www.cdisc.org","2023-12-15","In Person"
"Code","Code_101","C25716","6decf267-18e8-4a2e-95a8-9e9f04fb7dbb","http://www.cdisc.org","2023-12-15","Visit"
"Code","Code_102","C51282","844c102f-c26b-4999-befd-84cd4bc0b711","http://www.cdisc.org","2023-12-15","Clinic"
"Code","Code_103","C175574","fe84bdfd-7fdb-49e7-8b7f-ccf80ca43660","http://www.cdisc.org","2023-12-15","In Person"
"Code","Code_104","C171537","40042eff-2287-430d-9d24-f364056b77bc","http://www.cdisc.org","2023-12-15","Telephone Call"
