"windowLabel","valueLabel","id","windowLower","windowUpper","label","value","uuid:ID","name","instanceType","description"
"","2 weeks","Timing_1","","","Screening","P2W","165468ff-5fa0-4562-9cd8-474f093b8f44","TIM1","Timing","Screening timing"
"-4..0 hours","2 days","Timing_2","PT4H","PT0H","Pre dose","P2D","35cf24cb-9f62-4030-bb05-52e0019bdad4","TIM2","Timing","Pre dose timing"
"","1 Day","Timing_3","","","Dosing","P1D","16eb986f-ba84-4b3d-a264-c8116de80e18","TIM3","Timing","Dosing anchor"
"-3..3 days","2 Weeks","Timing_4","P3D","P3D","Week 2","P2W","2e69f0f8-88e2-4815-b75c-c62b8adf9ab5","TIM4","Timing","Week 2 timing"
"-3..3 days","4 Weeks","Timing_5","P3D","P3D","Week 4","P4W","6174b9aa-f64a-4d0d-924b-e8f1ea3e5f65","TIM5","Timing","Week 4 timing"
"-3..3 days","6 Weeks","Timing_6","P3D","P3D","Week 6","P6W","56c7ac1f-bb71-4cb5-8e06-c2b48b152aee","TIM6","Timing","Week 6 timing"
"-3..3 days","8 Weeks","Timing_7","P3D","P3D","Week 8","P8W","37ad9af8-185f-43eb-b9b1-a8d488723a2d","TIM7","Timing","Week 8 timing"
"-4..4 days","12 Weeks","Timing_9","P4D","P4D","Week 12","P12W","59fd22cf-2677-4bdb-8c09-a7a1d0d38b7f","TIM9","Timing","Week 12 timing"
"-4..4 days","16 Weeks","Timing_11","P4D","P4D","Week 16","P16W","13e14b7b-43e7-4b7a-9c80-0e60a79e9845","TIM11","Timing","Week 16 timing"
"-4..4 days","20 Weeks","Timing_13","P4D","P4D","Week 20","P20W","53a6e82e-7ee5-439e-9ff6-f4993c31dd39","TIM13","Timing","Week 20 timing"
"-4..4 days","24 Weeks","Timing_15","P4D","P4D","Week 24","P24W","dac7afea-17d0-4a7f-8a32-3e2631ebc6b3","TIM15","Timing","Week 24 timing"
"-3..3 days","26 Weeks","Timing_16","P3D","P3D","Week 26","P26W","9b3ea54a-ea6c-40e0-aea7-9d4c592d0646","TIM16","Timing","Week 26 timing"
"","2 Weeks","Timing_8","","","Week 8 Home","P2W","981bb04a-8d37-4adc-8148-ce2f1ed49dcf","TIM8","Timing","Week 8 at home timing"
"","2 Weeks","Timing_10","","","Week 12 Home","P2W","15d249f1-95af-4ede-a045-66fcc3ac2eab","TIM10","Timing","Week 12 at home timing"
"","2 Weeks","Timing_12","","","Week 16 Home","P2W","a067e924-5428-4b58-a8b4-44d88beaf673","TIM12","Timing","Week 16 at home timing"
"","2 Weeks","Timing_14","","","Week 20 Home","P2W","8c87f6f5-b67c-4a4b-80fd-3822d50a96e7","TIM14","Timing","Week 20 at home timing"
"","1 Day","Timing_17","","","Adverse Event","P1D","9f480686-1fa0-4af1-80b7-c938ef1b3693","TIM17","Timing","Adverse Event"
"","1 Day","Timing_18","","","Early Termination","P1D","3d658a1e-96e0-4aaf-af9b-dbc321be0796","TIM18","Timing","Early Termination"
"","0 mins","Timing_19","","","Supine","PT0M","81e15ca1-be11-4d15-8e89-6493062eebe5","TIM19","Timing","Supine"
"","5 mins","Timing_20","","","VS while supine","PT5M","ed50e797-8da2-49a7-8e2a-6ebe41c84099","TIM20","Timing","VS while supine"
"","0 min","Timing_21","","","Standing","PT0M","f903c4e9-3600-4fda-a3a3-07649724589c","TIM21","Timing","Standing"
"","1 min","Timing_22","","","VS while standing","PT1M","42b8952d-d0ce-4d86-b6fd-34b6b828d319","TIM22","Timing","VS while standing"
"","0 min","Timing_23","","","Standing","PT0M","9d2287dd-c133-4b4f-b649-5ec30eaa099f","TIM23","Timing","Standing"
"","2 min","Timing_24","","","VS while standing","PT2M","85c0f89d-cb73-4444-b88b-4cc34a02b881","TIM24","Timing","VS while standing"
