"isEnabled","id","datatype","isRequired","label","uuid:ID","name","instanceType"
"True","BiomedicalConceptProperty_116","text","True","DSDECOD","078bf662-b292-49d9-8e71-d9a15b725e8b","DSDECOD","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_117","text","True","DSTERM","ec296ce5-1c9d-46dd-a54d-7348d8f36303","DSTERM","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_118","datetime","True","DSSTDTC","65abb9c9-be0b-4afc-b8d2-935b494fb693","DSSTDTC","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_119","string","True","Sex","2160100e-cb79-4475-82ee-3e7e6d3ae597","Sex","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_120","string","True","Race","b80ac92a-5bdf-4d93-afaa-c50d6421122e","Race","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_121","","True","VSTESTCD","7ade68e6-a63b-4f90-8630-20bef096608f","VSTESTCD","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_122","float","True","VSORRES","414eeb33-b454-47d0-8a96-0da1f1724662","VSORRES","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_123","","True","VSORRESU","e92bd259-a11c-4c3f-82e6-3703c152cf85","VSORRESU","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_124","","True","VSLOC","648b1ec3-1b61-42f8-b75b-4a0b4c41d796","VSLOC","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_125","","True","VSTESTCD","befe9e1a-0829-4d42-a77c-2eeb0b3c8511","VSTESTCD","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_126","float","True","VSORRES","40d33bc6-6c33-44a5-b953-3b307ddc7431","VSORRES","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_127","","True","VSORRESU","931d41d8-04a3-43fd-8ead-88effd010f0e","VSORRESU","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_128","","True","VSTESTCD","b4d3bce8-4aed-47b3-8204-d4cecf45f0c6","VSTESTCD","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_129","float","True","VSORRES","7fc30930-f489-4134-a229-632b3560d1f1","VSORRES","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_130","","True","VSORRESU","ae8051df-0095-40f1-8aed-2fedce88813e","VSORRESU","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_131","","True","LBTESTCD","91f4505c-504b-430c-a48a-3a922fe4df8c","LBTESTCD","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_132","float","True","LBORRES","4bb5084e-d55a-46e0-b01b-16b7aa519b0d","LBORRES","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_133","","True","LBORRESU","6186d579-01f1-4f47-b616-30c43499f3ef","LBORRESU","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_134","","True","LBSPEC","4da807f1-163e-484c-8699-bda43f3fc5c9","LBSPEC","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_135","","True","LBFAST","9c077724-46c0-4a2e-a235-0b1c6dad0be8","LBFAST","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_136","","True","LBTESTCD","c4db2333-2a3a-40df-b882-fe37576f08ca","LBTESTCD","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_137","text","True","LBORRES","55fe0bfd-2a95-421d-9053-ddebe01f8d4d","LBORRES","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_138","","True","LBSPEC","2dc63e1b-a42d-43c7-a31a-8bdb2469b2ec","LBSPEC","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_139","","True","LBFAST","caed473f-ffcf-4515-90a0-ac079d8db022","LBFAST","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_140","","True","LBTESTCD","f9dd5f06-c08e-49c0-adb4-d36e8d1ad935","LBTESTCD","BiomedicalConceptProperty"
