"id","label","uuid:ID","name","instanceType","description"
"Activity_1","Informed consent","4ecdd257-5204-4ae3-8d95-4f757b4bf24a","Informed consent","Activity",""
"Activity_2","Inclusion and exclusion criteria","3e04e31f-578d-47fa-8e03-21dd61bb7bca","Inclusion/exclusion criteria","Activity",""
"Activity_3","Patient number assigned","cf22dbcd-ed37-4daf-bbe0-17b262a2fcdd","Patient number assigned","Activity",""
"Activity_4","Demographics","65e816e1-ffa9-4d6a-981e-47ccf45997cc","Demographics","Activity",""
"Activity_5","Hachinski Ischemic Scale","1dac37fb-8c4d-447b-bd85-310109e6c073","Hachinski","Activity",""
"Activity_6","MMSE","1bdf1b57-0d2b-42a6-8543-ef8e455a52e0","MMSE","Activity",""
"Activity_7","Physical examination","1e995c70-df2e-49e6-9a81-5764d5b1f524","Physical examination","Activity",""
"Activity_8","Medical history","3cec86ca-fed1-4e28-8887-00eff59b528c","Medical history","Activity",""
"Activity_9","Habits","a6bf5abd-9f9f-44ff-9a7a-877a1c608316","Habits","Activity",""
"Activity_10","Chest X-ray","60af8a95-85f4-4be3-b759-f2e9187bf866","Chest X-ray","Activity",""
"Activity_11","Apo E genotyping","63d6801d-00a8-4f36-a307-2a307bc53a32","Apo E genotyping","Activity",""
"Activity_12","Patient randomised","d5e0e39e-da38-48ba-b77b-506430e66ed1","Patient randomised","Activity",""
"Activity_13","Vital Signs and Temperature","8172dab2-b954-49d2-b2dd-f84a880e6775","Vital signs / Temperature","Activity",""
"Activity_14","Ambulatory ECG placed","260ae072-58c7-43a0-a329-a0a3da5fbe48","Ambulatory ECG placed","Activity",""
"Activity_15","Ambulatory ECG removed","fdff2194-81be-47d0-bdd2-c3337d627705","Ambulatory ECG removed","Activity",""
"Activity_16","ECG","789e6199-d1d4-48e8-8478-6ef934131b69","ECG","Activity",""
"Activity_17","Placebo TTS test","395a7526-3491-4c04-abd6-692fcc882fe7","Placebo TTS test","Activity",""
"Activity_18","CT scan","57f8c579-c77c-4fb0-872b-f2d2321cbd0b","CT scan","Activity",""
"Activity_19","Concomitant medications","1068dad1-3463-45b8-8c11-f6f9f0c1f469","Concomitant medications","Activity",""
"Activity_20","Hematology","ac3a698a-c595-4bce-a709-344028f9505a","Hematology","Activity",""
"Activity_21","Chemistry","8b0202d8-0dd3-477d-b8ac-7184195db0eb","Chemistry","Activity",""
"Activity_22","Uninalysis","ab35752e-81f2-4136-9941-0ba5520b7347","Uninalysis","Activity",""
"Activity_23","Plasma Specimen (Xanomeline)","0fb1bfef-2473-40b9-8694-761a835e8971","Plasma Specimen (Xanomeline)","Activity",""
"Activity_24","Hemoglobin A1C","d20c5a28-4a6c-4102-9e96-029c80898cc5","Hemoglobin A1C","Activity",""
"Activity_25","Study drug record , Medications dispensed, Medications returned","749bc0b9-6ccc-4787-b70d-a7e4fa5711ab","Study drug","Activity",""
"Activity_26","TTS Acceptability Survey","b0158957-dab1-419d-a5b9-8dc25b4375a0","TTS Acceptability Survey","Activity",""
"Activity_27","ADAS-Cog","6b3e1c26-aee8-4ce5-a282-236a3de2e733","ADAS-Cog","Activity",""
"Activity_28","CIBIC+","40c6725a-f2a7-43df-8519-3a6227169719","CIBIC+","Activity",""
"Activity_29","DAD","eb41e9c0-b04e-4643-80f5-7cdbcb82e2be","DAD","Activity",""
"Activity_30","NPI-X","daabda00-6f14-4254-ae93-06e855d220e1","NPI-X","Activity",""
"Activity_31","Adverse events","5000259d-144f-43ff-bc1e-b48baa480aca","Adverse events","Activity",""
"Activity_32","Check adverse events","1d9ed5b0-d387-4bee-971a-1fe6b5861eea","Check adverse events","Activity",""
"Activity_33","Subject supine","818b2fe3-12c3-4c38-806d-3eea054c8b16","Supine","Activity",""
"Activity_34","Vital signs while supine","a174065d-d5d4-413c-9119-63e4855818c3","Vital Signs Supine","Activity",""
"Activity_35","Subject Standing","ab003550-6ba7-4199-a656-290de704203c","Stand","Activity",""
"Activity_36","Vital signs while standing","6c62b3d2-5c89-46ec-8139-302c8e64723f","Vital Signs Standing","Activity",""
