"id","label","uuid:ID","name","instanceType","reference","synonyms"
"BiomedicalConcept_20","Informed Consent Obtained","72bb3322-1475-4ea9-8b47-a15a65442bde","Informed Consent Obtained","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","['Informed Consent Obtained', 'Informed Consent']"
"BiomedicalConcept_21","Sex","2abc5a6c-d204-4422-bbc0-109be9ca1fe2","Sex","BiomedicalConcept","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421",""
"BiomedicalConcept_22","Race","d1d4f61b-e7a2-44fe-b4d5-c30768aec4c3","Race","BiomedicalConcept","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","['Racial Group']"
"BiomedicalConcept_23","Temperature","bc7088d0-8821-45d4-b404-9c00133b90e4","Temperature","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","['Temperature', 'Body Temperature']"
"BiomedicalConcept_24","Weight","16acde83-8892-4e57-9aa0-f10ca6508ba3","Weight","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","['Weight', 'Body Weight']"
"BiomedicalConcept_25","Height","b880f800-063d-498a-868c-5fc8f0e240f9","Height","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","['Height', 'Body Height']"
"BiomedicalConcept_26","Alanine Aminotransferase Concentration in Serum/Plasma","10b0b943-f1fa-4bf5-b1b3-df547f614a3b","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']"
"BiomedicalConcept_27","Albumin Presence in Urine","56a74e9f-982e-430b-abea-1d5d842c974d","Albumin Presence in Urine","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","['Albumin', 'Albumin Measurement']"
"BiomedicalConcept_28","Alkaline Phosphatase Concentration in Serum/Plasma","77178246-8f63-45ad-9abf-e45fd64164a9","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']"
"BiomedicalConcept_29","Aspartate Aminotransferase in Serum/Plasma","775197ee-9eef-42ef-8b2f-eec19cfb5e4e","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']"
"BiomedicalConcept_30","Creatinine Concentration in Urine","9ceca075-fd8b-455d-a919-91cab6b9d08f","Creatinine Concentration in Urine","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","['Creatinine', 'Creatinine Measurement']"
"BiomedicalConcept_31","Potassium Concentration in Urine","6154ba1a-d737-4951-a2ae-4ed50ecab3df","Potassium Concentration in Urine","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","['Potassium', 'K', 'Potassium Measurement']"
