"label","reference","uuid:ID","name","instanceType","synonyms","id"
"Body Temperature","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446","4cfa965f-4abd-46b0-b9ff-41e6c9768ae2","Body Temperature","BiomedicalConcept","['Temperature']","BiomedicalConcept_20"
"Body Weight","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328","28b6e78c-087a-463c-a3f5-0eac34ba9845","Body Weight","BiomedicalConcept","['Weight']","BiomedicalConcept_21"
"Body Height","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634","e6a87b51-a24c-44e1-a765-fc82aeb85b16","Body Height","BiomedicalConcept","['Height']","BiomedicalConcept_22"
"Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","42abe48b-daa5-4c08-a8a9-8cd3cd8965a2","Alanine Aminotransferase Measurement","BiomedicalConcept","['ALT', 'SGPT']","BiomedicalConcept_23"
"Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","1e7adbe9-6aeb-4454-ba89-7def11490338","Albumin Measurement","BiomedicalConcept","['Albumin']","BiomedicalConcept_24"
"Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","02271fe3-9d82-4319-9ce5-23fbc1f9e25d","Alkaline Phosphatase Measurement","BiomedicalConcept","['Alkaline Phosphatase']","BiomedicalConcept_25"
"Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","bfaedcc2-dafc-4615-a183-791ce6da9dc0","Aspartate Aminotransferase Measurement","BiomedicalConcept","['AST', 'SGOT']","BiomedicalConcept_26"
"Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","eec41f7c-b107-4fc6-86f9-bd2a7c7424b9","Creatinine Measurement","BiomedicalConcept","['Creatinine']","BiomedicalConcept_27"
"Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","10e4e3f9-d467-4251-aeca-aab6820c3514","Potassium Measurement","BiomedicalConcept","['Potassium', 'K']","BiomedicalConcept_28"
"Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","4ca98aaa-7dbf-4a77-8e7f-e54e2f12cac1","Sodium Measurement","BiomedicalConcept","['Sodium', 'NA']","BiomedicalConcept_29"
