"label","uuid:ID","name","instanceType","id","isRequired","isEnabled","datatype"
"Clinical Test Result","a0346db7-0d8a-49aa-8e67-d7274b6d7124","Clinical Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_89","True","True","decimal"
"Unit of Temperature","e6c7a89d-188f-4f5c-98e4-55b0c871dd86","Unit of Temperature","BiomedicalConceptProperty","BiomedicalConceptProperty_90","True","True","string"
"Anatomic Site","43e24591-10fe-46b3-9319-f46e82a49d87","Anatomic Site","BiomedicalConceptProperty","BiomedicalConceptProperty_91","True","True","string"
"Clinical Test Result","3b56f6dd-bf6f-4309-9175-32c0fc75fbb5","Clinical Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_92","True","True","decimal"
"Unit of Weight","402a034f-5314-4d74-8747-250c0fbeff6c","Unit of Weight","BiomedicalConceptProperty","BiomedicalConceptProperty_93","True","True","string"
"Clinical Test Result","af74e149-d5f4-4a6e-af58-222fe2362b66","Clinical Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_94","True","True","decimal"
"Unit of Height","4a5b2999-60c8-4f23-9071-7286d15c144f","Unit of Height","BiomedicalConceptProperty","BiomedicalConceptProperty_95","True","True","string"
"Laboratory Test Result","c8a18886-c199-4851-b0d2-f470ffebe3c4","Laboratory Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_96","True","True","decimal"
"Laboratory Test Fasting Status","0bd78d87-ce83-490e-8666-d2ae0e55be8b","Laboratory Test Fasting Status","BiomedicalConceptProperty","BiomedicalConceptProperty_97","True","True","boolean"
"Unit of Catalytic Activity Concentration","4094c226-4461-4e2a-bf3c-86f6cf3285c1","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","BiomedicalConceptProperty_98","True","True","string"
"Biospecimen Type","9cfe415f-683b-4583-a48d-402c3f2225d4","Biospecimen Type","BiomedicalConceptProperty","BiomedicalConceptProperty_99","True","True","string"
"Laboratory Test Result","1dc5d203-5862-4c25-b805-88c3d39a28a0","Laboratory Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_100","True","True","string"
"Laboratory Test Fasting Status","59aa255b-f19d-4877-b476-6c86beedbdd4","Laboratory Test Fasting Status","BiomedicalConceptProperty","BiomedicalConceptProperty_101","True","True","boolean"
"Unit of Concentration","0f1fa66d-5478-40c6-ae28-99fea8e4758b","Unit of Concentration","BiomedicalConceptProperty","BiomedicalConceptProperty_102","True","True","string"
"Biospecimen Type","64e9e0e8-1584-46d0-b8af-09203f65c900","Biospecimen Type","BiomedicalConceptProperty","BiomedicalConceptProperty_103","True","True","string"
"Laboratory Test Result","0b5f077f-1bb3-4e36-a951-bbd041f89cdb","Laboratory Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_104","True","True","decimal"
"Laboratory Test Fasting Status","a9f71d5c-efdc-4f56-9ada-4d267195aefe","Laboratory Test Fasting Status","BiomedicalConceptProperty","BiomedicalConceptProperty_105","True","True","boolean"
"Unit of Catalytic Activity Concentration","22d4e65e-9037-49ce-96d6-09773309bbd6","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","BiomedicalConceptProperty_106","True","True","string"
"Biospecimen Type","df3cf8d7-d667-46e0-bbc9-ba4a99551ce6","Biospecimen Type","BiomedicalConceptProperty","BiomedicalConceptProperty_107","True","True","string"
"Laboratory Test Result","70a20b2b-3107-4e2e-960d-72858993b406","Laboratory Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_108","True","True","decimal"
"Laboratory Test Fasting Status","3fec79fb-e457-4c81-b101-ae9dfe7e4f57","Laboratory Test Fasting Status","BiomedicalConceptProperty","BiomedicalConceptProperty_109","True","True","boolean"
"Unit of Catalytic Activity Concentration","ad02af6a-a466-4c18-a0f2-aecae5c7d07c","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty","BiomedicalConceptProperty_110","True","True","string"
"Biospecimen Type","17d2bcfe-94eb-4764-9c30-66c64156993f","Biospecimen Type","BiomedicalConceptProperty","BiomedicalConceptProperty_111","True","True","string"
"Laboratory Test Result","615c24a5-aa08-417b-8501-cb5e4e827b1a","Laboratory Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_112","True","True","string"
"Laboratory Test Fasting Status","60361e7a-2520-495d-b266-ab88f85c0efa","Laboratory Test Fasting Status","BiomedicalConceptProperty","BiomedicalConceptProperty_113","True","True","boolean"
"Unit of Concentration","c5b3568d-7117-4ec1-945d-8bfce3c54f2e","Unit of Concentration","BiomedicalConceptProperty","BiomedicalConceptProperty_114","True","True","string"
"Biospecimen Type","472a7af5-4212-4e68-8cb6-c14e1351acdc","Biospecimen Type","BiomedicalConceptProperty","BiomedicalConceptProperty_115","True","True","string"
"Laboratory Test Result","22ea1c3b-a2c0-4e29-8678-9e1526964d22","Laboratory Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_116","True","True","decimal"
"Laboratory Test Fasting Status","bbf686e2-8654-484b-89ed-8a86296901b2","Laboratory Test Fasting Status","BiomedicalConceptProperty","BiomedicalConceptProperty_117","True","True","boolean"
"Molarity Unit","47731f38-8fb1-4546-a9ef-74956ba779cd","Molarity Unit","BiomedicalConceptProperty","BiomedicalConceptProperty_118","True","True","string"
"Biospecimen Type","2688cf9c-026d-43d0-893b-94771a03580f","Biospecimen Type","BiomedicalConceptProperty","BiomedicalConceptProperty_119","True","True","string"
"Laboratory Test Result","fade6bd4-8eaf-4d43-b029-6d80db07aefc","Laboratory Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_120","True","True","decimal"
"Laboratory Test Fasting Status","993a7212-05e0-4c2c-86fe-5db28d7cdc56","Laboratory Test Fasting Status","BiomedicalConceptProperty","BiomedicalConceptProperty_121","True","True","boolean"
"Molarity Unit","a9d2d595-f553-4b97-bf20-77595476c716","Molarity Unit","BiomedicalConceptProperty","BiomedicalConceptProperty_122","True","True","string"
"Biospecimen Type","90cab96c-2178-4dbb-8730-fe60058638f9","Biospecimen Type","BiomedicalConceptProperty","BiomedicalConceptProperty_123","True","True","string"
"Reported Event Term","ef578b1a-715a-4bde-899c-1a326ff7807e","Reported Event Term","BiomedicalConceptProperty","BiomedicalConceptProperty_1","True","True","string"
"Dictionary-derived Term","35742b50-7da8-4bf7-b056-5ab96bc17c15","Dictionary-derived Term","BiomedicalConceptProperty","BiomedicalConceptProperty_2","True","True","string"
"Category","4615992e-161f-4da7-b30c-5ef89e02c80c","Category","BiomedicalConceptProperty","BiomedicalConceptProperty_3","True","True","string"
"Subcategory","e6831eea-a660-4cce-929e-d7a4759eda7f","Subcategory","BiomedicalConceptProperty","BiomedicalConceptProperty_4","True","True","string"
"Observation Start Date Time","3cef72cc-4382-4b49-af49-faa2ba5d2202","Observation Start Date Time","BiomedicalConceptProperty","BiomedicalConceptProperty_5","True","True","datetime"
"Clinical Test Result","c0ba4151-ad70-428f-b114-19c39d621b7c","Clinical Test Result","BiomedicalConceptProperty","BiomedicalConceptProperty_6","True","True","decimal"
