"uuid:ID","code","instanceType","codeSystemVersion","decode","codeSystem","id"
"828b5c02-e65a-4b78-8189-7ae6a91f1bfe","C98388","Code","2023-09-29","Interventional Study","http://www.cdisc.org","Code_1"
"2c3a3d0f-eeb5-4839-99fb-dda91e91d658","C15601","Code","2023-09-29","Phase II Trial","http://www.cdisc.org","Code_2"
"43504170-70bf-4483-94d7-d2d437f5ccb4","C132352","Code","2023-09-29","Sponsor Approval Date","http://www.cdisc.org","Code_9"
"d5ee3fbe-7613-46bd-9768-7ebee034351a","C68846","Code","2023-09-29","Global","http://www.cdisc.org","Code_10"
"274898aa-e08f-40f4-b8b1-85b2f139f3ff","C99904x3","Code","2023-09-29","IRB/IEC Feedback","http://www.cdisc.org","Code_72"
"e8243efd-5b02-4a9c-a864-37b498beaeed","C17649","Code","2023-09-29","Other","http://www.cdisc.org","Code_73"
"eeea6e15-1f67-4bb2-85d4-a17a4465679d","C41129","Code","2023-09-29","Region","http://www.cdisc.org","Code_75"
"b04d9341-6dd4-422b-acdc-db54cfe51388","150","Code","2020-08","Europe","ISO 3166 1 alpha3","Code_74"
"29b4609d-bbe3-4930-847d-25254e74fe76","PHARMA","Code","12","Eli Lilly","SPONSOR","Code_4"
"6459b66c-fe2c-4894-a891-5d4bafabc47e","C70793","Code","2023-09-29","Clinical Study Sponsor","http://www.cdisc.org","Code_76"
"a1129f23-8f3e-4b17-87e4-60f1cd6ca4ca","USA","Code","2020-08","United States of America","ISO 3166 1 alpha3","Code_77"
"b38436af-67d0-4a1d-9caa-84cba1b6f803","C93453","Code","2023-09-29","Study Registry","http://www.cdisc.org","Code_78"
"0f2d15bb-6b0f-4108-98f6-02fe4083acb5","C49656","Code","2023-09-29","Treatment Study","http://www.cdisc.org","Code_136"
"60508a84-0d35-4a1f-a520-7cbca1d8a3f9","C49666","Code","2023-09-29","Efficacy Study","http://www.cdisc.org","Code_137"
"c775797e-66a5-4f9d-b33b-2098f8a60108","C49667","Code","2023-09-29","Safety Study","http://www.cdisc.org","Code_138"
"5d3dc12a-6ff6-4b2d-85ab-239a3ee70444","C49663","Code","2023-09-29","Pharmacokinetic Study","http://www.cdisc.org","Code_139"
