"label","uuid:ID","name","description","windowLower","instanceType","window","value","windowUpper","id"
"Screening","5120cb69-99b9-42a8-a6ba-45e1ac685058","TIM1","Screening timing","","Timing","","P2W","","Timing_1"
"Pre dose","ee52d0c7-244d-4e94-b4e8-4a54c3d1fc82","TIM2","Pre dose timing","PT4H","Timing","-4..0 hours","P2D","PT0H","Timing_2"
"Dosing","50357351-ab4d-4df4-aae2-8eef99919075","TIM3","Dosing anchor","","Timing","","P1D","","Timing_3"
"Week 2","37ca87bc-6a67-45aa-b5d4-ed4e1fabf403","TIM4","Week 2 timing","P3D","Timing","-3..3 days","P2W","P3D","Timing_4"
"Week 4","24ea18bf-66db-4cb7-a9ae-b96e434c8e6b","TIM5","Week 4 timing","P3D","Timing","-3..3 days","P4W","P3D","Timing_5"
"Week 6","79998e95-0d4f-425d-8a05-01d3e4428a3d","TIM6","Week 6 timing","P3D","Timing","-3..3 days","P6W","P3D","Timing_6"
"Week 8","e3a77dfb-3193-491c-86d9-c66506890c2f","TIM7","Week 8 timing","P3D","Timing","-3..3 days","P8W","P3D","Timing_7"
"Week 12","b496c2c6-f91d-41a5-8e8d-7bbc4d66cdf7","TIM9","Week 12 timing","P4D","Timing","-4..4 days","P12W","P4D","Timing_9"
"Week 16","9549882f-84f1-4b0c-b6e9-747a957acd07","TIM11","Week 16 timing","P4D","Timing","-4..4 days","P16W","P4D","Timing_11"
"Week 20","00f0d0e4-374b-472e-a387-e2d8f4f6883a","TIM13","Week 20 timing","P4D","Timing","-4..4 days","P20W","P4D","Timing_13"
"Week 24","a21d9507-eb2b-4485-b4d9-1ad1f6636d6c","TIM15","Week 24 timing","P4D","Timing","-4..4 days","P24W","P4D","Timing_15"
"Week 26","7f8e38eb-5c0e-4da8-8114-5afaed294719","TIM16","Week 26 timing","P3D","Timing","-3..3 days","P26W","P3D","Timing_16"
"Week 8 Home","bfd23116-3175-4c48-97f0-fae597235bb6","TIM8","Week 8 at home timing","","Timing","","P2W","","Timing_8"
"Week 12 Home","98658d5d-d5bd-4b25-a313-2936cb81e98c","TIM10","Week 12 at home timing","","Timing","","P2W","","Timing_10"
"Week 16 Home","b9466326-08a5-419e-acb5-243d41c84a5e","TIM12","Week 16 at home timing","","Timing","","P2W","","Timing_12"
"Week 20 Home","2ddd55c7-e138-4cb5-87be-4250b55c593c","TIM14","Week 20 at home timing","","Timing","","P2W","","Timing_14"
"Adverse Event","e9ea2723-226d-4bad-b5db-581d84b4c554","TIM17","Adverse Event","","Timing","","P1D","","Timing_17"
"Early Termination","b27d9412-637b-4c9a-898a-784a937b9902","TIM18","Early Termination","","Timing","","P1D","","Timing_18"
"Supine","1a600f87-d23f-47b9-9d81-48bbd1312714","TIM19","Supine","","Timing","","PT0M","","Timing_19"
"VS while supine","7fba43e6-c3fc-4e5f-a502-168468239adf","TIM20","VS while supine","","Timing","","PT5M","","Timing_20"
"Standing","9a288b8b-8918-4224-90c6-dc40a4dca274","TIM21","Standing","","Timing","","PT0M","","Timing_21"
"VS while standing","b51ca8f5-a849-40bb-99ba-a71fa4041fd2","TIM22","VS while standing","","Timing","","PT1M","","Timing_22"
"Standing","bbcaf5c7-e1e9-4bc5-bef5-6ac64023f474","TIM23","Standing","","Timing","","PT0M","","Timing_23"
"VS while standing","fa4f06b6-c29f-4967-8afb-63eff391dbd9","TIM24","VS while standing","","Timing","","PT2M","","Timing_24"
