"label","uuid:ID","name","description","instanceType","id"
"Screening 1","e6fa5886-e8ee-4e9a-b758-e69870e46c2d","E1","Screening encounter","Encounter","Encounter_1"
"Screening 2","6a1e1ec7-c80d-4452-8432-5f5787e00097","E2","Screening encounter - Ambulatory ECG Placement","Encounter","Encounter_2"
"Baseline","246ae040-5696-41af-8548-ffeb86bd9976","E3","Baseline encounter - Ambulatory ECG Removal","Encounter","Encounter_3"
"Week 2","4577100f-3702-476b-9bc8-55cbd40171f8","E4","Day 14","Encounter","Encounter_4"
"Week 4","20e9cd41-bca3-4030-9316-85b835c8d444","E5","Day 28","Encounter","Encounter_5"
"Week 6","675e95be-a826-41e7-8fe7-a896304531cc","E7","Day 42","Encounter","Encounter_6"
"Week 8","b9d2d2fd-951a-45c4-97b6-60ba32efa5d2","E8","Day 56","Encounter","Encounter_7"
"Week 12","08a8b5cd-7b14-4892-80f5-07e7003cc55a","E9","Day 84","Encounter","Encounter_8"
"Week 16","bf288b57-f780-4632-95f8-5e17c31aed61","E10","Day 112","Encounter","Encounter_9"
"Week 20","7e966522-4931-409f-a6ca-550d7ceaa5d0","E11","Day 140","Encounter","Encounter_10"
"Week 24","8c50be2a-252b-4577-92ea-ef3efa5a2582","E12","Day 168","Encounter","Encounter_11"
"Week 26","681751e9-2005-404d-aca8-c3d30a23e07b","E13","Day 182","Encounter","Encounter_12"
