"uuid:ID","name","instanceType","synonyms","reference","label","id"
"fb8a00d2-54f5-4e95-bb2d-a0492f281090","Sex","BiomedicalConcept","","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","Sex","BiomedicalConcept_20"
"484de4e0-b32f-48ec-a9a0-0b044a3ee980","Race","BiomedicalConcept","['Racial Group']","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","Race","BiomedicalConcept_21"
"360ad10b-79b1-47e5-b3f3-891622be450e","Body Temperature","BiomedicalConcept","['Temperature']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446","Body Temperature","BiomedicalConcept_22"
"ccfb7967-57d9-49c8-8a79-1f904179feeb","Body Weight","BiomedicalConcept","['Weight']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328","Body Weight","BiomedicalConcept_23"
"aee57850-1a32-4857-8910-10047c421693","Body Height","BiomedicalConcept","['Height']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634","Body Height","BiomedicalConcept_24"
"9d324a45-bdcf-45e9-90cc-8b9802c217d2","Alanine Aminotransferase Measurement","BiomedicalConcept","['ALT', 'SGPT']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","BiomedicalConcept_25"
"13813db5-24c8-4b4e-80af-483b73cda712","Albumin Measurement","BiomedicalConcept","['Albumin']","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","BiomedicalConcept_26"
"026284cd-5307-4f2e-820c-da4a15d45f06","Alkaline Phosphatase Measurement","BiomedicalConcept","['Alkaline Phosphatase']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","BiomedicalConcept_27"
"ff5fde87-a7df-443e-9c9e-7df7ee7030d2","Aspartate Aminotransferase Measurement","BiomedicalConcept","['AST', 'SGOT']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","BiomedicalConcept_28"
"9d9e137d-762c-45d0-8e1a-ffe558be2071","Creatinine Measurement","BiomedicalConcept","['Creatinine']","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","BiomedicalConcept_29"
"a36d1b14-5cc8-4441-8805-5d17a90b5968","Potassium Measurement","BiomedicalConcept","['Potassium', 'K']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","BiomedicalConcept_30"
"d3ab65e5-3ea1-465c-9b08-146316b19a3a","Sodium Measurement","BiomedicalConcept","['Sodium', 'NA']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement","BiomedicalConcept_31"
"dedb7064-f27d-46e3-80e2-795e066c6a10","Adverse Event","BiomedicalConcept","","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C41331","Adverse Event","BiomedicalConcept_1"
